year,co2
1851.0,289.677703857
1852.0,292.57449340799997
1853.0,295.500213623
1854.0,298.455200195
1855.0,301.439788818
1856.0,304.454162598
1857.0,307.49874877900004
1858.0,310.573730469
1859.0,313.679443359
1860.0,316.816253662
1861.0,319.984405518
1862.0,323.184234619
1863.0,326.416107178
1864.0,329.680267334
1865.0,332.977050781
1866.0,336.30682373
1867.0,339.669891357
1868.0,343.066589355
1869.0,346.4972229
1870.0,349.96221923800005
1871.0,353.46182251
1872.0,356.996490479
1873.0,360.566436768
1874.0,364.17208862300004
1875.0,367.81384277300003
1876.0,371.49197387699996
1877.0,375.20690918
1878.0,378.958953857
1879.0,382.748535156
1880.0,386.576049805
1881.0,390.44177246099997
1882.0,394.346221924
1883.0,398.28967285199997
1884.0,402.272583008
1885.0,406.295257568
1886.0,410.358215332
1887.0,414.461761475
1888.0,418.606414795
1889.0,422.79251098599997
1890.0,427.02044677699996
1891.0,431.290618896
1892.0,435.603485107
1893.0,439.959533691
1894.0,444.35916137699996
1895.0,448.802764893
1896.0,453.290771484
1897.0,457.823669434
1898.0,462.40191650400004
1899.0,467.025909424
1900.0,471.69622802699996
1901.0,476.41317749
1902.0,481.17730712900004
1903.0,485.989105225
1904.0,490.84890747099996
1905.0,495.75744628900003
1906.0,500.715026855
1907.0,505.722137451
1908.0,510.77944946300005
1909.0,515.887207031
1910.0,521.0460205080001
1911.0,526.256530762
1912.0,531.519104004
1913.0,536.834289551
1914.0,542.202636719
1915.0,547.624633789
1916.0,553.100891113
1917.0,558.6319580080001
1918.0,564.2182006840001
1919.0,569.860412598
1920.0,575.559020996
1921.0,581.31463623
1922.0,587.127746582
1923.0,592.999023438
1924.0,598.929016113
1925.0,604.918334961
1926.0,610.967407227
1927.0,617.077148438
1928.0,623.247924805
1929.0,629.48046875
1930.0,635.775268555
1931.0,642.13293457
1932.0,648.554321289
1933.0,655.039855957
1934.0,661.590209961
1935.0,668.2061767580001
1936.0,674.888244629
1937.0,681.637084961
1938.0,688.453491211
1939.0,695.33795166
1940.0,702.291381836
1941.0,709.314208984
1942.0,716.407409668
1943.0,723.571472168
1944.0,730.807189941
1945.0,738.115356445
1946.0,745.496459961
1947.0,752.9514770510001
1948.0,760.4808959960001
1949.0,768.085754395
1950.0,775.766662598
1951.0,783.524230957
1952.0,791.35949707
1953.0,799.2731323239999
1954.0,807.265808105
1955.0,815.338500977
1956.0,823.4918823239999
1957.0,831.726806641
1958.0,840.044128418
1959.0,848.4444580080001
1960.0,856.9289550780001
1961.0,865.49822998
1962.0,874.1531982419999
1963.0,882.894775391
1964.0,891.723693848
1965.0,900.6409301760001
1966.0,909.6473388669999
1967.0,918.7438354489999
1968.0,927.9312133789999
1969.0,937.210571289
1970.0,946.582702637
1971.0,956.0485229489999
1972.0,965.609008789
1973.0,975.265075684
1974.0,985.01776123
1975.0,994.867858887
1976.0,1004.81658936
1977.0,1014.86474609
1978.0,1025.01342773
1979.0,1035.2635498
1980.0,1045.61621094
1981.0,1056.07226562
1982.0,1066.63305664
1983.0,1077.29931641
1984.0,1088.0723877
1985.0,1098.95300293
1986.0,1109.94274902
1987.0,1121.04199219
1988.0,1132.25244141
1989.0,1143.57507324
1990.0,1155.01074219
1991.0,1166.56079102
1992.0,1178.22644043
1993.0,1190.00878906
1994.0,1201.90881348
1995.0,1213.92785645
1996.0,1226.06713867
1997.0,1238.32788086
1998.0,1250.71105957
1999.0,1263.21813965
2000.0,1275.8503418
