year,cLand
1851.0,2356.549757777
1852.0,2358.816475308
1853.0,2360.489030309
1854.0,2362.290284046
1855.0,2364.396535697
1856.0,2366.311430405
1857.0,2367.489918346
1858.0,2368.246884022
1859.0,2370.864513857
1860.0,2372.805851307
1861.0,2373.8700286539997
1862.0,2374.282933716
1863.0,2376.480622977
1864.0,2380.2170048460002
1865.0,2382.120801761
1866.0,2383.722457371
1867.0,2387.788121332
1868.0,2392.258170348
1869.0,2396.325624142
1870.0,2397.499868801
1871.0,2400.228403806
1872.0,2403.661195494
1873.0,2407.3265645389997
1874.0,2409.082089599
1875.0,2412.773354771
1876.0,2417.3228792970003
1877.0,2421.606424611
1878.0,2426.1696984679998
1879.0,2429.605174925
1880.0,2432.894030044
1881.0,2436.626800544
1882.0,2440.025216783
1883.0,2443.289195804
1884.0,2449.02856391
1885.0,2455.0325100970003
1886.0,2457.510057369
1887.0,2460.4878938879997
1888.0,2464.49387604
1889.0,2468.6638801629997
1890.0,2473.381504892
1891.0,2477.710641414
1892.0,2483.642169046
1893.0,2488.647476889
1894.0,2492.055566771
1895.0,2494.054100444
1896.0,2496.932402335
1897.0,2499.2916161860003
1898.0,2503.450951045
1899.0,2508.156300529
1900.0,2512.806482902
1901.0,2516.244343336
1902.0,2519.774113471
1903.0,2523.757669543
1904.0,2526.884285224
1905.0,2530.2439543640007
1906.0,2535.00315806
1907.0,2539.518219686
1908.0,2543.737205597
1909.0,2547.9236279829997
1910.0,2552.292298983
1911.0,2557.737717083
1912.0,2562.633911387
1913.0,2567.2576089980007
1914.0,2571.348783818
1915.0,2574.393012234
1916.0,2577.372718985
1917.0,2581.737057804
1918.0,2585.5452911810003
1919.0,2585.9851138470003
1920.0,2589.835742809
1921.0,2595.547036249
1922.0,2600.184161066
1923.0,2603.649023146
1924.0,2607.2421059929998
1925.0,2609.3896455960003
1926.0,2611.610309148
1927.0,2616.418305573
1928.0,2620.0661818629997
1929.0,2618.849290668
1930.0,2621.012446444
1931.0,2626.773172069
1932.0,2632.31780377
1933.0,2636.277475162
1934.0,2641.545165549
1935.0,2647.290598528
1936.0,2651.281455195
1937.0,2652.8064317
1938.0,2656.5257635129997
1939.0,2660.1752414029997
1940.0,2663.262842825
1941.0,2664.196895385
1942.0,2667.178010021
1943.0,2672.138736617
1944.0,2676.04112388
1945.0,2676.3470850960002
1946.0,2678.467984978
1947.0,2683.97501055
1948.0,2688.4672203120003
1949.0,2691.942400418
1950.0,2692.6354287920003
1951.0,2693.995303995
1952.0,2698.03479134
1953.0,2699.698710203
1954.0,2702.678528187
1955.0,2707.112064076
1956.0,2712.252648057
1957.0,2712.905992874
1958.0,2711.606764003
1959.0,2713.947138597
1960.0,2715.152817602
1961.0,2715.084759944
1962.0,2718.7358686029997
1963.0,2722.0184194000008
1964.0,2725.552712837
1965.0,2727.732735843
1966.0,2728.99543877
1967.0,2730.8791765829997
1968.0,2733.73836424
1969.0,2737.547512748
1970.0,2740.58650978
1971.0,2744.864813889
1972.0,2747.37579779
1973.0,2746.643040062
1974.0,2747.628130611
1975.0,2748.9904454429998
1976.0,2751.946632758
1977.0,2755.2490759059997
1978.0,2759.1387862240003
1979.0,2760.1484283150007
1980.0,2759.592090982
1981.0,2759.1788725779998
1982.0,2761.811687643
1983.0,2765.9775072420002
1984.0,2767.8781059259995
1985.0,2766.67932048
1986.0,2767.7178929990005
1987.0,2769.543214988
1988.0,2769.901637902
1989.0,2772.558918123
1990.0,2775.246758057
1991.0,2776.0482943159996
1992.0,2777.66179834
1993.0,2777.0877122320003
1994.0,2776.3417992570003
1995.0,2778.7081192279998
1996.0,2781.881290546
1997.0,2783.553507522
1998.0,2781.4617780840003
1999.0,2780.759610396
2000.0,2782.0860179740002
