year,nbp
1851.0,1.92096800138
1852.0,2.20645645493
1853.0,0.9973173011550001
1854.0,2.6676496629499997
1855.0,2.1297088333
1856.0,1.5546224352000002
1857.0,0.29587509343699997
1858.0,2.2623982962
1859.0,2.21451767741
1860.0,1.6059627780899999
1861.0,0.7500007394760001
1862.0,0.0860181406329
1863.0,4.3431985416000005
1864.0,3.22325255806
1865.0,0.520758909487
1866.0,2.9892856878400003
1867.0,3.89007133496
1868.0,5.44933971789
1869.0,2.81837329268
1870.0,0.14768870922
1871.0,4.53437923083
1872.0,2.9511658499199998
1873.0,3.3873875822
1874.0,1.8728452926599997
1875.0,4.56549467666
1876.0,4.18309391805
1877.0,4.8276781798
1878.0,3.80147148891
1879.0,3.01626006856
1880.0,3.9889032201
1881.0,3.3742142034700002
1882.0,3.0590061116900005
1883.0,4.299428487759999
1884.0,6.99929400325
1885.0,4.09934905069
1886.0,1.28155714968
1887.0,4.58471063921
1888.0,3.5948834341300007
1889.0,5.1658563931199994
1890.0,4.0368300988
1891.0,4.86815543169
1892.0,5.71414876452
1893.0,4.84851589764
1894.0,1.9025425794599997
1895.0,2.8046578095499997
1896.0,2.5754472345700004
1897.0,2.67700968648
1898.0,5.00025795112
1899.0,4.3023195765699995
1900.0,4.310492292059999
1901.0,3.5020022559900004
1902.0,3.45706878453
1903.0,4.1936131241900005
1904.0,2.21407886865
1905.0,4.84069495551
1906.0,4.41080654798
1907.0,4.08001798176
1908.0,4.92946252736
1909.0,3.42746260582
1910.0,5.107513183380001
1911.0,5.33016365518
1912.0,4.98909533452
1913.0,4.61440906027
1914.0,3.05802530535
1915.0,2.85709288385
1916.0,3.3978495148000003
1917.0,5.260508757109999
1918.0,2.01169839048
1919.0,0.255061970546
1920.0,6.084238935040001
1921.0,5.304529999200001
1922.0,4.122038905319999
1923.0,2.9931581651999997
1924.0,3.36216127694
1925.0,1.7793758305
1926.0,3.2805905999799996
1927.0,5.491479876790001
1928.0,1.31830152843
1929.0,-1.7808334400999999
1930.0,5.5816910387
1931.0,4.7759356109699995
1932.0,5.7987317560000005
1933.0,3.39677074307
1934.0,5.96147873132
1935.0,5.56917614324
1936.0,2.52882831834
1937.0,1.4715555197299999
1938.0,4.29828730872
1939.0,3.6293566877499996
1940.0,2.78707867147
1941.0,0.117166637934
1942.0,5.24947243886
1943.0,4.06891883416
1944.0,2.96625883595
1945.0,-0.18142491547200001
1946.0,3.55684305636
1947.0,6.31094094329
1948.0,3.0970282106299996
1949.0,3.4321356297500003
1950.0,-0.6553085571339999
1951.0,3.16540592628
1952.0,4.40346893897
1953.0,0.391690988744
1954.0,3.88705531618
1955.0,5.85464661157
1956.0,2.42128541249
1957.0,-0.557594312776
1958.0,-0.7027308732619999
1959.0,4.10230567465
1960.0,-0.700057996837
1961.0,1.5979626534600002
1962.0,3.94957244571
1963.0,3.0367317513099996
1964.0,3.6815632519
1965.0,1.09349995392
1966.0,1.16566333858
1967.0,1.87042637393
1968.0,3.98686902042
1969.0,3.69412795001
1970.0,3.0925170714999997
1971.0,4.81875308719
1972.0,0.294839937738
1973.0,-1.25124238266
1974.0,2.423451409
1975.0,1.7864145496000001
1976.0,3.19104731485
1977.0,3.71976995874
1978.0,2.9620138687199997
1979.0,-0.38666489170400004
1980.0,-0.39971579756700004
1981.0,0.404199691471
1982.0,3.4926704482099997
1983.0,4.07783047208
1984.0,0.655391087955
1985.0,-1.3970481464500002
1986.0,2.08106973924
1987.0,1.6290191049899998
1988.0,-0.047899374289800005
1989.0,3.8523145534699994
1990.0,1.11173999298
1991.0,1.07011222275
1992.0,1.7450590691999999
1993.0,-2.26061237291
1994.0,0.534787027599
1995.0,3.1278265325200003
1996.0,3.43694553326
1997.0,0.332546201741
1998.0,-3.3260904891900003
1999.0,1.8272007621200002
2000.0,1.16982996926
