year,rtmt
1851.0,-0.0774163036458
1852.0,0.5484104927960001
1853.0,-0.413492410434
1854.0,0.47826163710600006
1855.0,0.445677102432
1856.0,0.299646901715
1857.0,-0.00807648926532
1858.0,0.0656052728898
1859.0,0.495106689893
1860.0,0.270359484733
1861.0,0.371362810338
1862.0,-0.25335290710499997
1863.0,0.767336667042
1864.0,0.6752243612100001
1865.0,0.11175405893
1866.0,0.633082249445
1867.0,0.632022480393
1868.0,0.74292125846
1869.0,0.9838385378110001
1870.0,0.10880759277100001
1871.0,0.8805106456990001
1872.0,0.629936779112
1873.0,0.6723149309890001
1874.0,0.357912084828
1875.0,0.8438954515520001
1876.0,0.9015841022229999
1877.0,1.09429417405
1878.0,1.0545418266700002
1879.0,0.902412195496
1880.0,0.70757718125
1881.0,0.627411208244
1882.0,0.8291938663339999
1883.0,0.701742551776
1884.0,1.81232604876
1885.0,1.3443908960799997
1886.0,0.863710812542
1887.0,1.2457273849
1888.0,0.903248493236
1889.0,0.9799321721750001
1890.0,1.19456208704
1891.0,0.933274966581
1892.0,1.51653164012
1893.0,1.49758704113
1894.0,1.0685086476
1895.0,1.52781663933
1896.0,1.25581507707
1897.0,1.04396300533
1898.0,1.56606509572
1899.0,1.1925501601100001
1900.0,1.2102952672
1901.0,1.26025812678
1902.0,0.966625164142
1903.0,1.53120367436
1904.0,1.40990312419
1905.0,1.15346676656
1906.0,1.4621554824599998
1907.0,1.16494238838
1908.0,1.59901177972
1909.0,1.34077490344
1910.0,1.56120495294
1911.0,1.7920828507
1912.0,1.63466585331
1913.0,1.80498283958
1914.0,1.6230682414300002
1915.0,1.50751596898
1916.0,2.01349999022
1917.0,1.96706115352
1918.0,1.62144772039
1919.0,1.26013166286
1920.0,1.8153641286099997
1921.0,2.2408019216999997
1922.0,1.8453427474000001
1923.0,1.7153696756999999
1924.0,2.11303114807
1925.0,1.88327571225
1926.0,1.6755383471599998
1927.0,1.86966207457
1928.0,2.08682814206
1929.0,1.32768449823
1930.0,1.8498703665
1931.0,2.15397466359
1932.0,2.20199225245
1933.0,2.03383670577
1934.0,1.91582562409
1935.0,2.22830784809
1936.0,2.13739172931
1937.0,1.95699523062
1938.0,2.1414828932099996
1939.0,2.4656556554
1940.0,2.00503827789
1941.0,1.64216938602
1942.0,2.23058983718
1943.0,2.12526981683
1944.0,2.3376752818599997
1945.0,1.98280013368
1946.0,1.94017025725
1947.0,2.72533057254
1948.0,2.4846538202
1949.0,2.43719168474
1950.0,1.8933281028599998
1951.0,2.4289068071799997
1952.0,2.44073762489
1953.0,2.0218733760900003
1954.0,2.31421209997
1955.0,2.36343610398
1956.0,2.70324532504
1957.0,2.00359742306
1958.0,1.92934839815
1959.0,2.4504821279400004
1960.0,1.97501114841
1961.0,2.0330952170599996
1962.0,2.73055049925
1963.0,2.4539112726
1964.0,2.7436018157700004
1965.0,2.71877221077
1966.0,2.38597525061
1967.0,2.53882170136
1968.0,2.4956373619099996
1969.0,2.8968628534900005
1970.0,2.64425140234
1971.0,2.86807872231
1972.0,2.44708092476
1973.0,2.6349071517800002
1974.0,2.72049219213
1975.0,2.92437163992
1976.0,3.0510041252900004
1977.0,2.69309384559
1978.0,2.82823627536
1979.0,2.41874153034
1980.0,2.5276219029599996
1981.0,2.6220072774400003
1982.0,2.7943794598
1983.0,3.1194834413300003
1984.0,2.8287060901300003
1985.0,2.58712283846
1986.0,2.92941503817
1987.0,2.8214212609200002
1988.0,2.81151049704
1989.0,3.18992511262
1990.0,2.7594528872099997
1991.0,2.88510707191
1992.0,2.94184574648
1993.0,2.61045321988
1994.0,2.83366019111
1995.0,3.29729565843
1996.0,3.21464433287
1997.0,3.10904600222
1998.0,2.73872000575
1999.0,3.22997567903
2000.0,2.8295938549299997
