year,tas
1851.0,286.715700395
1852.0,286.726467097
1853.0,286.72884445200003
1854.0,286.6555548
1855.0,286.784626223
1856.0,286.829009123
1857.0,286.98797190700003
1858.0,286.95336394599997
1859.0,286.89805002
1860.0,286.989201113
1861.0,287.042701984
1862.0,287.054139524
1863.0,286.859100877
1864.0,286.962295929
1865.0,287.14393279
1866.0,286.960052777
1867.0,286.865632361
1868.0,286.92127575
1869.0,287.08312540400004
1870.0,287.374770465
1871.0,287.236043885
1872.0,287.2142369
1873.0,287.29919550299996
1874.0,287.519525726
1875.0,287.353916422
1876.0,287.37624876
1877.0,287.4263321
1878.0,287.511424392
1879.0,287.66007683099997
1880.0,287.675315641
1881.0,287.694906225
1882.0,287.848396018
1883.0,287.558506765
1884.0,287.599229413
1885.0,287.918261208
1886.0,288.113058197
1887.0,287.901090913
1888.0,288.003222909
1889.0,288.019769227
1890.0,287.98675164
1891.0,287.975887728
1892.0,287.910907043
1893.0,288.06327139
1894.0,288.27439362900003
1895.0,288.375304763
1896.0,288.451832947
1897.0,288.501754432
1898.0,288.448564895
1899.0,288.421880176
1900.0,288.48366513900004
1901.0,288.505216505
1902.0,288.513032953
1903.0,288.60481431
1904.0,288.688941935
1905.0,288.532158223
1906.0,288.61762829599996
1907.0,288.803130533
1908.0,288.797404692
1909.0,288.737629057
1910.0,288.711924771
1911.0,288.756876526
1912.0,288.832705826
1913.0,288.794059364
1914.0,289.005910745
1915.0,289.036548714
1916.0,289.191853685
1917.0,289.243408027
1918.0,289.41837106099996
1919.0,289.59830619400003
1920.0,289.310914103
1921.0,289.413092112
1922.0,289.448491647
1923.0,289.53560538799996
1924.0,289.54220697700003
1925.0,289.66676845
1926.0,289.651743142
1927.0,289.612046172
1928.0,289.792053308
1929.0,290.082308163
1930.0,289.828683087
1931.0,289.917028823
1932.0,289.898758213
1933.0,289.976132893
1934.0,289.820339441
1935.0,289.966527527
1936.0,290.250166203
1937.0,290.34262238400004
1938.0,290.210976821
1939.0,290.26180455900004
1940.0,290.50917278599997
1941.0,290.599673719
1942.0,290.436159452
1943.0,290.494139709
1944.0,290.654300638
1945.0,290.858144032
1946.0,290.608879881
1947.0,290.532883495
1948.0,290.72964982400003
1949.0,290.752424563
1950.0,291.067598805
1951.0,290.972575586
1952.0,291.030560868
1953.0,291.177533803
1954.0,291.03986162
1955.0,291.075444351
1956.0,291.231212832
1957.0,291.535393339
1958.0,291.516971142
1959.0,291.471001861
1960.0,291.71542728400004
1961.0,291.645122113
1962.0,291.473381568
1963.0,291.546758844
1964.0,291.716671836
1965.0,291.82625718599996
1966.0,291.915648674
1967.0,291.904556863
1968.0,291.9049972
1969.0,291.931964328
1970.0,291.949823188
1971.0,291.902605814
1972.0,292.065266421
1973.0,292.285645366
1974.0,292.282231409
1975.0,292.238404877
1976.0,292.29604570099997
1977.0,292.364791956
1978.0,292.422023718
1979.0,292.68491711400003
1980.0,292.757812994
1981.0,292.742182652
1982.0,292.572617177
1983.0,292.584174066
1984.0,292.876993407
1985.0,293.007318042
1986.0,292.853346098
1987.0,292.938061683
1988.0,293.038713788
1989.0,293.054118334
1990.0,293.094679396
1991.0,293.26195238
1992.0,293.240403062
1993.0,293.361536882
1994.0,293.253579416
1995.0,293.279529374
1996.0,293.415157907
1997.0,293.561205105
1998.0,293.70235960900004
1999.0,293.69490237
2000.0,293.687673601
