year,co2
1851.0,289.677703857
1852.0,292.57449340799997
1853.0,295.500213623
1854.0,298.455200195
1855.0,301.439788818
1856.0,304.454162598
1857.0,307.49874877900004
1858.0,310.573730469
1859.0,313.679443359
1860.0,316.816253662
1861.0,319.984405518
1862.0,323.184234619
1863.0,326.416107178
1864.0,329.680267334
1865.0,332.977050781
1866.0,336.30682373
1867.0,339.669891357
1868.0,343.066589355
1869.0,346.4972229
1870.0,349.96221923800005
1871.0,353.46182251
1872.0,356.996490479
1873.0,360.566436768
1874.0,364.17208862300004
1875.0,367.81384277300003
1876.0,371.49197387699996
1877.0,375.20690918
1878.0,378.958953857
1879.0,382.748535156
1880.0,386.576049805
1881.0,390.44177246099997
1882.0,394.346221924
1883.0,398.28967285199997
1884.0,402.272583008
1885.0,406.295257568
1886.0,410.358215332
1887.0,414.461761475
1888.0,418.606414795
1889.0,422.79251098599997
1890.0,427.02044677699996
1891.0,431.290618896
1892.0,435.603485107
1893.0,439.959533691
1894.0,444.35916137699996
1895.0,448.802764893
1896.0,453.290771484
1897.0,457.823669434
1898.0,462.40191650400004
1899.0,467.025909424
1900.0,471.69622802699996
1901.0,476.41317749
1902.0,481.17730712900004
1903.0,485.989105225
1904.0,490.84890747099996
1905.0,495.75744628900003
1906.0,500.715026855
1907.0,505.722137451
1908.0,510.77944946300005
1909.0,515.887207031
1910.0,521.0460205080001
1911.0,526.256530762
1912.0,531.519104004
1913.0,536.834289551
1914.0,542.202636719
1915.0,547.624633789
1916.0,553.100891113
1917.0,542.972595215
1918.0,539.651184082
1919.0,536.630981445
1920.0,534.439086914
1921.0,532.0886230469999
1922.0,529.609802246
1923.0,527.5124511719999
1924.0,524.933105469
1925.0,523.227050781
1926.0,521.950805664
1927.0,520.848815918
1928.0,519.678405762
1929.0,518.6433105469999
1930.0,518.100585938
1931.0,516.71295166
1932.0,514.6120605469999
1933.0,512.7022705080001
1934.0,511.53442382800006
1935.0,510.324493408
1936.0,508.899078369
1937.0,508.34606933599997
1938.0,506.97048950199996
1939.0,506.02191162099996
1940.0,506.120147705
1941.0,505.381256104
1942.0,504.337036133
1943.0,503.78805542
1944.0,503.87072753900003
1945.0,502.425750732
1946.0,501.32708740199996
1947.0,501.515716553
1948.0,500.76751709
1949.0,499.75088501
1950.0,499.239044189
1951.0,497.954772949
1952.0,496.781341553
1953.0,496.033294678
1954.0,496.088134766
1955.0,495.785247803
1956.0,494.700286865
1957.0,493.97161865199996
1958.0,494.12310791
1959.0,493.45123291
1960.0,492.16946411099997
1961.0,491.393890381
1962.0,491.288726807
1963.0,490.923522949
1964.0,489.732940674
1965.0,489.67590332
1966.0,489.45022583
1967.0,488.987701416
1968.0,488.50994873
1969.0,488.44458007800006
1970.0,488.707977295
1971.0,488.202606201
1972.0,487.172058105
1973.0,486.290618896
1974.0,485.739349365
1975.0,485.480407715
1976.0,484.751617432
1977.0,484.623077393
1978.0,483.563293457
1979.0,482.967132568
1980.0,483.74398803699995
1981.0,483.159576416
1982.0,482.756958008
1983.0,482.035675049
1984.0,482.034057617
1985.0,481.26690673800005
1986.0,479.909515381
1987.0,479.97378539999994
1988.0,479.64947509765625
1989.0,478.9727783203125
1990.0,478.97747802734375
1991.0,478.8150939941406
1992.0,478.2039794921875
1993.0,477.22698974609375
1994.0,477.4527893066406
1995.0,477.6356506347656
1996.0,477.5386047363281
1997.0,477.6143493652344
1998.0,477.60064697265625
1999.0,477.4813537597656
2000.0,476.87335205078125
2001.0,476.5837707519531
2002.0,476.6112365722656
2003.0,475.5065612792969
2004.0,474.7080383300781
2005.0,474.58477783203125
2006.0,473.7904357910156
2007.0,473.2125244140625
2008.0,472.7824096679688
2009.0,472.39404296875
2010.0,472.0705261230469
2011.0,471.4235229492188
2012.0,470.8546752929688
2013.0,470.82232666015625
2014.0,470.63519287109375
2015.0,470.657958984375
2016.0,470.3699035644531
