year,rh
1851.0,59.3414039608
1852.0,58.8840385755
1853.0,59.8814999854
1854.0,59.494240580100005
1855.0,59.9751138667
1856.0,58.8786939421
1857.0,59.941098536300004
1858.0,60.412218077700004
1859.0,59.273794306499994
1860.0,60.2639524071
1861.0,59.1711923159
1862.0,60.870666453599995
1863.0,60.0842193373
1864.0,60.0264570418
1865.0,60.5545761167
1866.0,61.567651431099996
1867.0,61.662262185299994
1868.0,61.223175034700006
1869.0,60.4387021915
1870.0,63.2978254992
1871.0,61.249283631000004
1872.0,62.8867748101
1873.0,61.8661300919
1874.0,63.0929791056
1875.0,63.433678132299995
1876.0,63.7763331481
1877.0,63.0453583192
1878.0,63.2336519967
1879.0,63.4153036829
1880.0,64.2153697227
1881.0,64.3395506527
1882.0,65.11692479930001
1883.0,64.6422638761
1884.0,65.3311856758
1885.0,65.0847999031
1886.0,66.5807798685
1887.0,65.9042675363
1888.0,66.6008839516
1889.0,67.2713309525
1890.0,65.7561694431
1891.0,67.8444808814
1892.0,67.6140204865
1893.0,66.2925379174
1894.0,67.1099530405
1895.0,67.2795018291
1896.0,67.3031966999
1897.0,68.6330447761
1898.0,68.8893384854
1899.0,69.0934893958
1900.0,68.6407014529
1901.0,69.4762768684
1902.0,70.6527734311
1903.0,69.01102307949999
1904.0,70.1971395604
1905.0,71.35250782189999
1906.0,70.91648508979999
1907.0,71.47854359680001
1908.0,71.5555183093
1909.0,71.8984412227
1910.0,71.4853581829
1911.0,72.9101628914
1912.0,73.1212172789
1913.0,73.0612084457
1914.0,72.1132015124
1915.0,73.31777129439999
1916.0,74.2499752828
1917.0,74.14116899369999
1918.0,75.11227528319999
1919.0,74.1820476323
1920.0,73.87232611649999
1921.0,74.66342532819999
1922.0,73.6009298517
1923.0,73.73311813069999
1924.0,72.7031308052
1925.0,73.8661347261
1926.0,73.354874486
1927.0,73.907800869
1928.0,73.1525402976
1929.0,74.1864116688
1930.0,73.9227015947
1931.0,74.01727816489999
1932.0,74.0804301885
1933.0,73.729346292
1934.0,74.6293470291
1935.0,75.0100159318
1936.0,74.2481586481
1937.0,74.39617960560001
1938.0,73.6933019232
1939.0,73.9248155454
1940.0,74.2997046157
1941.0,73.6189005736
1942.0,73.80239968800001
1943.0,73.19019385819999
1944.0,74.2166776087
1945.0,73.0483898607
1946.0,71.2234511245
1947.0,74.5549743408
1948.0,72.201713975
1949.0,72.5076604624
1950.0,74.3067544171
1951.0,73.3674098645
1952.0,73.1794964
1953.0,72.6708134854
1954.0,74.0829321146
1955.0,74.0937328788
1956.0,72.7427899046
1957.0,73.72970898359999
1958.0,75.0639183346
1959.0,74.993471876
1960.0,72.88180451560001
1961.0,72.94447458149999
1962.0,71.5060570251
1963.0,74.1243759995
1964.0,74.0198690892
1965.0,72.6943800111
1966.0,71.51484771199999
1967.0,73.7282467725
1968.0,73.3287660553
1969.0,73.5907209902
1970.0,72.5673011909
1971.0,73.60499963609999
1972.0,73.4887910766
1973.0,72.6915859574
1974.0,72.33698152390001
1975.0,72.37318226149999
1976.0,72.1124398301
1977.0,73.9613229672
1978.0,73.1105104504
1979.0,72.6026471514
1980.0,73.6549204526
1981.0,73.6118416476
1982.0,73.2522878366
1983.0,72.2030522275
1984.0,73.9764004356
1985.0,73.5872056527
1986.0,72.9715758385
1987.0,75.5337075967
1988.0,73.23872894346164
1989.0,71.3726612278218
1990.0,72.66880001168218
1991.0,72.7840267410099
1992.0,73.89970748848765
1993.0,71.46772490950634
1994.0,73.53308581389703
1995.0,74.084728555791
1996.0,72.92331689025991
1997.0,71.28532877010848
1998.0,71.92645080768027
1999.0,73.7457203078393
2000.0,71.92167728226791
2001.0,74.0290028464958
2002.0,74.76294842606548
2003.0,72.55651614677741
2004.0,72.38908304904704
2005.0,74.15152685432825
2006.0,73.20879799844029
2007.0,72.6516682038747
2008.0,72.61780355911739
2009.0,73.72768365852923
2010.0,73.05910747801134
2011.0,73.45155299962899
2012.0,73.39827197020249
2013.0,73.11374120337506
2014.0,72.48142517095523
2015.0,72.9575211472237
2016.0,71.9791499243847
