year,rsut
1851.0,99.1229769332
1852.0,98.7563295651
1853.0,99.55686790819999
1854.0,98.9549467034
1855.0,98.8382343032
1856.0,98.79615688959998
1857.0,98.7259287327
1858.0,98.688273341
1859.0,98.603702971
1860.0,98.5928911924
1861.0,98.4965928889
1862.0,98.83535716780001
1863.0,98.3295744051
1864.0,98.50659405290001
1865.0,98.44923470959999
1866.0,98.5074137966
1867.0,98.7904267752
1868.0,98.54326195459998
1869.0,98.01626835180001
1870.0,98.04354299030001
1871.0,97.9663378493
1872.0,98.2026043958
1873.0,98.10998324090001
1874.0,97.9115191089
1875.0,97.69246209709999
1876.0,97.6156227532
1877.0,97.6192892178
1878.0,97.3978847173
1879.0,97.4077762764
1880.0,97.3319520327
1881.0,97.40003877299999
1882.0,96.8632043655
1883.0,97.52512731350001
1884.0,96.9032689494
1885.0,96.6455425533
1886.0,96.48356469299999
1887.0,96.60957093530001
1888.0,96.9402475192
1889.0,96.6599793443
1890.0,96.54328524569999
1891.0,96.8381407225
1892.0,96.6944823998
1893.0,96.43418035719999
1894.0,96.163019209
1895.0,95.7488246089
1896.0,95.67840346790001
1897.0,95.74384078979999
1898.0,95.6648767264
1899.0,95.9493656506
1900.0,95.9305298014
1901.0,95.9308694801
1902.0,96.01346098450001
1903.0,95.4732715596
1904.0,95.2931314472
1905.0,95.92163968790001
1906.0,95.6197549498
1907.0,95.2530961286
1908.0,95.05487399299999
1909.0,95.55098742690001
1910.0,95.4735199731
1911.0,95.30224165540001
1912.0,95.1840323141
1913.0,95.1351711827
1914.0,95.06155807639999
1915.0,94.91520140899999
1916.0,94.3804476098
1917.0,94.59802236639999
1918.0,94.5975931407
1919.0,94.6127837488
1920.0,94.98663354530001
1921.0,94.2930790577
1922.0,94.5943250691
1923.0,94.88732201260001
1924.0,94.6634318742
1925.0,94.23896321040002
1926.0,94.47049818069999
1927.0,94.19258325610001
1928.0,94.19476489280001
1929.0,94.2793588434
1930.0,94.60567695379999
1931.0,94.44307220479999
1932.0,94.61393653120001
1933.0,94.4773641933
1934.0,94.37856452700001
1935.0,94.3118085941
1936.0,94.239151249
1937.0,94.3522534483
1938.0,94.3208643273
1939.0,94.1647916286
1940.0,94.0390433346
1941.0,94.3105719211
1942.0,94.2687561858
1943.0,93.95973019659999
1944.0,94.199998957
1945.0,94.19786952850001
1946.0,94.01093439200001
1947.0,94.3510562451
1948.0,94.4633968193
1949.0,94.1894297116
1950.0,94.15206688129999
1951.0,94.3382333259
1952.0,94.1332002853
1953.0,93.99054218020001
1954.0,94.0288478846
1955.0,94.4370948609
1956.0,94.22879462540001
1957.0,93.7298224524
1958.0,94.19319969989999
1959.0,94.5347220721
1960.0,94.68177406379999
1961.0,94.2970702997
1962.0,94.11765452969999
1963.0,94.622450305
1964.0,94.14333886889999
1965.0,94.368178794
1966.0,94.0283928794
1967.0,94.2788851777
1968.0,94.0971869236
1969.0,94.0625237227
1970.0,94.0672955844
1971.0,93.92653443309999
1972.0,94.109292171
1973.0,94.2232095481
1974.0,94.20771292030001
1975.0,94.4708822658
1976.0,94.16860324860001
1977.0,94.2282277089
1978.0,94.22433669620001
1979.0,94.2357904585
1980.0,94.17745422870001
1981.0,94.2550561558
1982.0,94.2176526634
1983.0,94.1532214691
1984.0,94.6033798524
1985.0,94.35686872049999
1986.0,94.42751825129999
1987.0,94.0166608232
1988.0,94.30241505265892
1989.0,94.21705963365076
1990.0,94.175743380769
1991.0,94.27244099345094
1992.0,94.2365594790095
1993.0,93.76491137855542
1994.0,93.9447776466965
1995.0,93.69501093243532
1996.0,94.15481740030474
1997.0,94.07217414001025
1998.0,94.04870316010708
1999.0,94.52333039353644
2000.0,94.00478122122128
2001.0,93.7060371455417
2002.0,93.88922905499932
2003.0,93.9454889134146
2004.0,94.08066722711037
2005.0,94.15192176461426
2006.0,94.22423229565531
2007.0,94.46000613011459
2008.0,94.01320439824103
2009.0,93.93557633189552
2010.0,94.21171248973411
2011.0,94.30715499595671
2012.0,94.09967108071564
2013.0,94.19366197873084
2014.0,93.94230977035977
2015.0,94.06003026597851
2016.0,94.38022997493148
