year,nbp
1851.0,1.92096800138
1852.0,2.20645645493
1853.0,0.9973173011550001
1854.0,2.6676496629499997
1855.0,2.1297088333
1856.0,1.5546224352000002
1857.0,0.29587509343699997
1858.0,2.2623982962
1859.0,2.21451767741
1860.0,1.6059627780899999
1861.0,0.7500007394760001
1862.0,0.0860181406329
1863.0,4.3431985416000005
1864.0,3.22325255806
1865.0,0.520758909487
1866.0,2.9892856878400003
1867.0,3.89007133496
1868.0,5.44933971789
1869.0,2.81837329268
1870.0,0.14768870922
1871.0,4.53437923083
1872.0,2.9511658499199998
1873.0,3.3873875822
1874.0,1.8728452926599997
1875.0,4.56549467666
1876.0,4.18309391805
1877.0,4.8276781798
1878.0,3.80147148891
1879.0,3.01626006856
1880.0,3.9889032201
1881.0,3.3742142034700002
1882.0,3.0590061116900005
1883.0,4.299428487759999
1884.0,6.99929400325
1885.0,4.09934905069
1886.0,1.28155714968
1887.0,4.58471063921
1888.0,3.5948834341300007
1889.0,5.1658563931199994
1890.0,4.0368300988
1891.0,4.86815543169
1892.0,5.71414876452
1893.0,4.84851589764
1894.0,1.9025425794599997
1895.0,2.8046578095499997
1896.0,2.5754472345700004
1897.0,2.67700968648
1898.0,5.00025795112
1899.0,4.3023195765699995
1900.0,4.310492292059999
1901.0,3.5020022559900004
1902.0,3.45706878453
1903.0,4.1936131241900005
1904.0,2.21407886865
1905.0,4.84069495551
1906.0,4.41080654798
1907.0,4.08001798176
1908.0,4.92946252736
1909.0,3.42746260582
1910.0,5.107513183380001
1911.0,5.33016365518
1912.0,4.98909533452
1913.0,4.61440906027
1914.0,3.05802530535
1915.0,2.85709288385
1916.0,3.3978495148000003
1917.0,3.7898973908499998
1918.0,4.10057441687
1919.0,2.6465404477
1920.0,2.38503009008
1921.0,2.6294320288
1922.0,2.38965136251
1923.0,3.2360253918299997
1924.0,3.4648064591800005
1925.0,0.601953302619
1926.0,1.18750503272
1927.0,0.194146068114
1928.0,-0.116288177063
1929.0,1.05536901302
1930.0,-1.16354500111
1931.0,3.6365829531199996
1932.0,1.7959127220099997
1933.0,3.2037544107300002
1934.0,-0.14829795006
1935.0,2.72444794522
1936.0,-0.13588824737
1937.0,-0.334882655671
1938.0,2.78275221282
1939.0,-1.18830871139
1940.0,-1.11913403835
1941.0,1.08563632858
1942.0,0.537640538844
1943.0,-1.46736961095
1944.0,-0.307193748545
1945.0,2.20284528129
1946.0,-0.018099166273099997
1947.0,-1.95063620407
1948.0,1.84971513164
1949.0,0.00562795502443
1950.0,0.428725941302
1951.0,2.3824744243500002
1952.0,1.23979278255
1953.0,-0.0594296970323
1954.0,-1.7272770826099997
1955.0,0.495976885362
1956.0,1.7171884286899999
1957.0,-0.583820510494
1958.0,-1.1497480338
1959.0,0.904516715908
1960.0,2.1695381539099996
1961.0,-1.10211915294
1962.0,-0.410779922439
1963.0,0.915483187351
1964.0,0.8139793878839999
1965.0,-1.3972031555200002
1966.0,-0.205644327135
1967.0,-0.282033105026
1968.0,0.34906106667900005
1969.0,-2.68488549925
1970.0,-0.544138203194
1971.0,1.10576760483
1972.0,0.458429472468
1973.0,1.50468597615
1974.0,-1.4818361356099998
1975.0,0.846905725142
1976.0,0.410571466672
1977.0,-0.7862826336669999
1978.0,2.78957347967
1979.0,-2.15617908424
1980.0,-2.06219111265
1981.0,1.3226893829000002
1982.0,-0.605835567425
1983.0,1.23914179712
1984.0,-1.28691283718
1985.0,2.42299636066
1986.0,1.1534322477299999
1987.0,-2.0916268425299998
1988.0,0.9762779838429282
1989.0,0.5862017661431468
1990.0,-1.3123062660841929
1991.0,0.2517406033245265
1992.0,1.0580091802522051
1993.0,0.6505361228425409
1994.0,-2.334410240110657
1995.0,-0.5044492304387417
1996.0,-0.7361016138575194
1997.0,-1.4633300965195368
1998.0,0.3503188233121338
1999.0,-1.7026594729176772
2000.0,2.052930204840085
2001.0,-2.615556307299495
2002.0,1.3739384831280372
2003.0,1.7107220801069019
2004.0,0.007324199662718961
2005.0,-0.5604771712391738
2006.0,1.7924203847464988
2007.0,-0.34175041599245204
2008.0,1.3582547804669427
2009.0,-0.95080445066076
2010.0,0.6143662646277508
2011.0,0.8422098662613792
2012.0,-0.3601542126095821
2013.0,-0.19464636012063394
2014.0,-1.0154606209976411
2015.0,-0.7628613362232872
2016.0,0.4134076920811813
