y,gpp_2000
166,133.313
167,133.3284
168,133.6045
169,133.6603
170,133.9408
171,134.1848
172,134.3221
173,134.5383
174,134.7222
175,134.6005
176,134.5956
177,134.5944
178,134.6339
179,134.4145
180,134.3053
181,134.2645
182,134.3778
183,134.2158
184,134.0371
185,134.0168
186,134.0348
187,133.896
188,134.0905
189,134.0006
190,133.9621
191,133.935
192,133.9751
193,133.9335
194,133.9739
195,133.8105
196,133.735
197,133.7375
198,133.8255
199,133.5838
200,133.5633
201,133.511
202,133.5347
203,133.6045
204,133.4789
205,133.3217
206,133.4616
207,133.3373
208,133.2944
209,133.2912
210,133.2629
211,133.0844
212,133.1662
213,133.1966
214,133.0343
215,132.9306
216,132.9536
217,132.8778
218,132.9804
219,133.9612
220,133.1465
221,132.7928
222,132.6911
223,132.4556
224,132.5938
225,132.4034
226,132.1416
227,132.0674
228,131.9609
229,131.8672
230,131.8815
231,131.731
232,131.8598
233,131.7887
234,131.5824
235,131.6168
236,131.9334
237,131.9438
238,131.9705
239,131.8849
240,130.467
241,131.2845
242,131.7207
243,131.8387
244,131.8939
245,132.0498
246,132.0904
247,132.1701
248,132.3641
249,132.2088
250,132.1279
251,132.2926
252,132.3706
253,132.4175
254,132.3722
255,132.247
256,131.9554
257,131.6049
258,130.6932
259,130.3725
260,130.2709
261,130.1979
262,130.0573
263,130.2914
264,130.0526
265,130.0734
266,130.1186
267,130.084
268,130.0024
269,130.2912
270,129.9449
271,130.0281
272,130.1976
273,130.22
274,130.0386
275,130.2164
276,130.0553
277,130.0747
278,130.234
279,130.2422
280,130.0085
281,130.3048
282,130.0883
283,130.1205
284,130.2137
285,130.058
286,129.9397
287,130.3039
288,130.4455
289,129.2294
290,128.5904
291,128.2497
292,128.1785
293,128.269
294,128.3034
295,128.2609
296,128.1718
297,128.2699
298,128.08
299,128.1687
300,128.1012
301,128.2338
302,128.2271
303,128.2095
304,128.2052
305,128.2798
306,128.222
307,128.408
308,128.3167
309,128.3737
310,128.1525
311,128.1491
312,128.1779
313,128.2075
314,128.1228
315,128.0235
316,127.9076
317,128.0396
318,127.8989
319,127.9774
320,127.8915
321,127.9826
322,127.9088
323,127.8647
324,127.8021
325,127.8662
326,127.7164
327,127.7832
328,127.6349
329,127.7909
330,127.5984
331,128.0763
332,128.3469
333,128.2135
334,127.9928
335,127.8938
336,127.7201
337,127.67
338,127.553
339,127.5816
340,127.5478
341,127.5985
342,127.5611
343,127.564
344,127.7264
345,127.6229
346,127.4793
347,127.6017
348,127.5105
349,127.6324
350,127.64
351,127.5487
352,127.5536
353,127.5099
354,127.4733
355,127.4276
356,127.4517
357,127.5053
358,126.6281
359,126.8921
360,126.6978
361,126.7132
362,126.8723
363,126.9463
364,127.0899
365,127.1644
366,126.9677
