year,pr
1851.0,3.10818524920128
1852.0,3.09148431207552
1853.0,3.1085009803929604
1854.0,3.09541469800608
1855.0,3.1004370044409595
1856.0,3.10410221864544
1857.0,3.120561585216
1858.0,3.11614822473696
1859.0,3.09719696541408
1860.0,3.1146185663136
1861.0,3.11340175561152
1862.0,3.1266226690185603
1863.0,3.0916699638768
1864.0,3.09839574687264
1865.0,3.1185047042380796
1866.0,3.09603817151712
1867.0,3.1012557457967995
1868.0,3.10157206850016
1869.0,3.1123025843328
1870.0,3.15173664948384
1871.0,3.11673207901824
1872.0,3.12236200938528
1873.0,3.1193008005686402
1874.0,3.1473502961328
1875.0,3.13297082412192
1876.0,3.1273529475312003
1877.0,3.1194690783494403
1878.0,3.12130223325792
1879.0,3.14142536039616
1880.0,3.14677891073664
1881.0,3.14474786953632
1882.0,3.1534561175702405
1883.0,3.13685191327104
1884.0,3.1341477276316803
1885.0,3.1592099745763202
1886.0,3.1745119582224
1887.0,3.1466254484390404
1888.0,3.16935421981344
1889.0,3.16803540263616
1890.0,3.16236275184096
1891.0,3.1687113603887997
1892.0,3.1507827982704
1893.0,3.14728753472352
1894.0,3.1735662765263997
1895.0,3.17120622814368
1896.0,3.1851986699376
1897.0,3.1909206325824
1898.0,3.1800759629097604
1899.0,3.1736489876524803
1900.0,3.18244372566336
1901.0,3.18820621300992
1902.0,3.1959565532294403
1903.0,3.17909403729504
1904.0,3.216041596008
1905.0,3.19847990243328
1906.0,3.1906797854112
1907.0,3.1718403993052804
1908.0,3.17440099184256
1909.0,3.1830663275280004
1910.0,3.20080159329408
1911.0,3.2247079941024
1912.0,3.2184333267091203
1913.0,3.1972260904128
1914.0,3.18626111292192
1915.0,3.19383006681312
1916.0,3.21021788429088
1917.0,3.2206837399891204
1918.0,3.20357023710912
1919.0,3.21687015889248
1920.0,3.2097260162620795
1921.0,3.2036113354809603
1922.0,3.1915730639952002
1923.0,3.2136083674127995
1924.0,3.23353186252128
1925.0,3.2032448163302405
1926.0,3.2007328711833596
1927.0,3.1961247558163204
1928.0,3.19351732917408
1929.0,3.2023007660563203
1930.0,3.21916194659232
1931.0,3.22888554032256
1932.0,3.21737822136576
1933.0,3.21884611857216
1934.0,3.2152320837792003
1935.0,3.2244078573417596
1936.0,3.2228852150735996
1937.0,3.19447047596832
1938.0,3.1970226020313595
1939.0,3.2178155870736003
1940.0,3.23195771499264
1941.0,3.2096180317708796
1942.0,3.2235008917968
1943.0,3.1999110216307205
1944.0,3.20719505139936
1945.0,3.21191763823008
1946.0,3.20770065592224
1947.0,3.22646441603904
1948.0,3.2057437186799995
1949.0,3.1979202285312005
1950.0,3.23374477883616
1951.0,3.2049859163414403
1952.0,3.20033330227872
1953.0,3.2321865086726405
1954.0,3.21956429423328
1955.0,3.2144582303424
1956.0,3.20886745782912
1957.0,3.2197876818220803
1958.0,3.2131615413023997
1959.0,3.21392740501152
1960.0,3.2253398422099195
1961.0,3.22192328610816
1962.0,3.2329597115606403
1963.0,3.20683178067264
1964.0,3.21457992682464
1965.0,3.2140897940534403
1966.0,3.2111204644656004
1967.0,3.20040751034016
1968.0,3.1969950807283203
1969.0,3.226109563584
1970.0,3.2348787477235197
1971.0,3.212120722516667
1972.0,3.220259574563121
1973.0,3.2181794935708554
1974.0,3.2138568836983183
1975.0,3.2218191682135564
1976.0,3.229672678329155
1977.0,3.245524674898783
1978.0,3.2217782464640337
1979.0,3.235138155638807
1980.0,3.2214618131942334
1981.0,3.2367347395675052
1982.0,3.222318282002445
1983.0,3.2435976932987223
1984.0,3.2135255028719514
1985.0,3.2116916154528266
1986.0,3.2159800685120468
1987.0,3.2120943281902985
1988.0,3.212554408305785
1989.0,3.2100519492393658
1990.0,3.2362999249944484
1991.0,3.2258491448236812
1992.0,3.2242726722233033
1993.0,3.2130829917773998
1994.0,3.2128761100846672
1995.0,3.2151623872022412
1996.0,3.2012389937438965
1997.0,3.2062699682338702
1998.0,3.2084014698496803
1999.0,3.215568619113608
2000.0,3.219035896844125
2001.0,3.2047311774938385
2002.0,3.2177054658138995
2003.0,3.1966293590012227
