year,fco2nat
1851.0,-2.518460265727
1852.0,-3.1287076399240004
1853.0,-2.002053076885
1854.0,-3.88410242515
1855.0,-3.5488120819
1856.0,-3.30141104682
1857.0,-2.164131527437
1858.0,-4.13995587488
1859.0,-4.30017928934
1860.0,-3.8258656568000013
1861.0,-3.055197323686
1862.0,-2.4573913556229003
1863.0,-6.85065206538
1864.0,-5.92711906587
1865.0,-3.220661399477
1866.0,-5.64767505627
1867.0,-6.558626595469999
1868.0,-8.16177664798
1869.0,-5.8245531477300005
1870.0,-3.1873238429
1871.0,-7.5786347472500015
1872.0,-5.916220033019999
1873.0,-6.6023587505000005
1874.0,-5.11395569295
1875.0,-7.699057454289999
1876.0,-7.41901040612
1877.0,-8.070759895190001
1878.0,-7.190137759550001
1879.0,-6.52950651447
1880.0,-7.623013039630001
1881.0,-7.1146289971200005
1882.0,-6.793690510819999
1883.0,-7.84147421719
1884.0,-10.6956727345
1885.0,-7.788007216989999
1886.0,-4.91975548131
1887.0,-8.36473838664
1888.0,-7.545985300330001
1889.0,-9.050981807589999
1890.0,-8.05856730679
1891.0,-8.697232776849999
1892.0,-9.490648595660002
1893.0,-8.90210123041
1894.0,-6.0464028554299984
1895.0,-6.96674770492
1896.0,-6.908334748030001
1897.0,-6.95128632717
1898.0,-9.05729093734
1899.0,-8.56110142835
1900.0,-8.534236931319999
1901.0,-7.819394233089999
1902.0,-7.760885460440003
1903.0,-8.520714537349999
1904.0,-6.7858899073900005
1905.0,-6.486022853040001
1906.0,-5.6959530882200005
1907.0,-5.82516580109
1908.0,-4.92338804234
1909.0,-3.2078457249500003
1910.0,-3.9809531973300003
1911.0,-3.56631606135
1912.0,-2.7576893017799997
1913.0,-4.7248403111
1914.0,-3.6527419658
1915.0,-3.0994088542799996
1916.0,-0.34646637042999995
1917.0,-0.3136723187899999
1918.0,-3.14438344861
1919.0,-2.179102568271
1920.0,-3.61805312699
1921.0,-1.429445969761
1922.0,-2.38333963042
1923.0,-0.34953058379799995
1924.0,-0.6180046190290001
1925.0,-2.9872501543900003
1926.0,-2.706182397704
1927.0,-2.2484512963850003
1928.0,0.140615869166
1929.0,-2.04973119624
1930.0,-0.5638290507420001
1931.0,-0.5365433429259999
1932.0,-1.705902507293
1933.0,-2.015910074258
1934.0,-1.1659916356839999
1935.0,-0.7110372920320001
1936.0,-0.633266041806
1937.0,-4.114019037656
1938.0,-1.978076648899
1939.0,1.1547657857940001
1940.0,-0.8417015666818001
1941.0,-2.191450060938
1942.0,-0.730020405186
1943.0,-1.244078864187
1944.0,-1.449115040232
1945.0,-0.31294533643800004
1946.0,-1.722558603746
1947.0,-0.44408906377999996
1948.0,-2.298666269747
1949.0,-2.085272218919
1950.0,-0.399912214595
1951.0,-0.836998625287
1952.0,-0.23234021005199998
1953.0,1.8179339270519999
1954.0,-1.533851879087
1955.0,-1.755010331758
1956.0,-0.402698774159
1957.0,-1.273679067621
1958.0,-1.477407460454
1959.0,-1.5735360360569999
1960.0,0.7633615288169999
1961.0,0.205701753118
1962.0,-0.7660888180776
1963.0,-1.808027639667
1964.0,-0.30391474753699993
1965.0,-1.618526682283
1966.0,2.3179034856
1967.0,-3.6515713490560002
1968.0,-2.166621665678
1969.0,1.747815845007
1970.0,1.0832217469549998
1971.0,-1.4263602326471858
1972.0,0.13276550125160147
1973.0,-1.1945651463549685
1974.0,-0.537667748309267
1975.0,-2.6156441770418337
1976.0,-1.0655673954560227
1977.0,1.0162719499239574
1978.0,-1.7272435260588999
1979.0,1.3115562495904989
1980.0,-2.1854687322210413
1981.0,-0.8874628897937066
1982.0,-0.3644938419528601
1983.0,0.7029744630624529
1984.0,-0.7277023205023421
1985.0,-2.6539065028878843
1986.0,-2.0385031622836447
1987.0,0.19271630964943787
1988.0,-1.2030342607415578
1989.0,-1.3594249295808676
1990.0,2.279643278441441
1991.0,0.5777151294490062
1992.0,-1.9501071111444568
1993.0,-0.8423936437099537
1994.0,0.22661450924786355
1995.0,-1.3928643493977078
1996.0,-0.627433708471917
1997.0,-1.2095349495029373
1998.0,-1.6386611952773895
1999.0,-1.3629584992336077
2000.0,1.073309448606612
2001.0,0.7272057858807082
2002.0,-0.6440637616111585
2003.0,-0.7895460160959229
