year,gpp
1851.0,122.758496605
1852.0,122.87905225200001
1853.0,122.808101257
1854.0,124.914374695
1855.0,124.661508269
1856.0,121.20418017899999
1857.0,121.56246591799999
1858.0,125.78996480100001
1859.0,123.66718898799999
1860.0,125.121261904
1861.0,120.92665223
1862.0,123.81346138299999
1863.0,128.804896264
1864.0,127.58322429799999
1865.0,123.73838296
1866.0,129.678543359
1867.0,132.39963352200002
1868.0,134.767330915
1869.0,128.18080622600002
1870.0,130.461289238
1871.0,132.70431002200002
1872.0,133.518194354
1873.0,132.1842358
1874.0,132.413272945
1875.0,138.180394354
1876.0,138.922033364
1877.0,138.36542080700002
1878.0,136.68403126299998
1879.0,136.295553208
1880.0,139.54637788
1881.0,139.068761184
1882.0,140.19304221
1883.0,141.10967384
1884.0,148.580166886
1885.0,143.83916579
1886.0,142.298120445
1887.0,145.709378563
1888.0,145.187809014
1889.0,149.46055687
1890.0,145.002896037
1891.0,151.351962306
1892.0,153.845103112
1893.0,148.52918025
1894.0,145.136561434
1895.0,146.712939946
1896.0,146.549588304
1897.0,150.514644375
1898.0,154.192192363
1899.0,153.50492158
1900.0,153.400847734
1901.0,153.682514938
1902.0,156.170646236
1903.0,153.57951779299998
1904.0,157.96632706
1905.0,159.308526361
1906.0,156.368215197
1907.0,156.246907236
1908.0,153.829699346
1909.0,153.929362624
1910.0,154.027222472
1911.0,154.247934645
1912.0,155.905272081
1913.0,157.215552275
1914.0,152.47865346700002
1915.0,151.625367304
1916.0,145.868740054
1917.0,149.523943498
1918.0,152.418747115
1919.0,153.170695281
1920.0,154.395334344
1921.0,147.22833552
1922.0,147.59199079
1923.0,148.580089749
1924.0,148.577865363
1925.0,153.748021821
1926.0,152.980267571
1927.0,151.733809845
1928.0,145.144020824
1929.0,149.123789646
1930.0,148.221376174
1931.0,148.041456969
1932.0,150.626022814
1933.0,151.515704863
1934.0,146.997464399
1935.0,149.24412030000002
1936.0,152.293442859
1937.0,155.050541038
1938.0,149.67398358399998
1939.0,143.331533091
1940.0,149.051161046
1941.0,150.050896152
1942.0,148.831687506
1943.0,147.042300832
1944.0,146.250088691
1945.0,148.492154352
1946.0,149.204517782
1947.0,149.161894862
1948.0,150.583307073
1949.0,149.355358301
1950.0,153.061163472
1951.0,148.338876237
1952.0,145.41283346
1953.0,145.508789933
1954.0,151.296616002
1955.0,150.313832735
1956.0,146.331636395
1957.0,149.267014461
1958.0,148.738829674
1959.0,146.553597879
1960.0,146.26662938299998
1961.0,147.42780825100002
1962.0,148.410783815
1963.0,148.468405328
1964.0,148.044576738
1965.0,148.487767153
1966.0,141.754735295
1967.0,154.87326116
1968.0,150.795100449
1969.0,141.07935656
1970.0,147.79247921
1971.0,150.16389358419434
1972.0,146.2831993901023
1973.0,147.76458519651663
1974.0,146.49520307613727
1975.0,153.0652729502402
1976.0,149.11583259040648
1977.0,145.7891917158974
1978.0,149.12639349167284
1979.0,146.94928745316867
1980.0,150.48097762666555
1981.0,150.85311297352766
1982.0,147.23543148216226
1983.0,148.68728735880532
1984.0,150.02521554094378
1985.0,150.69807967163638
1986.0,148.52288460504963
1987.0,144.78774972140297
1988.0,149.25867090032912
1989.0,147.20015324608775
1990.0,141.19470976421474
1991.0,144.14740054241395
1992.0,148.37401843414239
1993.0,146.34490060369984
1994.0,143.21392199919222
1995.0,150.01627573684
1996.0,147.19834548179918
1997.0,148.6606084534256
1998.0,149.75347245794683
1999.0,149.71609129430098
2000.0,144.98854727186708
2001.0,144.91794024753167
2002.0,145.99991604373267
2003.0,144.5512251799284
