year,rlut
1851.0,241.28034823599998
1852.0,241.021168741
1853.0,241.18253336599997
1854.0,240.892700518
1855.0,241.04199744299999
1856.0,241.230105107
1857.0,241.60805663099998
1858.0,241.57203021
1859.0,241.227099123
1860.0,241.462658104
1861.0,241.457953314
1862.0,241.743904596
1863.0,241.228997765
1864.0,241.144090468
1865.0,241.764920092
1866.0,241.18541293
1867.0,240.903459673
1868.0,241.039725602
1869.0,241.32580197299998
1870.0,242.17355821299998
1871.0,241.479060319
1872.0,241.49336766
1873.0,241.543610815
1874.0,242.056477785
1875.0,241.789551423
1876.0,241.808702085
1877.0,241.61232540700001
1878.0,241.873482503
1879.0,242.015720399
1880.0,242.286379697
1881.0,242.298458909
1882.0,242.633510687
1883.0,242.09903903400001
1884.0,241.61031378799998
1885.0,242.33597541700001
1886.0,242.978633419
1887.0,242.47061054
1888.0,242.482412808
1889.0,242.685997382
1890.0,242.58806157700002
1891.0,242.55449317400002
1892.0,242.114894835
1893.0,242.39414159700002
1894.0,243.094380955
1895.0,243.04926759
1896.0,243.39169032400002
1897.0,243.53810519700002
1898.0,243.094967046
1899.0,243.183993025
1900.0,243.185083841
1901.0,243.134781345
1902.0,243.34582275900001
1903.0,243.321433652
1904.0,243.640257446
1905.0,243.479076762
1906.0,243.35970399200002
1907.0,242.991090542
1908.0,243.134148825
1909.0,243.133415351
1910.0,243.445864638
1911.0,243.948959609
1912.0,243.942874693
1913.0,243.59975948099998
1914.0,243.42617074400002
1915.0,243.449264971
1916.0,244.024057132
1917.0,244.334900989
1918.0,243.777555601
1919.0,243.98273409
1920.0,243.613677387
1921.0,243.92102592400002
1922.0,243.90512533
1923.0,243.96876613
1924.0,244.34371992799998
1925.0,243.63951097900002
1926.0,243.55917231599997
1927.0,243.73193827
1928.0,243.80447890599999
1929.0,243.870263117
1930.0,244.33505737599998
1931.0,244.368969125
1932.0,244.28331618
1933.0,244.30950519400002
1934.0,244.22269177099997
1935.0,244.367833907
1936.0,244.18257549
1937.0,243.575712239
1938.0,243.712260153
1939.0,244.308617679
1940.0,244.377210583
1941.0,243.849437815
1942.0,244.395307537
1943.0,244.026415301
1944.0,244.123889715
1945.0,243.965363209
1946.0,243.872736955
1947.0,244.44838146200001
1948.0,243.699620193
1949.0,243.56070677
1950.0,244.083491283
1951.0,243.717575764
1952.0,243.932783133
1953.0,244.49410966
1954.0,244.277792244
1955.0,243.94070174400002
1956.0,244.091304477
1957.0,244.031448943
1958.0,244.091361568
1959.0,243.969396025
1960.0,244.45147582099997
1961.0,244.425329854
1962.0,244.67282679599998
1963.0,244.03772148099998
1964.0,243.956734785
1965.0,243.97313733200002
1966.0,244.34382185
1967.0,243.54750618
1968.0,243.520185824
1969.0,244.55900529
1970.0,244.463082554
1971.0,244.08216874486396
1972.0,244.17150757009998
1973.0,244.3678929015015
1974.0,244.1338136866969
1975.0,243.94934790152138
1976.0,244.47070631597427
1977.0,244.7218892351061
1978.0,244.3352821225986
1979.0,244.6307319138619
1980.0,244.13206825847192
1981.0,244.5805901247657
1982.0,244.31488668849536
1983.0,244.75278476934207
1984.0,244.0004177334064
1985.0,243.93789466369597
1986.0,244.25715292932847
1987.0,244.1605725942364
1988.0,244.09649697140426
1989.0,243.9049868791517
1990.0,244.69377064970334
1991.0,244.35430682471687
1992.0,244.30346927054728
1993.0,244.14390378841682
1994.0,244.05585934163898
1995.0,243.71232587194362
1996.0,243.80400390573416
1997.0,243.7137893449669
1998.0,243.91043540702512
1999.0,244.01960684865432
2000.0,244.3183441292325
2001.0,244.1586368978661
2002.0,244.0717222727129
2003.0,244.11159306587768
