Time (year),fgco2 (PgC a-1)
1850.5,0.02087089978158474
1851.5,0.28685063123703003
1852.5,0.5853039026260376
1853.5,0.8321406841278076
1854.5,1.0546373128890991
1855.5,1.2539114952087402
1856.5,1.4322714805603027
1857.5,1.607338786125183
1858.5,1.7612810134887695
1859.5,1.9116863012313843
1860.5,2.0521817207336426
1861.5,2.1857404708862305
1862.5,2.3126823902130127
1863.5,2.430264949798584
1864.5,2.5452301502227783
1865.5,2.6559793949127197
1866.5,2.761828899383545
1867.5,2.863025188446045
1868.5,2.9662671089172363
1869.5,3.0547935962677
1870.5,3.1441049575805664
1871.5,3.23370099067688
1872.5,3.321953535079956
1873.5,3.3974878787994385
1874.5,3.472151041030884
1875.5,3.541806221008301
1876.5,3.6163973808288574
1877.5,3.6866934299468994
1878.5,3.7512755393981934
1879.5,3.814706802368164
1880.5,3.8748950958251953
1881.5,3.9284842014312744
1882.5,3.9899659156799316
1883.5,4.044846057891846
1884.5,4.108296871185303
1885.5,4.16064453125
1886.5,4.21217155456543
1887.5,4.259188652038574
1888.5,4.30659818649292
1889.5,4.353639602661133
1890.5,4.397913455963135
1891.5,4.440664291381836
1892.5,4.487856864929199
1893.5,4.524966239929199
1894.5,4.571778297424316
1895.5,4.611796855926514
1896.5,4.644509315490723
1897.5,4.683231830596924
1898.5,4.720556735992432
1899.5,4.7563347816467285
1900.5,4.789555072784424
1901.5,4.823769569396973
1902.5,4.8575615882873535
1903.5,4.88592004776001
1904.5,4.8056230545043945
1905.5,4.30240535736084
1906.5,3.7227137088775635
1907.5,3.345367193222046
1908.5,3.0713913440704346
1909.5,2.859088182449341
1910.5,2.686199903488159
1911.5,2.5401206016540527
1912.5,2.4140074253082275
1913.5,2.2959775924682617
1914.5,2.207770824432373
1915.5,2.113877534866333
1916.5,2.034909248352051
1917.5,1.9604276418685913
1918.5,1.893554925918579
1919.5,1.8390086889266968
1920.5,1.77897310256958
1921.5,1.7359474897384644
1922.5,1.683280110359192
1923.5,1.649152159690857
1924.5,1.6069265604019165
1925.5,1.579927682876587
1926.5,1.5419055223464966
1927.5,1.517698884010315
1928.5,1.4806228876113892
1929.5,1.4587047100067139
1930.5,1.4405335187911987
1931.5,1.4106595516204834
1932.5,1.3913012742996216
1933.5,1.3648960590362549
1934.5,1.3480701446533203
1935.5,1.3302080631256104
1936.5,1.3038280010223389
1937.5,1.2954380512237549
1938.5,1.271057367324829
1939.5,1.26180899143219
1940.5,1.2374155521392822
1941.5,1.231183648109436
1942.5,1.2138055562973022
1943.5,1.2059173583984375
1944.5,1.1870551109313965
1945.5,1.180574655532837
1946.5,1.159562587738037
1947.5,1.1547054052352905
1948.5,1.1375788450241089
1949.5,1.1286736726760864
1950.5,1.1235028505325317
1951.5,1.1098735332489014
1952.5,1.109420657157898
1953.5,1.0849645137786865
1954.5,1.0858453512191772
1955.5,1.0731837749481201
1956.5,1.0637189149856567
1957.5,1.0536211729049683
1958.5,1.0516633987426758
1959.5,1.0341448783874512
1960.5,1.0348525047302246
1961.5,1.018715262413025
1962.5,1.0203649997711182
1963.5,1.0050315856933594
1964.5,1.003024697303772
1965.5,0.9911975264549255
1966.5,0.9911534786224365
1967.5,0.980271577835083
1968.5,0.9729191660881042
1969.5,0.966991662979126
1970.5,0.95735102891922
1971.5,0.9509357213973999
1972.5,0.9440556168556213
1973.5,0.9399621486663818
1974.5,0.9327136278152466
1975.5,0.9219192862510681
1976.5,0.9216585755348206
1977.5,0.9060717225074768
1978.5,0.9067606329917908
1979.5,0.8966901302337646
1980.5,0.8901454210281372
1981.5,0.8771982192993164
1982.5,0.8754718899726868
1983.5,0.8715485334396362
1984.5,0.856489360332489
