Time (year),tos (K)
1850.5,291.09686279296875
1851.5,291.11199951171875
1852.5,291.124755859375
1853.5,291.1357116699219
1854.5,291.14697265625
1855.5,291.1589660644531
1856.5,291.1720886230469
1857.5,291.184814453125
1858.5,291.19866943359375
1859.5,291.2126159667969
1860.5,291.2264404296875
1861.5,291.2410583496094
1862.5,291.25482177734375
1863.5,291.2690124511719
1864.5,291.284423828125
1865.5,291.2987060546875
1866.5,291.3132629394531
1867.5,291.3282775878906
1868.5,291.3439636230469
1869.5,291.36077880859375
1870.5,291.3787536621094
1871.5,291.3975524902344
1872.5,291.41571044921875
1873.5,291.43255615234375
1874.5,291.44891357421875
1875.5,291.4648132324219
1876.5,291.48016357421875
1877.5,291.4963684082031
1878.5,291.5129699707031
1879.5,291.5303649902344
1880.5,291.5480651855469
1881.5,291.5656433105469
1882.5,291.582763671875
1883.5,291.6003112792969
1884.5,291.6186828613281
1885.5,291.63641357421875
1886.5,291.6558837890625
1887.5,291.6755065917969
1888.5,291.6950378417969
1889.5,291.71514892578125
1890.5,291.73516845703125
1891.5,291.7547302246094
1892.5,291.7748107910156
1893.5,291.7950744628906
1894.5,291.8153076171875
1895.5,291.8367614746094
1896.5,291.85791015625
1897.5,291.8795471191406
1898.5,291.90081787109375
1899.5,291.92242431640625
1900.5,291.9438781738281
1901.5,291.96661376953125
1902.5,291.9889221191406
1903.5,292.0106201171875
1904.5,292.0323791503906
1905.5,292.054443359375
1906.5,292.0768737792969
1907.5,292.099853515625
1908.5,292.1224060058594
1909.5,292.1449279785156
1910.5,292.1676025390625
1911.5,292.1897888183594
1912.5,292.2116394042969
1913.5,292.2337341308594
1914.5,292.2552490234375
1915.5,292.2762145996094
1916.5,292.29754638671875
1917.5,292.3189392089844
1918.5,292.3399658203125
1919.5,292.36083984375
1920.5,292.3818664550781
1921.5,292.40301513671875
1922.5,292.4247741699219
1923.5,292.4461364746094
1924.5,292.4678955078125
1925.5,292.4892578125
1926.5,292.5109558105469
1927.5,292.5341491699219
1928.5,292.5570373535156
1929.5,292.5797424316406
1930.5,292.6024475097656
1931.5,292.6242370605469
1932.5,292.6463317871094
1933.5,292.6683349609375
1934.5,292.6905822753906
1935.5,292.71368408203125
1936.5,292.7373046875
1937.5,292.7611999511719
1938.5,292.7851867675781
1939.5,292.80908203125
1940.5,292.8330383300781
1941.5,292.8567199707031
1942.5,292.8805236816406
1943.5,292.90411376953125
1944.5,292.9278564453125
1945.5,292.9516906738281
1946.5,292.9758605957031
1947.5,293.000244140625
1948.5,293.02532958984375
1949.5,293.0502624511719
1950.5,293.075439453125
1951.5,293.1006164550781
1952.5,293.1260070800781
1953.5,293.151123046875
1954.5,293.1767272949219
1955.5,293.2019348144531
1956.5,293.2281188964844
1957.5,293.25408935546875
1958.5,293.28021240234375
1959.5,293.306884765625
1960.5,293.33392333984375
1961.5,293.3606872558594
1962.5,293.3871765136719
1963.5,293.4137878417969
1964.5,293.440185546875
1965.5,293.4665832519531
1966.5,293.4932861328125
1967.5,293.5198669433594
1968.5,293.5471496582031
1969.5,293.57421875
1970.5,293.60174560546875
1971.5,293.62921142578125
1972.5,293.6568298339844
1973.5,293.6840515136719
1974.5,293.71173095703125
1975.5,293.73956298828125
1976.5,293.76727294921875
1977.5,293.7953796386719
1978.5,293.82366943359375
1979.5,293.85205078125
1980.5,293.88031005859375
1981.5,293.908447265625
1982.5,293.93695068359375
1983.5,293.96527099609375
1984.5,293.993896484375
1985.5,294.0225830078125
1986.5,294.0517578125
1987.5,294.0813293457031
1988.5,294.1103820800781
1989.5,294.1392822265625
