Time (year),npp (PgC a-1)
1850.5,59.201133728027344
1851.5,59.39766311645508
1852.5,59.695865631103516
1853.5,59.99910354614258
1854.5,60.307044982910156
1855.5,60.59773635864258
1856.5,60.8969612121582
1857.5,61.18973922729492
1858.5,61.47420120239258
1859.5,61.760494232177734
1860.5,62.06404113769531
1861.5,62.3553352355957
1862.5,62.63943099975586
1863.5,62.93095016479492
1864.5,63.21598815917969
1865.5,63.506492614746094
1866.5,63.816349029541016
1867.5,64.10088348388672
1868.5,64.41004943847656
1869.5,64.7213363647461
1870.5,65.02449798583984
1871.5,65.34253692626953
1872.5,65.61564636230469
1873.5,65.93218231201172
1874.5,66.22178649902344
1875.5,66.52488708496094
1876.5,66.81275177001953
1877.5,67.13223266601562
1878.5,67.41748046875
1879.5,67.7336654663086
1880.5,68.0363540649414
1881.5,68.35540771484375
1882.5,68.65403747558594
1883.5,68.97077178955078
1884.5,69.25740814208984
1885.5,69.59368896484375
1886.5,69.89044952392578
1887.5,70.22203063964844
1888.5,70.53585815429688
1889.5,70.88765716552734
1890.5,71.20504760742188
1891.5,71.50845336914062
1892.5,71.85804748535156
1893.5,72.19058227539062
1894.5,72.5313720703125
1895.5,72.86524200439453
1896.5,73.22693634033203
1897.5,73.55963897705078
1898.5,73.90750122070312
1899.5,74.23003387451172
1900.5,74.58183288574219
1901.5,74.93599700927734
1902.5,75.2733154296875
1903.5,75.62838745117188
1904.5,75.96420288085938
1905.5,76.32151794433594
1906.5,76.66744995117188
1907.5,77.03702545166016
1908.5,77.37326049804688
1909.5,77.73489379882812
1910.5,78.06439208984375
1911.5,78.43494415283203
1912.5,78.78670501708984
1913.5,79.13777160644531
1914.5,79.51048278808594
1915.5,79.843505859375
1916.5,80.19617462158203
1917.5,80.42742919921875
1918.5,80.37250518798828
1919.5,80.17771911621094
1920.5,79.97102355957031
1921.5,79.81562042236328
1922.5,79.65885162353516
1923.5,79.52223205566406
1924.5,79.41581726074219
1925.5,79.27110290527344
1926.5,79.17095184326172
1927.5,79.0472412109375
1928.5,78.96454620361328
1929.5,78.86238098144531
1930.5,78.7928466796875
1931.5,78.66954040527344
1932.5,78.59539794921875
1933.5,78.47559356689453
1934.5,78.39503479003906
1935.5,78.31122589111328
1936.5,78.2396469116211
1937.5,78.15458679199219
1938.5,78.06443786621094
1939.5,77.99610137939453
1940.5,77.92162322998047
1941.5,77.8650894165039
1942.5,77.77423858642578
1943.5,77.69835662841797
1944.5,77.62420654296875
1945.5,77.5423355102539
1946.5,77.46765899658203
1947.5,77.38326263427734
1948.5,77.31914520263672
1949.5,77.22860717773438
1950.5,77.1807861328125
1951.5,77.09313201904297
1952.5,77.01739501953125
1953.5,76.96908569335938
1954.5,76.89351654052734
1955.5,76.8375244140625
1956.5,76.79544830322266
1957.5,76.70960998535156
1958.5,76.68009185791016
1959.5,76.6291275024414
1960.5,76.57764434814453
1961.5,76.49972534179688
1962.5,76.4681625366211
1963.5,76.4027099609375
1964.5,76.34901428222656
1965.5,76.30862426757812
1966.5,76.24948120117188
1967.5,76.21586608886719
1968.5,76.1585464477539
1969.5,76.10845947265625
1970.5,76.06147766113281
1971.5,76.0215072631836
1972.5,75.96385192871094
1973.5,75.9339599609375
1974.5,75.88316345214844
1975.5,75.8363265991211
1976.5,75.8022689819336
1977.5,75.76978302001953
1978.5,75.72114562988281
1979.5,75.69633483886719
1980.5,75.6623764038086
1981.5,75.62300109863281
1982.5,75.59214782714844
1983.5,75.56112670898438
1984.5,75.53715515136719
1985.5,75.50667572021484
1986.5,75.4865493774414
1987.5,75.4459228515625
1988.5,75.41860961914062
1989.5,75.39225769042969
1990.5,75.37891387939453
1991.5,75.35143280029297
1992.5,75.31684112548828
1993.5,75.2867202758789
1994.5,75.27346801757812
1995.5,75.24037170410156
1996.5,75.23231506347656
1997.5,75.20707702636719
1998.5,75.16867065429688
1999.5,75.15443420410156
2000.5,75.14004516601562
2001.5,75.09711456298828
2002.5,75.10528564453125
2003.5,75.0692138671875
2004.5,75.04840087890625
2005.5,75.01288604736328
2006.5,75.00704956054688
2007.5,74.99330139160156
2008.5,74.9694595336914
2009.5,74.96327209472656
2010.5,74.93988800048828
2011.5,74.90987396240234
2012.5,74.90950775146484
2013.5,74.88452911376953
2014.5,74.86985778808594
2015.5,74.83454895019531
2016.5,74.83438110351562
2017.5,74.81407165527344
2018.5,74.79527282714844
2019.5,74.78766632080078
2020.5,74.76177215576172
2021.5,74.76025390625
2022.5,74.75960540771484
2023.5,74.70663452148438
2024.5,74.71178436279297
2025.5,74.69295501708984
2026.5,74.68333435058594
2027.5,74.68250274658203
2028.5,74.65459442138672
2029.5,74.63434600830078
2030.5,74.62508392333984
2031.5,74.61888885498047
2032.5,74.61347198486328
2033.5,74.6045150756836
2034.5,74.58561706542969
2035.5,74.57655334472656
2036.5,74.54832458496094
2037.5,74.56014251708984
2038.5,74.55255889892578
2039.5,74.53202819824219
2040.5,74.52082061767578
2041.5,74.49513244628906
2042.5,74.49452209472656
2043.5,74.46665954589844
2044.5,74.47907257080078
2045.5,74.4657974243164
2046.5,74.45772552490234
2047.5,74.4389877319336
2048.5,74.4160385131836
2049.5,74.40697479248047
2050.5,74.41730499267578
2051.5,74.41364288330078
2052.5,74.38267517089844
2053.5,74.37358093261719
2054.5,74.36035919189453
2055.5,74.35033416748047
2056.5,74.35116577148438
2057.5,74.34246063232422
2058.5,74.34332275390625
2059.5,74.31561279296875
2060.5,74.31258392333984
2061.5,74.27753448486328
2062.5,74.30059814453125
2063.5,74.30633544921875
