Time (year),co2emit (PgC a-1)
1850.5,0.16056327521800995
1851.5,0.1900836080312729
1852.5,0.2292487770318985
1853.5,0.27540674805641174
1854.5,0.3295697271823883
1855.5,0.3928486406803131
1856.5,0.46645355224609375
1857.5,0.551692008972168
1858.5,0.6499654054641724
1859.5,0.7627618312835693
1860.5,0.8916468024253845
1861.5,1.0382500886917114
1862.5,1.2042489051818848
1863.5,1.3913480043411255
1864.5,1.6012548208236694
1865.5,1.8356518745422363
1866.5,2.0961647033691406
1867.5,2.384326219558716
1868.5,2.701538562774658
1869.5,3.0490307807922363
1870.5,3.4278171062469482
1871.5,3.838651657104492
1872.5,4.281982898712158
1873.5,4.757911682128906
1874.5,5.266147136688232
1875.5,5.805970191955566
1876.5,6.3761982917785645
1877.5,6.975157260894775
1878.5,7.600661754608154
1879.5,8.250000953674316
1880.5,8.919936180114746
1881.5,9.606711387634277
1882.5,10.306065559387207
1883.5,11.01326847076416
1884.5,11.723162651062012
1885.5,12.430211067199707
1886.5,13.128569602966309
1887.5,13.812158584594727
1888.5,14.474742889404297
1889.5,15.110030174255371
1890.5,15.711767196655273
1891.5,16.273836135864258
1892.5,16.790359497070312
1893.5,17.25580596923828
1894.5,17.665082931518555
1895.5,18.013635635375977
1896.5,18.297517776489258
1897.5,18.513486862182617
1898.5,18.659046173095703
1899.5,18.73250389099121
1900.5,18.73300552368164
1901.5,18.660541534423828
1902.5,18.515960693359375
1903.5,18.300939559936523
1904.5,18.017967224121094
1905.5,17.670276641845703
1906.5,17.26180076599121
1907.5,16.797090530395508
1908.5,16.28122901916504
1909.5,15.719744682312012
1910.5,15.118511199951172
1911.5,14.483640670776367
1912.5,13.82138729095459
1913.5,13.138044357299805
1914.5,12.43984603881836
1915.5,11.732876777648926
1916.5,11.02298355102539
1917.5,10.31570816040039
1918.5,9.61621379852295
1919.5,8.929237365722656
1920.5,8.259044647216797
1921.5,7.609400749206543
1922.5,6.983551025390625
1923.5,6.384212493896484
1924.5,5.8135786056518555
1925.5,5.273330211639404
1926.5,4.7646565437316895
1927.5,4.28828239440918
1928.5,3.8445048332214355
1929.5,3.4332275390625
1930.5,3.054006576538086
1931.5,2.706092119216919
1932.5,2.3884730339050293
1933.5,2.0999228954315186
1934.5,1.8390414714813232
1935.5,1.6042975187301636
1936.5,1.3940664529800415
1937.5,1.2066664695739746
1938.5,1.040390133857727
1939.5,0.8935325741767883
1940.5,0.764415979385376
1941.5,0.6514098048210144
1942.5,0.5529477000236511
1943.5,0.46754029393196106
1944.5,0.3937850296497345
1945.5,0.33037298917770386
1946.5,0.2760928273200989
1947.5,0.22983218729496002
1948.5,0.19057758152484894
1949.5,0.14175346493721008
1950.5,0.020108243450522423
1951.5,0.0
1952.5,0.0
1953.5,0.0
1954.5,0.0
1955.5,0.0
1956.5,0.0
1957.5,0.0
1958.5,0.0
1959.5,0.0
1960.5,0.0
1961.5,0.0
1962.5,0.0
1963.5,0.0
1964.5,0.0
1965.5,0.0
1966.5,0.0
1967.5,0.0
1968.5,0.0
1969.5,0.0
1970.5,0.0
1971.5,0.0
1972.5,0.0
1973.5,0.0
1974.5,0.0
1975.5,0.0
1976.5,0.0
1977.5,0.0
1978.5,0.0
1979.5,0.0
1980.5,0.0
1981.5,0.0
1982.5,0.0
1983.5,0.0
1984.5,0.0
1985.5,0.0
1986.5,0.0
1987.5,0.0
1988.5,0.0
1989.5,0.0
1990.5,0.0
1991.5,0.0
1992.5,0.0
1993.5,0.0
1994.5,0.0
1995.5,0.0
1996.5,0.0
1997.5,0.0
1998.5,0.0
1999.5,0.0
2000.5,0.0
2001.5,0.0
2002.5,0.0
2003.5,0.0
2004.5,0.0
2005.5,0.0
2006.5,0.0
2007.5,0.0
2008.5,0.0
2009.5,0.0
2010.5,0.0
2011.5,0.0
2012.5,0.0
2013.5,0.0
2014.5,0.0
2015.5,0.0
2016.5,0.0
2017.5,0.0
2018.5,0.0
2019.5,0.0
2020.5,0.0
2021.5,0.0
2022.5,0.0
2023.5,0.0
2024.5,0.0
2025.5,0.0
2026.5,0.0
2027.5,0.0
2028.5,0.0
2029.5,0.0
2030.5,0.0
2031.5,0.0
2032.5,0.0
2033.5,0.0
2034.5,0.0
2035.5,0.0
2036.5,0.0
2037.5,0.0
2038.5,0.0
2039.5,0.0
2040.5,0.0
2041.5,0.0
2042.5,0.0
2043.5,0.0
2044.5,0.0
2045.5,0.0
2046.5,0.0
2047.5,0.0
2048.5,0.0
2049.5,0.0
2050.5,0.0
2051.5,0.0
2052.5,0.0
2053.5,0.0
2054.5,0.0
2055.5,0.0
2056.5,0.0
2057.5,0.0
2058.5,0.0
2059.5,0.0
2060.5,0.0
2061.5,0.0
2062.5,0.0
2063.5,0.0
2064.5,0.0
2065.5,0.0
2066.5,0.0
2067.5,0.0
2068.5,0.0
2069.5,0.0
2070.5,0.0
2071.5,0.0
2072.5,0.0
2073.5,0.0
2074.5,0.0
2075.5,0.0
2076.5,0.0
2077.5,0.0
2078.5,0.0
2079.5,0.0
2080.5,0.0
2081.5,0.0
2082.5,0.0
2083.5,0.0
2084.5,0.0
2085.5,0.0
2086.5,0.0
2087.5,0.0
2088.5,0.0
2089.5,0.0
2090.5,0.0
2091.5,0.0
2092.5,0.0
2093.5,0.0
2094.5,0.0
2095.5,0.0
2096.5,0.0
2097.5,0.0
2098.5,0.0
2099.5,0.0
2100.5,0.0
2101.5,0.0
2102.5,0.0
2103.5,0.0
2104.5,0.0
2105.5,0.0
2106.5,0.0
2107.5,0.0
2108.5,0.0
2109.5,0.0
2110.5,0.0
2111.5,0.0
