Time (year),cLand (PgC)
1850.5,3081.669189453125
1851.5,3081.43212890625
1852.5,3081.144287109375
1853.5,3080.85595703125
1854.5,3080.55908203125
1855.5,3080.306396484375
1856.5,3080.068603515625
1857.5,3079.86865234375
1858.5,3079.650634765625
1859.5,3079.49658203125
1860.5,3079.369873046875
1861.5,3079.274169921875
1862.5,3079.180419921875
1863.5,3079.18115234375
1864.5,3079.20654296875
1865.5,3079.2734375
1866.5,3079.39306640625
1867.5,3079.551025390625
1868.5,3079.733642578125
1869.5,3080.01318359375
1870.5,3080.33203125
1871.5,3080.697998046875
1872.5,3081.1328125
1873.5,3081.661376953125
1874.5,3082.23095703125
1875.5,3082.942626953125
1876.5,3083.739013671875
1877.5,3084.6689453125
1878.5,3085.700927734375
1879.5,3086.89013671875
1880.5,3088.159423828125
1881.5,3089.593994140625
1882.5,3091.156005859375
1883.5,3092.868408203125
1884.5,3094.72998046875
1885.5,3096.726806640625
1886.5,3098.839111328125
1887.5,3101.075927734375
1888.5,3103.428466796875
1889.5,3105.9287109375
1890.5,3108.545654296875
1891.5,3111.269287109375
1892.5,3114.138427734375
1893.5,3117.14306640625
1894.5,3120.296630859375
1895.5,3123.585205078125
1896.5,3126.98828125
1897.5,3130.506103515625
1898.5,3134.093017578125
1899.5,3137.735107421875
1900.5,3141.406494140625
1901.5,3145.10498046875
1902.5,3148.782958984375
1903.5,3152.446533203125
1904.5,3156.0966796875
1905.5,3159.751708984375
1906.5,3163.39990234375
1907.5,3167.016357421875
1908.5,3170.61474609375
1909.5,3174.208251953125
1910.5,3177.765380859375
1911.5,3181.2880859375
1912.5,3184.743408203125
1913.5,3188.150634765625
1914.5,3191.443603515625
1915.5,3194.66162109375
1916.5,3197.80322265625
1917.5,3200.8681640625
1918.5,3203.816650390625
1919.5,3206.64990234375
1920.5,3209.346435546875
1921.5,3211.902099609375
1922.5,3214.321044921875
1923.5,3216.623779296875
1924.5,3218.794921875
1925.5,3220.876708984375
1926.5,3222.841064453125
1927.5,3224.72900390625
1928.5,3226.51025390625
1929.5,3228.19873046875
1930.5,3229.76318359375
1931.5,3231.2490234375
1932.5,3232.63525390625
1933.5,3233.93115234375
1934.5,3235.1328125
1935.5,3236.286865234375
1936.5,3237.340087890625
1937.5,3238.311279296875
1938.5,3239.204833984375
1939.5,3240.035888671875
1940.5,3240.758544921875
1941.5,3241.431640625
1942.5,3242.034423828125
1943.5,3242.59521484375
1944.5,3243.058349609375
1945.5,3243.458251953125
1946.5,3243.788330078125
1947.5,3244.062744140625
1948.5,3244.269775390625
1949.5,3244.439453125
1950.5,3244.56640625
1951.5,3244.651123046875
1952.5,3244.685546875
1953.5,3244.6826171875
1954.5,3244.6650390625
1955.5,3244.616943359375
1956.5,3244.521240234375
1957.5,3244.376953125
1958.5,3244.220703125
1959.5,3244.023193359375
1960.5,3243.796630859375
1961.5,3243.537109375
1962.5,3243.279052734375
1963.5,3242.9951171875
1964.5,3242.674560546875
1965.5,3242.365234375
1966.5,3242.0322265625
1967.5,3241.71826171875
1968.5,3241.3876953125
1969.5,3241.038330078125
1970.5,3240.670166015625
1971.5,3240.29150390625
1972.5,3239.932373046875
1973.5,3239.552734375
1974.5,3239.153076171875
1975.5,3238.7587890625
1976.5,3238.3486328125
1977.5,3237.955078125
1978.5,3237.55712890625
1979.5,3237.169677734375
1980.5,3236.752685546875
1981.5,3236.355224609375
1982.5,3235.939697265625
1983.5,3235.5244140625
1984.5,3235.094482421875
1985.5,3234.660888671875
1986.5,3234.23828125
1987.5,3233.814697265625
1988.5,3233.4052734375
1989.5,3232.989501953125
1990.5,3232.601318359375
1991.5,3232.20361328125
1992.5,3231.811767578125
1993.5,3231.39306640625
1994.5,3231.003662109375
1995.5,3230.610595703125
1996.5,3230.232421875
1997.5,3229.85498046875
1998.5,3229.5087890625
1999.5,3229.161376953125
2000.5,3228.82373046875
2001.5,3228.47216796875
2002.5,3228.1240234375
2003.5,3227.812744140625
2004.5,3227.499755859375
2005.5,3227.19970703125
2006.5,3226.8818359375
2007.5,3226.565673828125
2008.5,3226.2373046875
2009.5,3225.949462890625
2010.5,3225.66162109375
2011.5,3225.336181640625
2012.5,3225.045166015625
2013.5,3224.74853515625
2014.5,3224.459228515625
2015.5,3224.173828125
2016.5,3223.907958984375
2017.5,3223.596923828125
2018.5,3223.31787109375
2019.5,3223.052734375
2020.5,3222.798095703125
2021.5,3222.546142578125
2022.5,3222.29736328125
2023.5,3222.04248046875
2024.5,3221.790771484375
2025.5,3221.53466796875
2026.5,3221.288818359375
2027.5,3221.0302734375
2028.5,3220.79345703125
2029.5,3220.525390625
2030.5,3220.2900390625
2031.5,3220.05419921875
2032.5,3219.841552734375
2033.5,3219.597412109375
2034.5,3219.376708984375
2035.5,3219.137939453125
2036.5,3218.882568359375
2037.5,3218.65234375
2038.5,3218.408203125
2039.5,3218.194091796875
2040.5,3217.948486328125
2041.5,3217.7041015625
2042.5,3217.4541015625
2043.5,3217.2158203125
2044.5,3216.9619140625
2045.5,3216.727783203125
2046.5,3216.48095703125
2047.5,3216.231689453125
2048.5,3215.994140625
2049.5,3215.74169921875
2050.5,3215.493408203125
2051.5,3215.230712890625
2052.5,3214.995361328125
2053.5,3214.744873046875
2054.5,3214.5048828125
2055.5,3214.267822265625
2056.5,3214.028076171875
2057.5,3213.784912109375
2058.5,3213.535400390625
2059.5,3213.28271484375
2060.5,3213.042236328125
2061.5,3212.80419921875
2062.5,3212.5634765625
2063.5,3212.307861328125
2064.5,3212.060302734375
2065.5,3211.820556640625
2066.5,3211.5947265625
2067.5,3211.3369140625
2068.5,3211.105224609375
2069.5,3210.85595703125
2070.5,3210.623046875
2071.5,3210.375
2072.5,3210.147216796875
2073.5,3209.9228515625
