Time (year),pr (kg m-2 s-1)
1850.5,3.36510747729335e-05
1851.5,3.364918302395381e-05
1852.5,3.36456396325957e-05
1853.5,3.363896030350588e-05
1854.5,3.363651194376871e-05
1855.5,3.363293581060134e-05
1856.5,3.362926508998498e-05
1857.5,3.3624459319980815e-05
1858.5,3.362267307238653e-05
1859.5,3.361985000083223e-05
1860.5,3.361703784321435e-05
1861.5,3.361601920914836e-05
1862.5,3.361153358127922e-05
1863.5,3.361038034199737e-05
1864.5,3.36080374836456e-05
1865.5,3.360643677297048e-05
1866.5,3.360371192684397e-05
1867.5,3.360118716955185e-05
1868.5,3.359989932505414e-05
1869.5,3.359998663654551e-05
1870.5,3.3599615562707186e-05
1871.5,3.3600041206227615e-05
1872.5,3.360072150826454e-05
1873.5,3.360109985806048e-05
1874.5,3.359991023899056e-05
1875.5,3.3599517337279394e-05
1876.5,3.359680704306811e-05
1877.5,3.35963923134841e-05
1878.5,3.359626134624705e-05
1879.5,3.359554466442205e-05
1880.5,3.359555557835847e-05
1881.5,3.359530819579959e-05
1882.5,3.359355469001457e-05
1883.5,3.359313996043056e-05
1884.5,3.359265247127041e-05
1885.5,3.359350375831127e-05
1886.5,3.359453330631368e-05
1887.5,3.359539550729096e-05
1888.5,3.359631955390796e-05
1889.5,3.359889524290338e-05
1890.5,3.3599953894736245e-05
1891.5,3.3602103940211236e-05
1892.5,3.3604195778025314e-05
1893.5,3.36071643687319e-05
1894.5,3.360859409440309e-05
1895.5,3.3612461265875027e-05
1896.5,3.3614578569540754e-05
1897.5,3.361580093041994e-05
1898.5,3.361882772878744e-05
1899.5,3.362021379871294e-05
1900.5,3.36246048391331e-05
1901.5,3.3628661185503006e-05
1902.5,3.3630451071076095e-05
1903.5,3.3632928534643725e-05
1904.5,3.363483847351745e-05
1905.5,3.3639269531704485e-05
1906.5,3.364128860994242e-05
1907.5,3.364417716511525e-05
1908.5,3.364749863976613e-05
1909.5,3.3650067052803934e-05
1910.5,3.3652129786787555e-05
1911.5,3.3654858270892873e-05
1912.5,3.365581505931914e-05
1913.5,3.3657070162007585e-05
1914.5,3.366008240845986e-05
1915.5,3.3660086046438664e-05
1916.5,3.36612829414662e-05
1917.5,3.3660860935924575e-05
1918.5,3.3661799534456804e-05
1919.5,3.366018790984526e-05
1920.5,3.366020246176049e-05
1921.5,3.3660435292404145e-05
1922.5,3.365978045621887e-05
1923.5,3.365903103258461e-05
1924.5,3.365853626746684e-05
1925.5,3.365812881384045e-05
1926.5,3.365806333022192e-05
1927.5,3.365716838743538e-05
1928.5,3.365865632076748e-05
1929.5,3.36562552547548e-05
1930.5,3.3657106541795656e-05
1931.5,3.365548400324769e-05
1932.5,3.3654854632914066e-05
1933.5,3.3654607250355184e-05
1934.5,3.365058728377335e-05
1935.5,3.3650703699095175e-05
1936.5,3.36501507263165e-05
1937.5,3.364898293511942e-05
1938.5,3.3650791010586545e-05
1939.5,3.3648437238298357e-05
1940.5,3.3650027035037056e-05
1941.5,3.36483062710613e-05
1942.5,3.364849908393808e-05
1943.5,3.36482044076547e-05
1944.5,3.3646014344412833e-05
1945.5,3.36466655426193e-05
1946.5,3.364363146829419e-05
1947.5,3.364342774148099e-05
1948.5,3.3643311326159164e-05
1949.5,3.364159420016222e-05
1950.5,3.3641535992501304e-05
1951.5,3.364070289535448e-05
1952.5,3.3639156754361466e-05
1953.5,3.36382508976385e-05
1954.5,3.363644646015018e-05
1955.5,3.363710129633546e-05
1956.5,3.3636668376857415e-05
1957.5,3.363535142852925e-05
1958.5,3.3634991268627346e-05
1959.5,3.3633801649557427e-05
1960.5,3.3633001294219866e-05
1961.5,3.363300857017748e-05
1962.5,3.363105497555807e-05
1963.5,3.363130963407457e-05
1964.5,3.362986899446696e-05
1965.5,3.362849747645669e-05
1966.5,3.362927964190021e-05
1967.5,3.362666757311672e-05
1968.5,3.3626209187787026e-05
1969.5,3.362636925885454e-05
1970.5,3.362688221386634e-05
1971.5,3.362595452927053e-05
1972.5,3.3623909985180944e-05
1973.5,3.3624695788603276e-05
1974.5,3.36239390890114e-05
1975.5,3.3624874049564824e-05
1976.5,3.3624495699768886e-05
1977.5,3.3624059142312035e-05
1978.5,3.362430652487092e-05
1979.5,3.362371717230417e-05
1980.5,3.3622422051848844e-05
1981.5,3.362421193742193e-05
1982.5,3.362281495356001e-05
1983.5,3.362211646162905e-05
1984.5,3.362042843946256e-05
1985.5,3.361832568771206e-05
1986.5,3.361888593644835e-05
1987.5,3.36176271957811e-05
1988.5,3.361644485266879e-05
1989.5,3.361698327353224e-05
