Time (year),nbp (PgC a-1)
1850.5,-0.20782820880413055
1851.5,-0.04850824177265167
1852.5,0.14629703760147095
1853.5,0.3339903950691223
1854.5,0.5189856290817261
1855.5,0.6994025707244873
1856.5,0.8728926777839661
1857.5,1.0307583808898926
1858.5,1.1542831659317017
1859.5,1.3020031452178955
1860.5,1.4646285772323608
1861.5,1.5550283193588257
1862.5,1.6895253658294678
1863.5,1.8112550973892212
1864.5,1.9285849332809448
1865.5,2.0131003856658936
1866.5,2.1265106201171875
1867.5,2.199385166168213
1868.5,2.2780442237854004
1869.5,2.3708600997924805
1870.5,2.4022133350372314
1871.5,2.4761440753936768
1872.5,2.5158393383026123
1873.5,2.617560625076294
1874.5,2.67897629737854
1875.5,2.761990547180176
1876.5,2.822436809539795
1877.5,2.900218963623047
1878.5,2.9663445949554443
1879.5,3.0286293029785156
1880.5,3.0340490341186523
1881.5,3.096147060394287
1882.5,3.134554147720337
1883.5,3.1814801692962646
1884.5,3.186157703399658
1885.5,3.243717908859253
1886.5,3.269862651824951
1887.5,3.2909433841705322
1888.5,3.3039979934692383
1889.5,3.3569037914276123
1890.5,3.3504159450531006
1891.5,3.3803532123565674
1892.5,3.410982131958008
1893.5,3.4294421672821045
1894.5,3.4631905555725098
1895.5,3.489516496658325
1896.5,3.5140304565429688
1897.5,3.513974905014038
1898.5,3.5306477546691895
1899.5,3.5134129524230957
1900.5,3.5249602794647217
1901.5,3.5529537200927734
1902.5,3.541799306869507
1903.5,3.537174701690674
1904.5,3.5075008869171143
1905.5,3.477839469909668
1906.5,3.460056781768799
1907.5,3.475698232650757
1908.5,3.433145761489868
1909.5,3.4412410259246826
1910.5,3.4001405239105225
1911.5,3.402657985687256
1912.5,3.4029932022094727
1913.5,3.377558708190918
1914.5,3.3746211528778076
1915.5,3.3331923484802246
1916.5,3.3008921146392822
1917.5,3.2576162815093994
1918.5,3.230726718902588
1919.5,3.1959943771362305
1920.5,3.160998821258545
1921.5,3.150594711303711
1922.5,3.098529815673828
1923.5,3.0455260276794434
1924.5,2.959833860397339
1925.5,2.9156811237335205
1926.5,2.879598617553711
1927.5,2.822449207305908
1928.5,2.7824864387512207
1929.5,2.756664514541626
1930.5,2.6959915161132812
1931.5,2.655963897705078
1932.5,2.671985387802124
1933.5,2.6169896125793457
1934.5,2.570762872695923
1935.5,2.5733132362365723
1936.5,2.54841947555542
1937.5,2.4895853996276855
1938.5,2.4625399112701416
1939.5,2.392024278640747
1940.5,2.3603408336639404
1941.5,2.310727119445801
1942.5,2.273710012435913
1943.5,2.22235107421875
1944.5,2.130117654800415
1945.5,2.063333511352539
1946.5,2.010695219039917
1947.5,1.9621846675872803
1948.5,1.8927836418151855
1949.5,1.875399112701416
1950.5,1.786472201347351
1951.5,1.72469162940979
1952.5,1.7016180753707886
1953.5,1.651304006576538
1954.5,1.5620046854019165
1955.5,1.4610849618911743
1956.5,1.3759104013442993
1957.5,1.2673121690750122
1958.5,1.1888288259506226
1959.5,1.0736831426620483
1960.5,0.9803439974784851
1961.5,0.8847866654396057
1962.5,0.7790252566337585
1963.5,0.737384557723999
1964.5,0.6038070321083069
1965.5,0.5664114356040955
1966.5,0.49540892243385315
1967.5,0.4401646554470062
1968.5,0.365560382604599
1969.5,0.28514665365219116
1970.5,0.23740942776203156
1971.5,0.24279813468456268
1972.5,0.22115439176559448
1973.5,0.2102811485528946
1974.5,0.14813967049121857
1975.5,0.12189584970474243
1976.5,0.07149152457714081
1977.5,0.06712877005338669
1978.5,-0.022822333499789238
1979.5,-0.03776198625564575
1980.5,-0.09364338219165802
1981.5,-0.15938697755336761
1982.5,-0.2029525488615036
1983.5,-0.2524537146091461
1984.5,-0.3132285177707672
1985.5,-0.3733605146408081
1986.5,-0.39323320984840393
1987.5,-0.46704012155532837
1988.5,-0.5786837339401245
1989.5,-0.6213558316230774
