Time (year),cLand (PgC)
1850.5,3081.690673828125
1851.5,3081.599365234375
1852.5,3081.638671875
1853.5,3081.8818359375
1854.5,3082.313720703125
1855.5,3082.93701171875
1856.5,3083.713134765625
1857.5,3084.681884765625
1858.5,3085.775146484375
1859.5,3087.009521484375
1860.5,3088.36962890625
1861.5,3089.882080078125
1862.5,3091.50439453125
1863.5,3093.26611328125
1864.5,3095.121826171875
1865.5,3097.08740234375
1866.5,3099.159912109375
1867.5,3101.330810546875
1868.5,3103.5185546875
1869.5,3105.802734375
1870.5,3108.15234375
1871.5,3110.57958984375
1872.5,3113.068359375
1873.5,3115.649169921875
1874.5,3118.2998046875
1875.5,3121.029052734375
1876.5,3123.8125
1877.5,3126.68017578125
1878.5,3129.616455078125
1879.5,3132.631591796875
1880.5,3135.673828125
1881.5,3138.732177734375
1882.5,3141.835205078125
1883.5,3145.000244140625
1884.5,3148.18798828125
1885.5,3151.403076171875
1886.5,3154.65673828125
1887.5,3157.926513671875
1888.5,3161.208251953125
1889.5,3164.5302734375
1890.5,3167.859375
1891.5,3171.22412109375
1892.5,3174.590576171875
1893.5,3178.004638671875
1894.5,3181.4404296875
1895.5,3184.91015625
1896.5,3188.40625
1897.5,3191.916748046875
1898.5,3195.43212890625
1899.5,3198.953125
1900.5,3202.455322265625
1901.5,3205.98583984375
1902.5,3209.512451171875
1903.5,3213.03955078125
1904.5,3216.53759765625
1905.5,3220.02392578125
1906.5,3223.490234375
1907.5,3226.950927734375
1908.5,3230.38330078125
1909.5,3233.822998046875
1910.5,3237.240478515625
1911.5,3240.64013671875
1912.5,3244.02490234375
1913.5,3247.41064453125
1914.5,3250.7744140625
1915.5,3254.144287109375
1916.5,3257.459228515625
1917.5,3260.745361328125
1918.5,3263.98828125
1919.5,3267.211181640625
1920.5,3270.4150390625
1921.5,3273.567138671875
1922.5,3276.69287109375
1923.5,3279.75146484375
1924.5,3282.758056640625
1925.5,3285.70068359375
1926.5,3288.6181640625
1927.5,3291.50439453125
1928.5,3294.34033203125
1929.5,3297.1201171875
1930.5,3299.866455078125
1931.5,3302.586669921875
1932.5,3305.28125
1933.5,3307.9521484375
1934.5,3310.561767578125
1935.5,3313.159423828125
1936.5,3315.716552734375
1937.5,3318.239990234375
1938.5,3320.723388671875
1939.5,3323.16162109375
1940.5,3325.5654296875
1941.5,3327.91748046875
1942.5,3330.2294921875
1943.5,3332.482666015625
1944.5,3334.65087890625
1945.5,3336.753173828125
1946.5,3338.815185546875
1947.5,3340.81396484375
1948.5,3342.78369140625
1949.5,3344.69970703125
1950.5,3346.544189453125
1951.5,3348.321533203125
1952.5,3350.055908203125
1953.5,3351.736083984375
1954.5,3353.349365234375
1955.5,3354.876220703125
1956.5,3356.30517578125
1957.5,3357.671875
1958.5,3358.926513671875
1959.5,3360.09228515625
1960.5,3361.159912109375
1961.5,3362.141357421875
1962.5,3362.99658203125
1963.5,3363.583740234375
1964.5,3363.8525390625
1965.5,3363.848388671875
1966.5,3363.671630859375
1967.5,3363.33544921875
1968.5,3362.849365234375
1969.5,3362.275634765625
1970.5,3361.630859375
1971.5,3360.939208984375
1972.5,3360.24072265625
1973.5,3359.495849609375
1974.5,3358.729248046875
1975.5,3357.96484375
1976.5,3357.192138671875
1977.5,3356.423828125
1978.5,3355.619384765625
1979.5,3354.773681640625
1980.5,3353.95263671875
1981.5,3353.12939453125
1982.5,3352.312255859375
1983.5,3351.4755859375
1984.5,3350.6572265625
1985.5,3349.858154296875
1986.5,3349.065185546875
1987.5,3348.2607421875
1988.5,3347.47265625
1989.5,3346.68017578125
1990.5,3345.909423828125
1991.5,3345.105224609375
1992.5,3344.30224609375
1993.5,3343.492919921875
1994.5,3342.695068359375
1995.5,3341.8916015625
1996.5,3341.079833984375
1997.5,3340.24267578125
1998.5,3339.397705078125
1999.5,3338.52880859375
2000.5,3337.682373046875
2001.5,3336.849853515625
2002.5,3336.013671875
2003.5,3335.14306640625
2004.5,3334.28564453125
2005.5,3333.40185546875
2006.5,3332.51318359375
2007.5,3331.61767578125
2008.5,3330.726318359375
2009.5,3329.816650390625
2010.5,3328.915771484375
2011.5,3328.009521484375
2012.5,3327.101806640625
2013.5,3326.19287109375
2014.5,3325.289794921875
2015.5,3324.3818359375
2016.5,3323.4560546875
2017.5,3322.541015625
2018.5,3321.63134765625
2019.5,3320.72021484375
2020.5,3319.780029296875
2021.5,3318.865966796875
2022.5,3317.943115234375
2023.5,3317.025390625
2024.5,3316.101806640625
2025.5,3315.1953125
2026.5,3314.283203125
2027.5,3313.39208984375
2028.5,3312.514892578125
2029.5,3311.662841796875
2030.5,3310.83056640625
2031.5,3309.98974609375
2032.5,3309.1455078125
2033.5,3308.343017578125
2034.5,3307.56640625
2035.5,3306.82080078125
2036.5,3306.0712890625
2037.5,3305.329345703125
2038.5,3304.608642578125
2039.5,3303.91064453125
2040.5,3303.25439453125
2041.5,3302.6064453125
2042.5,3301.95263671875
2043.5,3301.330078125
2044.5,3300.71337890625
2045.5,3300.104248046875
2046.5,3299.527099609375
2047.5,3298.984130859375
2048.5,3298.437255859375
2049.5,3297.897216796875
2050.5,3297.36328125
2051.5,3296.853515625
2052.5,3296.36083984375
2053.5,3295.902099609375
2054.5,3295.432373046875
2055.5,3294.980712890625
2056.5,3294.53466796875
2057.5,3294.0927734375
2058.5,3293.667724609375
2059.5,3293.25244140625
2060.5,3292.83447265625
2061.5,3292.41796875
2062.5,3291.994140625
2063.5,3291.589111328125
2064.5,3291.18505859375
2065.5,3290.791748046875
2066.5,3290.38720703125
2067.5,3289.99658203125
2068.5,3289.600830078125
2069.5,3289.2080078125
2070.5,3288.814208984375
2071.5,3288.438720703125
2072.5,3288.0478515625
2073.5,3287.658935546875
2074.5,3287.276611328125
2075.5,3286.884521484375
2076.5,3286.48779296875
2077.5,3286.090576171875
2078.5,3285.692626953125
2079.5,3285.297607421875
2080.5,3284.871826171875
2081.5,3284.45361328125
2082.5,3284.044921875
2083.5,3283.63232421875
2084.5,3283.209228515625
2085.5,3282.77978515625
2086.5,3282.345947265625
2087.5,3281.914794921875
2088.5,3281.4755859375
2089.5,3281.03955078125
2090.5,3280.58056640625
2091.5,3280.11572265625
2092.5,3279.642333984375
2093.5,3279.177490234375
2094.5,3278.713134765625
2095.5,3278.240234375
2096.5,3277.75634765625
2097.5,3277.271240234375
2098.5,3276.755126953125
2099.5,3276.2431640625
2100.5,3275.708984375
2101.5,3275.173095703125
2102.5,3274.636474609375
2103.5,3274.101318359375
2104.5,3273.5517578125
2105.5,3273.00048828125
2106.5,3272.470703125
2107.5,3271.9375
2108.5,3271.398681640625
2109.5,3270.862060546875
2110.5,3270.327392578125
2111.5,3269.80078125
2112.5,3269.29052734375
2113.5,3268.78564453125
2114.5,3268.2509765625
2115.5,3267.73046875
2116.5,3267.20458984375
2117.5,3266.70068359375
2118.5,3266.1728515625
2119.5,3265.64794921875
2120.5,3265.125
2121.5,3264.61474609375
2122.5,3264.111083984375
2123.5,3263.615478515625
2124.5,3263.122802734375
2125.5,3262.62158203125
2126.5,3262.113525390625
2127.5,3261.6279296875
2128.5,3261.13671875
2129.5,3260.644775390625
2130.5,3260.1455078125
2131.5,3259.64892578125
2132.5,3259.173828125
2133.5,3258.7021484375
