Time (year),fco2nat (PgC a-1)
1850.5,0.2410873919725418
1851.5,0.2615329921245575
1852.5,0.2498747706413269
1853.5,0.18765360116958618
1854.5,0.10388028621673584
1855.5,0.03550581634044647
1856.5,-0.06444531679153442
1857.5,-0.13460540771484375
1858.5,-0.2313227653503418
1859.5,-0.372890442609787
1860.5,-0.4747699201107025
1861.5,-0.594074547290802
1862.5,-0.7629027962684631
1863.5,-0.9294824600219727
1864.5,-1.0956528186798096
1865.5,-1.3038219213485718
1866.5,-1.5388379096984863
1867.5,-1.8178751468658447
1868.5,-2.0858285427093506
1869.5,-2.404409885406494
1870.5,-2.7309036254882812
1871.5,-3.1151342391967773
1872.5,-3.531636953353882
1873.5,-3.931795120239258
1874.5,-4.401477813720703
1875.5,-4.934818267822266
1876.5,-5.425787925720215
1877.5,-6.005302429199219
1878.5,-6.5591583251953125
1879.5,-7.175570487976074
1880.5,-7.78357458114624
1881.5,-8.409944534301758
1882.5,-9.07245922088623
1883.5,-9.725381851196289
1884.5,-10.399635314941406
1885.5,-11.08633041381836
1886.5,-11.732240676879883
1887.5,-12.387247085571289
1888.5,-12.990127563476562
1889.5,-13.569250106811523
1890.5,-14.119302749633789
1891.5,-14.651813507080078
1892.5,-15.10391902923584
1893.5,-15.547365188598633
1894.5,-15.920453071594238
1895.5,-16.261749267578125
1896.5,-16.56723976135254
1897.5,-16.79745864868164
1898.5,-16.952768325805664
1899.5,-17.087909698486328
1900.5,-17.12773895263672
1901.5,-17.07083511352539
1902.5,-17.01683807373047
1903.5,-16.8201961517334
1904.5,-16.624629974365234
1905.5,-16.40029525756836
1906.5,-16.104251861572266
1907.5,-15.763801574707031
1908.5,-15.34565258026123
1909.5,-14.950618743896484
1910.5,-14.517461776733398
1911.5,-14.007678985595703
1912.5,-13.576845169067383
1913.5,-13.115232467651367
1914.5,-12.697097778320312
1915.5,-12.230592727661133
1916.5,-11.742584228515625
1917.5,-11.309502601623535
1918.5,-10.905074119567871
1919.5,-10.543815612792969
1920.5,-10.151566505432129
1921.5,-9.715675354003906
1922.5,-9.294515609741211
1923.5,-8.91505241394043
1924.5,-8.532024383544922
1925.5,-8.179391860961914
1926.5,-7.787518501281738
1927.5,-7.399614334106445
1928.5,-7.083718299865723
1929.5,-6.747400760650635
1930.5,-6.440411567687988
1931.5,-6.138482093811035
1932.5,-5.837296009063721
1933.5,-5.545925140380859
1934.5,-5.264385223388672
1935.5,-5.034612655639648
1936.5,-4.797614097595215
1937.5,-4.61101770401001
1938.5,-4.41949462890625
1939.5,-4.2151780128479
1940.5,-4.055373191833496
1941.5,-3.88826584815979
1942.5,-3.7101917266845703
1943.5,-3.548866033554077
1944.5,-3.4421751499176025
1945.5,-3.279775619506836
1946.5,-3.1770272254943848
1947.5,-3.048804521560669
1948.5,-2.896587610244751
1949.5,-2.7940330505371094
1950.5,-2.682981014251709
1951.5,-2.593543529510498
1952.5,-2.4879002571105957
1953.5,-2.428511619567871
1954.5,-2.3265750408172607
1955.5,-2.25076961517334
1956.5,-2.1871795654296875
1957.5,-2.126343250274658
1958.5,-2.066627264022827
1959.5,-2.028836488723755
1960.5,-1.9255681037902832
1961.5,-1.8688734769821167
1962.5,-1.7937968969345093
1963.5,-1.7853567600250244
1964.5,-1.7469626665115356
1965.5,-1.708092451095581
1966.5,-1.6088067293167114
1967.5,-1.5628246068954468
1968.5,-1.5562665462493896
1969.5,-1.537495493888855
1970.5,-1.4771212339401245
1971.5,-1.4463558197021484
1972.5,-1.3909811973571777
1973.5,-1.3851064443588257
1974.5,-1.3668409585952759
1975.5,-1.343649983406067
1976.5,-1.3167537450790405
1977.5,-1.2892985343933105
1978.5,-1.2673918008804321
1979.5,-1.252449631690979
1980.5,-1.2155553102493286
1981.5,-1.2361767292022705
1982.5,-1.219533085823059
1983.5,-1.205391526222229
1984.5,-1.1609164476394653
1985.5,-1.1632566452026367
1986.5,-1.167925477027893
1987.5,-1.1527018547058105
1988.5,-1.1597977876663208
1989.5,-1.1274760961532593
1990.5,-1.1571447849273682
1991.5,-1.1439650058746338
1992.5,-1.1646898984909058
1993.5,-1.145891785621643
1994.5,-1.1596134901046753
1995.5,-1.1735601425170898
1996.5,-1.1432712078094482
1997.5,-1.1712448596954346
1998.5,-1.1474310159683228
1999.5,-1.1916096210479736
2000.5,-1.1757612228393555
2001.5,-1.171738862991333
2002.5,-1.16414213180542
2003.5,-1.163177490234375
2004.5,-1.158421516418457
