Time (year),hfds (W m-2 s-1)
1850.5,0.23169563710689545
1851.5,0.27240461111068726
1852.5,0.31309840083122253
1853.5,0.34522849321365356
1854.5,0.3949713706970215
1855.5,0.43120747804641724
1856.5,0.48971423506736755
1857.5,0.520846426486969
1858.5,0.5671108365058899
1859.5,0.6080885529518127
1860.5,0.6609110236167908
1861.5,0.6911590099334717
1862.5,0.7310495376586914
1863.5,0.7753951549530029
1864.5,0.8164884448051453
1865.5,0.8510462045669556
1866.5,0.8889411687850952
1867.5,0.9306051135063171
1868.5,0.9647034406661987
1869.5,1.000135898590088
1870.5,1.032561182975769
1871.5,1.0774799585342407
1872.5,1.1113532781600952
1873.5,1.1505796909332275
1874.5,1.1886178255081177
1875.5,1.2305712699890137
1876.5,1.273127794265747
1877.5,1.3125239610671997
1878.5,1.3493657112121582
1879.5,1.3894413709640503
1880.5,1.4247225522994995
1881.5,1.4577468633651733
1882.5,1.4947717189788818
1883.5,1.5363999605178833
1884.5,1.5718350410461426
1885.5,1.6075197458267212
1886.5,1.637656807899475
1887.5,1.6649703979492188
1888.5,1.6969823837280273
1889.5,1.7343864440917969
1890.5,1.7630935907363892
1891.5,1.797525405883789
1892.5,1.8339115381240845
1893.5,1.8648998737335205
1894.5,1.896183967590332
1895.5,1.9221869707107544
1896.5,1.9563093185424805
1897.5,1.9835110902786255
1898.5,2.020317792892456
1899.5,2.0460824966430664
1900.5,2.076613664627075
1901.5,2.108384609222412
1902.5,2.136101722717285
1903.5,2.1595330238342285
1904.5,2.191845178604126
1905.5,2.219597101211548
1906.5,2.248729944229126
1907.5,2.282229423522949
1908.5,2.3083579540252686
1909.5,2.3390021324157715
1910.5,2.366420030593872
1911.5,2.403550624847412
1912.5,2.4337453842163086
1913.5,2.4584813117980957
1914.5,2.492586612701416
1915.5,2.5259461402893066
1916.5,2.560025930404663
1917.5,2.5936789512634277
1918.5,2.624054431915283
1919.5,2.6668283939361572
1920.5,2.6994214057922363
1921.5,2.7325334548950195
1922.5,2.7617225646972656
1923.5,2.800229072570801
1924.5,2.8297438621520996
1925.5,2.8599166870117188
1926.5,2.900442361831665
1927.5,2.936199188232422
1928.5,2.965965509414673
1929.5,2.998446464538574
1930.5,3.032526731491089
1931.5,3.0629730224609375
1932.5,3.09789776802063
1933.5,3.1287405490875244
1934.5,3.1635735034942627
1935.5,3.1979825496673584
1936.5,3.23065185546875
1937.5,3.2634637355804443
1938.5,3.2926931381225586
1939.5,3.328509569168091
1940.5,3.3521132469177246
1941.5,3.383974552154541
1942.5,3.4165730476379395
1943.5,3.4437484741210938
1944.5,3.4767212867736816
1945.5,3.504350185394287
1946.5,3.5339183807373047
1947.5,3.567427158355713
1948.5,3.5967774391174316
1949.5,3.622760057449341
1950.5,3.6472160816192627
1951.5,3.6782147884368896
1952.5,3.703162670135498
1953.5,3.7306432723999023
1954.5,3.7588083744049072
1955.5,3.7887074947357178
1956.5,3.8150198459625244
1957.5,3.8399367332458496
1958.5,3.866497039794922
1959.5,3.894063711166382
1960.5,3.912426710128784
1961.5,3.9358670711517334
1962.5,3.96724271774292
1963.5,3.9933629035949707
1964.5,4.020979881286621
1965.5,4.044567584991455
1966.5,4.070405006408691
1967.5,4.101970195770264
1968.5,4.122313499450684
1969.5,4.149430274963379
1970.5,4.174038887023926
1971.5,4.201901912689209
1972.5,4.226740837097168
1973.5,4.2486796379089355
1974.5,4.27886962890625
1975.5,4.30369234085083
1976.5,4.328761577606201
1977.5,4.3510003089904785
1978.5,4.376052379608154
1979.5,4.404905319213867
1980.5,4.423127174377441
1981.5,4.4510698318481445
1982.5,4.476512908935547
1983.5,4.501351833343506
1984.5,4.526963710784912
1985.5,4.545830249786377
1986.5,4.574596881866455
1987.5,4.5988922119140625
1988.5,4.618515968322754
1989.5,4.637955665588379
