Time (year),fgco2 (PgC a-1)
1850.5,-0.06527788192033768
1851.5,-0.028417710214853287
1852.5,0.00444537540897727
1853.5,0.03384784609079361
1854.5,0.06362032145261765
1855.5,0.08537878841161728
1856.5,0.11295853555202484
1857.5,0.14103588461875916
1858.5,0.16384068131446838
1859.5,0.19017629325389862
1860.5,0.2221149057149887
1861.5,0.25696420669555664
1862.5,0.3018445670604706
1863.5,0.3403615653514862
1864.5,0.385722815990448
1865.5,0.44445160031318665
1866.5,0.5060737133026123
1867.5,0.576077401638031
1868.5,0.6520820260047913
1869.5,0.731372058391571
1870.5,0.819137692451477
1871.5,0.9185961484909058
1872.5,1.032131552696228
1873.5,1.1522327661514282
1874.5,1.2850897312164307
1875.5,1.4291536808013916
1876.5,1.5806231498718262
1877.5,1.7426718473434448
1878.5,1.912185549736023
1879.5,2.0891551971435547
1880.5,2.281648874282837
1881.5,2.4757864475250244
1882.5,2.6764755249023438
1883.5,2.888699531555176
1884.5,3.1022138595581055
1885.5,3.3161203861236572
1886.5,3.533289670944214
1887.5,3.753056526184082
1888.5,3.9788386821746826
1889.5,4.196261882781982
1890.5,4.4038896560668945
1891.5,4.60985803604126
1892.5,4.804181098937988
1893.5,4.983662128448486
1894.5,5.151142120361328
1895.5,5.307978630065918
1896.5,5.45567512512207
1897.5,5.580606460571289
1898.5,5.690277576446533
1899.5,5.791660308837891
1900.5,5.864819049835205
1901.5,5.929365634918213
1902.5,5.969931125640869
1903.5,5.989985466003418
1904.5,6.004520416259766
1905.5,5.993379592895508
1906.5,5.976827621459961
1907.5,5.937380313873291
1908.5,5.880758285522461
1909.5,5.816097259521484
1910.5,5.7327775955200195
1911.5,5.644279956817627
1912.5,5.539161682128906
1913.5,5.443962097167969
1914.5,5.326152801513672
1915.5,5.2110066413879395
1916.5,5.078212738037109
1917.5,4.955041885375977
1918.5,4.824817180633545
1919.5,4.688093185424805
1920.5,4.559883117675781
1921.5,4.421592712402344
1922.5,4.285652160644531
1923.5,4.1569437980651855
1924.5,4.023730754852295
1925.5,3.896317720413208
1926.5,3.7690248489379883
1927.5,3.6465330123901367
1928.5,3.523305654525757
1929.5,3.406898021697998
1930.5,3.290281057357788
1931.5,3.1774449348449707
1932.5,3.0732057094573975
1933.5,2.9720447063446045
1934.5,2.877368927001953
1935.5,2.7858800888061523
1936.5,2.6985411643981934
1937.5,2.6161892414093018
1938.5,2.539207935333252
1939.5,2.4618327617645264
