Time (year),rlut (W m-2 s-1)
1850.5,237.09083557128906
1851.5,237.07568359375
1852.5,237.051025390625
1853.5,237.01992797851562
1854.5,236.99276733398438
1855.5,236.96780395507812
1856.5,236.94583129882812
1857.5,236.9222412109375
1858.5,236.90077209472656
1859.5,236.87857055664062
1860.5,236.85572814941406
1861.5,236.83358764648438
1862.5,236.80921936035156
1863.5,236.78717041015625
1864.5,236.76858520507812
1865.5,236.74465942382812
1866.5,236.7225799560547
1867.5,236.7027130126953
1868.5,236.6860809326172
1869.5,236.672119140625
1870.5,236.66513061523438
1871.5,236.6572723388672
1872.5,236.6416778564453
1873.5,236.62237548828125
1874.5,236.60043334960938
1875.5,236.57838439941406
1876.5,236.5540008544922
1877.5,236.53379821777344
1878.5,236.51463317871094
1879.5,236.50006103515625
1880.5,236.48614501953125
1881.5,236.46945190429688
1882.5,236.45086669921875
1883.5,236.43368530273438
1884.5,236.4180145263672
1885.5,236.3980712890625
1886.5,236.38783264160156
1887.5,236.37429809570312
1888.5,236.36199951171875
1889.5,236.35189819335938
1890.5,236.34141540527344
1891.5,236.3261260986328
1892.5,236.31321716308594
1893.5,236.30113220214844
1894.5,236.28897094726562
1895.5,236.2830352783203
1896.5,236.27198791503906
1897.5,236.2630615234375
1898.5,236.2530975341797
1899.5,236.24354553222656
1900.5,236.2335662841797
1901.5,236.22702026367188
1902.5,236.21807861328125
1903.5,236.2085723876953
1904.5,236.19801330566406
1905.5,236.19007873535156
1906.5,236.1817626953125
1907.5,236.17593383789062
1908.5,236.1658172607422
1909.5,236.15768432617188
1910.5,236.15077209472656
1911.5,236.13949584960938
1912.5,236.13018798828125
1913.5,236.1208953857422
1914.5,236.10992431640625
1915.5,236.0957489013672
1916.5,236.08407592773438
1917.5,236.0713653564453
1918.5,236.05868530273438
1919.5,236.0435791015625
1920.5,236.03062438964844
1921.5,236.01661682128906
1922.5,236.0060272216797
1923.5,235.9921875
1924.5,235.97991943359375
1925.5,235.96693420410156
1926.5,235.95541381835938
1927.5,235.94683837890625
1928.5,235.93524169921875
1929.5,235.92428588867188
1930.5,235.9120635986328
1931.5,235.89907836914062
1932.5,235.88690185546875
1933.5,235.87313842773438
1934.5,235.8617706298828
1935.5,235.85289001464844
1936.5,235.84254455566406
1937.5,235.83367919921875
1938.5,235.82325744628906
1939.5,235.81475830078125
1940.5,235.80409240722656
1941.5,235.79403686523438
1942.5,235.78187561035156
1943.5,235.7701416015625
1944.5,235.760498046875
1945.5,235.7483673095703
1946.5,235.73934936523438
1947.5,235.72967529296875
1948.5,235.72021484375
1949.5,235.71168518066406
1950.5,235.70396423339844
1951.5,235.6948699951172
1952.5,235.68685913085938
1953.5,235.67752075195312
1954.5,235.66897583007812
1955.5,235.6594696044922
1956.5,235.6528778076172
1957.5,235.6454315185547
1958.5,235.63839721679688
1959.5,235.6327667236328
1960.5,235.62925720214844
1961.5,235.62307739257812
1962.5,235.614501953125
1963.5,235.60743713378906
1964.5,235.59791564941406
1965.5,235.58856201171875
1966.5,235.58090209960938
1967.5,235.57337951660156
1968.5,235.56600952148438
1969.5,235.55947875976562
1970.5,235.5515594482422
1971.5,235.5449676513672
1972.5,235.53773498535156
1973.5,235.52847290039062
1974.5,235.52212524414062
1975.5,235.51467895507812
1976.5,235.50653076171875
1977.5,235.50003051757812
1978.5,235.49269104003906
1979.5,235.4873046875
1980.5,235.47940063476562
1981.5,235.4716339111328
1982.5,235.4648895263672
1983.5,235.4571990966797
1984.5,235.45175170898438
1985.5,235.44503784179688
1986.5,235.43972778320312
1987.5,235.43417358398438
1988.5,235.4271697998047
1989.5,235.4263153076172
