Time (year),nbp (PgC a-1)
1850.5,-0.13400031626224518
1851.5,-0.03458176553249359
1852.5,0.1411210149526596
1853.5,0.34308895468711853
1854.5,0.5386452078819275
1855.5,0.7017481923103333
1856.5,0.8827215433120728
1857.5,1.033074140548706
1858.5,1.1631797552108765
1859.5,1.3046208620071411
1860.5,1.4319039583206177
1861.5,1.569915533065796
1862.5,1.6972365379333496
1863.5,1.8076666593551636
1864.5,1.907747745513916
1865.5,2.019537925720215
1866.5,2.1347668170928955
1867.5,2.1670665740966797
1868.5,2.227768898010254
1869.5,2.316742181777954
1870.5,2.3799591064453125
1871.5,2.458035707473755
1872.5,2.533745765686035
1873.5,2.617866277694702
1874.5,2.6862423419952393
1875.5,2.759239912033081
1876.5,2.8172812461853027
1877.5,2.9061198234558105
1878.5,2.966235876083374
1879.5,3.0425591468811035
1880.5,3.022862195968628
1881.5,3.0891573429107666
1882.5,3.115644693374634
1883.5,3.191779136657715
1884.5,3.1832711696624756
1885.5,3.2359821796417236
1886.5,3.2492692470550537
1887.5,3.275146722793579
1888.5,3.2922375202178955
1889.5,3.3205409049987793
1890.5,3.3442275524139404
1891.5,3.354038715362549
1892.5,3.3791630268096924
1893.5,3.42267107963562
1894.5,3.448289632797241
1895.5,3.475644111633301
1896.5,3.498035192489624
1897.5,3.502440929412842
1898.5,3.5130908489227295
1899.5,3.4913318157196045
1900.5,3.510598659515381
1901.5,3.5186760425567627
1902.5,3.5178074836730957
1903.5,3.499678611755371
1904.5,3.474977731704712
1905.5,3.4794230461120605
1906.5,3.4445624351501465
1907.5,3.443986415863037
1908.5,3.414106845855713
1909.5,3.4245622158050537
1910.5,3.3910892009735107
1911.5,3.3783199787139893
1912.5,3.386655807495117
1913.5,3.353349447250366
1914.5,3.3655128479003906
1915.5,3.3241488933563232
1916.5,3.289371967315674
1917.5,3.2535266876220703
1918.5,3.223304033279419
1919.5,3.20711088180542
1920.5,3.1624414920806885
1921.5,3.130880117416382
1922.5,3.088038682937622
1923.5,3.0107429027557373
1924.5,2.9751029014587402
1925.5,2.9115653038024902
1926.5,2.8931360244750977
1927.5,2.8547520637512207
1928.5,2.7909295558929443
1929.5,2.7454445362091064
1930.5,2.7285008430480957
1931.5,2.6907103061676025
1932.5,2.6797068119049072
1933.5,2.6197211742401123
1934.5,2.5970423221588135
1935.5,2.560122489929199
1936.5,2.531346321105957
1937.5,2.499330520629883
1938.5,2.4382216930389404
1939.5,2.4094197750091553
1940.5,2.377443790435791
1941.5,2.308104991912842
1942.5,2.275631904602051
1943.5,2.1944265365600586
1944.5,2.119058609008789
1945.5,2.0745174884796143
1946.5,2.005455493927002
1947.5,1.967069149017334
1948.5,1.9416166543960571
1949.5,1.8604613542556763
1950.5,1.7944308519363403
1951.5,1.7376164197921753
1952.5,1.7070775032043457
1953.5,1.6226578950881958
1954.5,1.5624003410339355
1955.5,1.4549105167388916
1956.5,1.3860679864883423
1957.5,1.2921621799468994
1958.5,1.1978216171264648
1959.5,1.090857744216919
1960.5,1.0097075700759888
1961.5,0.9151405096054077
1962.5,0.7163313627243042
1963.5,0.400125116109848
1964.5,0.11307080090045929
1965.5,-0.13259878754615784
1966.5,-0.26463133096694946
1967.5,-0.4303760528564453
1968.5,-0.5410097241401672
1969.5,-0.6129258871078491
1970.5,-0.6749703288078308
1971.5,-0.6962111592292786
1972.5,-0.7173373103141785
1973.5,-0.7742265462875366
1974.5,-0.759137749671936
1975.5,-0.7789238095283508
1976.5,-0.7573820352554321
1977.5,-0.780665397644043
1978.5,-0.8357152938842773
1979.5,-0.84206622838974
1980.5,-0.8155286312103271
1981.5,-0.8169883489608765
1982.5,-0.8261827230453491
1983.5,-0.8295252919197083
1984.5,-0.8066108822822571
1985.5,-0.7934057116508484
1986.5,-0.8048129677772522
1987.5,-0.7821007370948792
1988.5,-0.7991015315055847
1989.5,-0.780684769153595
1990.5,-0.7747086882591248
1991.5,-0.8157057762145996
1992.5,-0.8100504279136658
1993.5,-0.7929007411003113
1994.5,-0.8038045763969421
1995.5,-0.8052399158477783
1996.5,-0.8191521763801575
1997.5,-0.8477278351783752
1998.5,-0.858762264251709
1999.5,-0.8620218634605408
2000.5,-0.8242143988609314
2001.5,-0.8319932222366333
2002.5,-0.8687061071395874
2003.5,-0.856473445892334
2004.5,-0.8729168772697449
2005.5,-0.889492392539978
2006.5,-0.8912631273269653
2007.5,-0.8888660669326782
2008.5,-0.9071772694587708
2009.5,-0.9017972350120544
2010.5,-0.9044506549835205
2011.5,-0.911952793598175
2012.5,-0.8998535871505737
2013.5,-0.9065335392951965
2014.5,-0.9078975319862366
2015.5,-0.9122904539108276
2016.5,-0.9274676442146301
2017.5,-0.9086893200874329
2018.5,-0.8999496102333069
2019.5,-0.9359062314033508
2020.5,-0.9196693897247314
2021.5,-0.9225043058395386
2022.5,-0.9220939874649048
2023.5,-0.9166221618652344
2024.5,-0.9191312789916992
2025.5,-0.8978706002235413
2026.5,-0.9119150042533875
2027.5,-0.8858056664466858
2028.5,-0.8618696928024292
2029.5,-0.8384296298027039
2030.5,-0.8271498680114746
2031.5,-0.8453875184059143
2032.5,-0.8288518190383911
2033.5,-0.7811172008514404
2034.5,-0.7688416838645935
2035.5,-0.7302430868148804
2036.5,-0.7569136619567871
2037.5,-0.7223938703536987
2038.5,-0.7166051268577576
2039.5,-0.668752133846283
2040.5,-0.6494118571281433
2041.5,-0.6539222002029419
2042.5,-0.6356396079063416
2043.5,-0.6080629825592041
2044.5,-0.6288370490074158
2045.5,-0.5881284475326538
2046.5,-0.5514878630638123
2047.5,-0.5389518141746521
2048.5,-0.5400357842445374
2049.5,-0.5431718826293945
2050.5,-0.5218253135681152
2051.5,-0.5016008615493774
2052.5,-0.47195637226104736
2053.5,-0.45564043521881104
2054.5,-0.4676209092140198
2055.5,-0.4447140097618103
2056.5,-0.44244256615638733
2057.5,-0.43237394094467163
2058.5,-0.42101097106933594
2059.5,-0.41671130061149597
2060.5,-0.4042051136493683
2061.5,-0.4297733008861542
2062.5,-0.4148108959197998
2063.5,-0.39919182658195496
2064.5,-0.40526583790779114
2065.5,-0.39628198742866516
2066.5,-0.3858788311481476
2067.5,-0.3975542485713959
2068.5,-0.39837536215782166
2069.5,-0.39580237865448
2070.5,-0.3845297694206238
2071.5,-0.3729132115840912
2072.5,-0.393310010433197
2073.5,-0.38369619846343994
2074.5,-0.386271208524704
2075.5,-0.39801856875419617
2076.5,-0.40427082777023315
2077.5,-0.3883320391178131
2078.5,-0.3918801248073578
2079.5,-0.41522476077079773
2080.5,-0.43158158659935
2081.5,-0.40355372428894043
