Time (year),co2 (ppm)
1850.5,284.926025390625
1851.5,287.4097595214844
1852.5,290.28387451171875
1853.5,293.18670654296875
1854.5,296.11859130859375
1855.5,299.0797424316406
1856.5,302.070556640625
1857.5,305.09124755859375
1858.5,308.1421813964844
1859.5,311.2236022949219
1860.5,314.3358154296875
1861.5,317.47918701171875
1862.5,320.65399169921875
1863.5,323.8605041503906
1864.5,327.09912109375
1865.5,330.3701171875
1866.5,333.673828125
1867.5,337.01055908203125
1868.5,340.38067626953125
1869.5,343.78448486328125
1870.5,347.2223205566406
1871.5,350.6945495605469
1872.5,354.2015075683594
1873.5,357.7434997558594
1874.5,361.3209533691406
1875.5,364.93414306640625
1876.5,368.5834655761719
1877.5,372.2693176269531
1878.5,375.99200439453125
1879.5,379.7519226074219
1880.5,383.5494384765625
1881.5,387.38494873046875
1882.5,391.2587890625
1883.5,395.17138671875
1884.5,399.12310791015625
1885.5,403.11431884765625
1886.5,407.1454772949219
1887.5,411.2169189453125
1888.5,415.3291015625
1889.5,419.4823913574219
1890.5,423.6772155761719
1891.5,427.9139709472656
1892.5,432.193115234375
1893.5,436.5150451660156
1894.5,440.88018798828125
1895.5,445.28900146484375
1896.5,449.74188232421875
1897.5,454.23931884765625
1898.5,458.7817077636719
1899.5,463.3695068359375
1900.5,468.00323486328125
1901.5,472.6832580566406
1902.5,477.41009521484375
1903.5,482.1842041015625
1904.5,487.00604248046875
1905.5,491.8760986328125
1906.5,496.79486083984375
1907.5,501.7627868652344
1908.5,506.7804260253906
1909.5,511.8482360839844
1910.5,516.9667358398438
1911.5,522.1364135742188
1912.5,527.3577270507812
1913.5,532.6312866210938
1914.5,537.9575805664062
1915.5,543.3372192382812
1916.5,548.7705688476562
1917.5,554.25830078125
1918.5,559.8008422851562
1919.5,565.3988647460938
1920.5,571.0528564453125
1921.5,576.763427734375
1922.5,582.5310668945312
1923.5,588.3563232421875
1924.5,594.2399291992188
1925.5,600.1823120117188
1926.5,606.1841430664062
1927.5,612.2459716796875
1928.5,618.368408203125
1929.5,624.5521240234375
1930.5,630.7976684570312
1931.5,637.1056518554688
1932.5,643.4766845703125
1933.5,649.9114379882812
1934.5,656.4105224609375
1935.5,662.9746704101562
1936.5,669.6043701171875
1937.5,676.3004150390625
1938.5,683.0634765625
1939.5,689.8941040039062
1940.5,696.7930297851562
1941.5,703.760986328125
1942.5,710.798583984375
1943.5,717.9065551757812
1944.5,725.0855712890625
1945.5,732.3364868164062
1946.5,739.6598510742188
1947.5,747.056396484375
1948.5,754.5269775390625
1949.5,762.072265625
1950.5,769.6929931640625
1951.5,777.3899536132812
1952.5,785.163818359375
1953.5,793.0154418945312
1954.5,800.9456176757812
1955.5,808.955078125
1956.5,817.0446166992188
1957.5,825.215087890625
1958.5,833.4671630859375
1959.5,841.8018798828125
1960.5,850.2199096679688
1961.5,858.7221069335938
1962.5,867.309326171875
1963.5,875.982421875
1964.5,884.7422485351562
1965.5,893.5896606445312
1966.5,902.5255737304688
1967.5,911.5508422851562
1968.5,920.6663208007812
1969.5,929.8729858398438
1970.5,939.1717529296875
1971.5,948.5634155273438
1972.5,958.049072265625
1973.5,967.6295776367188
1974.5,977.3058471679688
1975.5,987.0789184570312
1976.5,996.94970703125
1977.5,1006.919189453125
1978.5,1016.9884033203125
1979.5,1027.1583251953125
1980.5,1037.4298095703125
1981.5,1047.8040771484375
1982.5,1058.2822265625
1983.5,1068.864990234375
1984.5,1079.5537109375
1985.5,1090.3492431640625
1986.5,1101.252685546875
1987.5,1112.2652587890625
1988.5,1123.387939453125
1989.5,1133.6839599609375
