Time (year),dissicos (mol m-3)
1850.5,2.02413010597229
1851.5,2.0242867469787598
1852.5,2.0249433517456055
1853.5,2.025820255279541
1854.5,2.026862621307373
1855.5,2.027989387512207
1856.5,2.029189348220825
1857.5,2.03044056892395
1858.5,2.031768560409546
1859.5,2.0331194400787354
1860.5,2.034524917602539
1861.5,2.0359489917755127
1862.5,2.037419557571411
1863.5,2.038909912109375
1864.5,2.04040265083313
1865.5,2.041937828063965
1866.5,2.0434865951538086
1867.5,2.045039653778076
1868.5,2.0466198921203613
1869.5,2.0481977462768555
1870.5,2.049804449081421
1871.5,2.051417112350464
1872.5,2.053011894226074
1873.5,2.05464243888855
1874.5,2.0562353134155273
1875.5,2.057863235473633
1876.5,2.059504508972168
1877.5,2.0611703395843506
1878.5,2.0628321170806885
1879.5,2.0644989013671875
1880.5,2.066169500350952
1881.5,2.0678586959838867
1882.5,2.069546937942505
1883.5,2.071192502975464
1884.5,2.0728683471679688
1885.5,2.07450270652771
1886.5,2.0761654376983643
1887.5,2.0778369903564453
1888.5,2.0795161724090576
1889.5,2.081183671951294
1890.5,2.0828511714935303
1891.5,2.0845446586608887
1892.5,2.0861878395080566
1893.5,2.087847948074341
1894.5,2.089505910873413
1895.5,2.0911524295806885
1896.5,2.092794179916382
1897.5,2.0944621562957764
1898.5,2.096076011657715
1899.5,2.0977115631103516
1900.5,2.0993528366088867
1901.5,2.100985527038574
1902.5,2.1026065349578857
1903.5,2.1042263507843018
1904.5,2.105855941772461
1905.5,2.107454299926758
1906.5,2.1090750694274902
1907.5,2.11067271232605
1908.5,2.1122710704803467
1909.5,2.113870620727539
1910.5,2.1154606342315674
1911.5,2.1170573234558105
1912.5,2.118605375289917
1913.5,2.120195150375366
1914.5,2.1217610836029053
1915.5,2.123331308364868
1916.5,2.12489914894104
1917.5,2.1264665126800537
1918.5,2.128023147583008
1919.5,2.129585027694702
1920.5,2.1311347484588623
1921.5,2.13268780708313
1922.5,2.134235382080078
1923.5,2.1357762813568115
1924.5,2.1373138427734375
1925.5,2.138848066329956
1926.5,2.1403818130493164
1927.5,2.141896963119507
1928.5,2.1433990001678467
1929.5,2.1448936462402344
1930.5,2.1464099884033203
1931.5,2.147935390472412
1932.5,2.149423599243164
1933.5,2.1509268283843994
1934.5,2.1524102687835693
1935.5,2.153879165649414
1936.5,2.1553380489349365
1937.5,2.156810998916626
1938.5,2.158262014389038
1939.5,2.1597254276275635
1940.5,2.1611735820770264
1941.5,2.1626229286193848
1942.5,2.1640677452087402
1943.5,2.1655004024505615
1944.5,2.16693115234375
1945.5,2.1683554649353027
1946.5,2.169773578643799
1947.5,2.1711881160736084
1948.5,2.1725902557373047
1949.5,2.1739892959594727
1950.5,2.1753859519958496
1951.5,2.17677640914917
1952.5,2.1781604290008545
1953.5,2.1795363426208496
1954.5,2.1809098720550537
1955.5,2.182276725769043
1956.5,2.1836395263671875
1957.5,2.1849896907806396
1958.5,2.18634295463562
1959.5,2.187682867050171
1960.5,2.189018726348877
1961.5,2.1903443336486816
1962.5,2.1916658878326416
1963.5,2.192981719970703
1964.5,2.194293260574341
1965.5,2.1955978870391846
1966.5,2.196902275085449
1967.5,2.1982009410858154
1968.5,2.199491024017334
1969.5,2.2007787227630615
1970.5,2.2020585536956787
1971.5,2.2033329010009766
1972.5,2.2046003341674805
1973.5,2.2058634757995605
1974.5,2.207123041152954
1975.5,2.2083775997161865
1976.5,2.2096242904663086
1977.5,2.210866689682007
1978.5,2.2121028900146484
1979.5,2.2133350372314453
1980.5,2.2145602703094482
1981.5,2.2157812118530273
1982.5,2.2169952392578125
1983.5,2.2182047367095947
1984.5,2.2194104194641113
1985.5,2.2206079959869385
1986.5,2.2218048572540283
1987.5,2.222992181777954
1988.5,2.22417950630188
1989.5,2.2253079414367676
