Time (year),fco2nat (PgC a-1)
1850.5,0.11312941461801529
1851.5,-0.25226885080337524
1852.5,-0.7264249324798584
1853.5,-1.1752296686172485
1854.5,-1.5932824611663818
1855.5,-1.9556596279144287
1856.5,-2.314992904663086
1857.5,-2.6404128074645996
1858.5,-2.9244608879089355
1859.5,-3.2163071632385254
1860.5,-3.4840855598449707
1861.5,-3.7556560039520264
1862.5,-4.009919166564941
1863.5,-4.237931728363037
1864.5,-4.452978134155273
1865.5,-4.6755170822143555
1866.5,-4.8965959548950195
1867.5,-5.030091762542725
1868.5,-5.19403600692749
1869.5,-5.371535778045654
1870.5,-5.524064064025879
1871.5,-5.691736698150635
1872.5,-5.85569953918457
1873.5,-6.015354156494141
1874.5,-6.158393383026123
1875.5,-6.301046371459961
1876.5,-6.43367862701416
1877.5,-6.592813491821289
1878.5,-6.717511177062988
1879.5,-6.857265949249268
1880.5,-6.897757530212402
1881.5,-7.017641544342041
1882.5,-7.1056108474731445
1883.5,-7.2366251945495605
1884.5,-7.291567802429199
1885.5,-7.3966264724731445
1886.5,-7.4614410400390625
1887.5,-7.534335136413574
1888.5,-7.5988359451293945
1889.5,-7.674180507659912
1890.5,-7.742140769958496
1891.5,-7.794703006744385
1892.5,-7.8670196533203125
1893.5,-7.947637557983398
1894.5,-8.020068168640137
1895.5,-8.087440490722656
1896.5,-8.142544746398926
1897.5,-8.185672760009766
1898.5,-8.233647346496582
1899.5,-8.247666358947754
1900.5,-8.300153732299805
1901.5,-8.342445373535156
1902.5,-8.37536907196045
1903.5,-8.389982223510742
1904.5,-8.392375946044922
1905.5,-8.425817489624023
1906.5,-8.423604965209961
1907.5,-8.44729232788086
1908.5,-8.450750350952148
1909.5,-8.483030319213867
1910.5,-8.477261543273926
1911.5,-8.484724044799805
1912.5,-8.52413558959961
1913.5,-8.502801895141602
1914.5,-8.546745300292969
1915.5,-8.523040771484375
1916.5,-8.493149757385254
1917.5,-8.195186614990234
1918.5,-7.309856414794922
1919.5,-6.3539276123046875
1920.5,-5.664467811584473
1921.5,-5.141391754150391
1922.5,-4.7017316818237305
1923.5,-4.321955680847168
1924.5,-4.023188591003418
1925.5,-3.7244181632995605
1926.5,-3.5018723011016846
1927.5,-3.2823550701141357
1928.5,-3.1280007362365723
1929.5,-2.9745423793792725
1930.5,-2.8509204387664795
1931.5,-2.706016778945923
1932.5,-2.5862979888916016
1933.5,-2.464618444442749
1934.5,-2.3775830268859863
1935.5,-2.2769415378570557
1936.5,-2.190943956375122
1937.5,-2.109689950942993
1938.5,-2.0556752681732178
1939.5,-1.9816797971725464
1940.5,-1.9440251588821411
1941.5,-1.851706862449646
1942.5,-1.8119455575942993
1943.5,-1.75046706199646
1944.5,-1.7044676542282104
1945.5,-1.648057222366333
1946.5,-1.5854990482330322
1947.5,-1.5134172439575195
1948.5,-1.4866629838943481
1949.5,-1.4194326400756836
1950.5,-1.407686710357666
1951.5,-1.3106567859649658
1952.5,-1.304659128189087
