Time (year),rtmt (W m-2 s-1)
1850.5,0.19758859276771545
1851.5,0.21860533952713013
1852.5,0.24585361778736115
1853.5,0.269727498292923
1854.5,0.3054264783859253
1855.5,0.33471328020095825
1856.5,0.37188664078712463
1857.5,0.3977768123149872
1858.5,0.4291444718837738
1859.5,0.4584307372570038
1860.5,0.49268046021461487
1861.5,0.5161510109901428
1862.5,0.5427468419075012
1863.5,0.5777572989463806
1864.5,0.6026118397712708
1865.5,0.6297723650932312
1866.5,0.6558002233505249
1867.5,0.6857683658599854
1868.5,0.7118985652923584
1869.5,0.7397609949111938
1870.5,0.7664501070976257
1871.5,0.7947649955749512
1872.5,0.8155114650726318
1873.5,0.8410065174102783
1874.5,0.8669977784156799
1875.5,0.8955398201942444
1876.5,0.924551248550415
1877.5,0.9532625079154968
1878.5,0.9807688593864441
1879.5,1.0098603963851929
1880.5,1.0356166362762451
1881.5,1.0575255155563354
1882.5,1.0844320058822632
1883.5,1.1118216514587402
1884.5,1.1375457048416138
1885.5,1.1630316972732544
1886.5,1.185407280921936
1887.5,1.204676628112793
1888.5,1.2292472124099731
1889.5,1.2548801898956299
1890.5,1.2768481969833374
1891.5,1.2996830940246582
1892.5,1.3250832557678223
1893.5,1.348320484161377
1894.5,1.3705974817276
1895.5,1.3900938034057617
1896.5,1.4138082265853882
1897.5,1.4324641227722168
1898.5,1.4598939418792725
1899.5,1.476842999458313
1900.5,1.4991906881332397
1901.5,1.5224977731704712
1902.5,1.540839672088623
1903.5,1.557536244392395
1904.5,1.5800848007202148
1905.5,1.6010321378707886
1906.5,1.6218351125717163
1907.5,1.644518494606018
1908.5,1.6629778146743774
1909.5,1.6853342056274414
1910.5,1.704932689666748
1911.5,1.72925865650177
1912.5,1.7504223585128784
1913.5,1.7694634199142456
1914.5,1.7925012111663818
1915.5,1.8154830932617188
1916.5,1.8403786420822144
1917.5,1.8625264167785645
1918.5,1.8852287530899048
1919.5,1.9130321741104126
1920.5,1.9374359846115112
1921.5,1.9615731239318848
1922.5,1.9818837642669678
1923.5,2.0084335803985596
1924.5,2.0291008949279785
1925.5,2.053056240081787
1926.5,2.0822384357452393
1927.5,2.1053097248077393
1928.5,2.1269726753234863
1929.5,2.150447368621826
1930.5,2.174482583999634
1931.5,2.1944448947906494
1932.5,2.218977689743042
1933.5,2.2434985637664795
1934.5,2.26576566696167
1935.5,2.2911922931671143
1936.5,2.3136816024780273
1937.5,2.3375139236450195
1938.5,2.358553647994995
1939.5,2.3814830780029297
1940.5,2.399976968765259
1941.5,2.4227354526519775
1942.5,2.444889783859253
1943.5,2.4643654823303223
1944.5,2.48726749420166
1945.5,2.508582830429077
1946.5,2.5288162231445312
1947.5,2.550955057144165
1948.5,2.573652982711792
1949.5,2.591735363006592
1950.5,2.61106276512146
1951.5,2.631488800048828
1952.5,2.6490302085876465
1953.5,2.6697633266448975
1954.5,2.687526226043701
1955.5,2.709388017654419
1956.5,2.728827476501465
1957.5,2.746490478515625
1958.5,2.7660117149353027
1959.5,2.7839348316192627
1960.5,2.7987077236175537
1961.5,2.815617084503174
1962.5,2.835409641265869
1963.5,2.8539412021636963
1964.5,2.8716297149658203
1965.5,2.891080617904663
1966.5,2.909464120864868
1967.5,2.92893648147583
1968.5,2.945727825164795
1969.5,2.9648091793060303
1970.5,2.98388671875
1971.5,3.0015087127685547
1972.5,3.0185458660125732
1973.5,3.036280393600464
1974.5,3.055623769760132
1975.5,3.072932720184326
1976.5,3.09249210357666
1977.5,3.1078197956085205
1978.5,3.1273937225341797
1979.5,3.1431753635406494
1980.5,3.1608328819274902
1981.5,3.179387092590332
1982.5,3.196485757827759
1983.5,3.2141621112823486
1984.5,3.231912612915039
1985.5,3.2474312782287598
1986.5,3.267540216445923
1987.5,3.282470464706421
1988.5,3.298301935195923
1989.5,3.3103699684143066
