Time (year),npp (PgC a-1)
1850.5,59.11814880371094
1851.5,59.37177276611328
1852.5,59.67154312133789
1853.5,59.9658203125
1854.5,60.27851486206055
1855.5,60.590370178222656
1856.5,60.8987922668457
1857.5,61.171905517578125
1858.5,61.459129333496094
1859.5,61.761531829833984
1860.5,62.062259674072266
1861.5,62.34088897705078
1862.5,62.6239013671875
1863.5,62.924991607666016
1864.5,63.20667266845703
1865.5,63.50313949584961
1866.5,63.804927825927734
1867.5,64.09046936035156
1868.5,64.38851165771484
1869.5,64.69815826416016
1870.5,65.01183319091797
1871.5,65.32867431640625
1872.5,65.61831665039062
1873.5,65.93081665039062
1874.5,66.23031616210938
1875.5,66.541748046875
1876.5,66.8304443359375
1877.5,67.14334106445312
1878.5,67.43728637695312
1879.5,67.75689697265625
1880.5,68.05496978759766
1881.5,68.3640365600586
1882.5,68.66520690917969
1883.5,68.99405670166016
1884.5,69.27604675292969
1885.5,69.60001373291016
1886.5,69.90345001220703
1887.5,70.23965454101562
1888.5,70.5484619140625
1889.5,70.89674377441406
1890.5,71.20632934570312
1891.5,71.51610565185547
1892.5,71.86653137207031
1893.5,72.20915985107422
1894.5,72.5378646850586
1895.5,72.87834167480469
1896.5,73.2397689819336
1897.5,73.58683013916016
1898.5,73.92387390136719
1899.5,74.26470947265625
1900.5,74.6213150024414
1901.5,74.97471618652344
1902.5,75.31098937988281
1903.5,75.65980529785156
1904.5,75.9944076538086
1905.5,76.35818481445312
1906.5,76.70346069335938
1907.5,77.06114959716797
1908.5,77.40836334228516
1909.5,77.76427459716797
1910.5,78.10562133789062
1911.5,78.46070861816406
1912.5,78.82080841064453
1913.5,79.16608428955078
1914.5,79.53997039794922
1915.5,79.87494659423828
1916.5,80.23229217529297
1917.5,80.57424926757812
1918.5,80.91160583496094
1919.5,81.26961517333984
1920.5,81.60353088378906
1921.5,81.94781494140625
1922.5,82.27420806884766
1923.5,82.60189819335938
1924.5,82.9177017211914
1925.5,83.25679016113281
1926.5,83.58090209960938
1927.5,83.90544891357422
1928.5,84.24356842041016
1929.5,84.53228759765625
1930.5,84.85771942138672
1931.5,85.1683120727539
1932.5,85.51278686523438
1933.5,85.85035705566406
1934.5,86.16498565673828
1935.5,86.49459838867188
1936.5,86.80949401855469
1937.5,87.12973022460938
1938.5,87.46751403808594
1939.5,87.76285552978516
1940.5,88.09742736816406
1941.5,88.40192413330078
1942.5,88.73340606689453
1943.5,89.04300689697266
1944.5,89.3407974243164
1945.5,89.64216613769531
1946.5,89.93589782714844
1947.5,90.23858642578125
1948.5,90.5449447631836
1949.5,90.8433609008789
1950.5,91.14411163330078
1951.5,91.44509887695312
1952.5,91.74665832519531
1953.5,92.04769897460938
1954.5,92.32799530029297
1955.5,92.62614440917969
1956.5,92.91183471679688
1957.5,93.20217895507812
1958.5,93.48933410644531
1959.5,93.78976440429688
1960.5,94.06413269042969
1961.5,94.35475158691406
1962.5,94.64786529541016
1963.5,94.92438507080078
1964.5,95.19929504394531
1965.5,95.48002624511719
1966.5,95.78246307373047
1967.5,96.0731201171875
1968.5,96.33425903320312
1969.5,96.60909271240234
1970.5,96.87892150878906
1971.5,97.15704345703125
1972.5,97.44988250732422
1973.5,97.71978759765625
1974.5,98.01872253417969
1975.5,98.27751922607422
1976.5,98.5609130859375
1977.5,98.8478012084961
1978.5,99.12525939941406
1979.5,99.40837860107422
1980.5,99.67692565917969
1981.5,99.95177459716797
1982.5,100.22698211669922
1983.5,100.47321319580078
1984.5,100.7396011352539
1985.5,100.99129486083984
1986.5,101.2437515258789
1987.5,101.49068450927734
1988.5,101.72359466552734
1989.5,101.93514251708984
