Time (year),tas (K)
1850.5,286.5636901855469
1851.5,286.5855407714844
1852.5,286.60528564453125
1853.5,286.6213073730469
1854.5,286.6394958496094
1855.5,286.6592102050781
1856.5,286.68060302734375
1857.5,286.70123291015625
1858.5,286.7231140136719
1859.5,286.7447509765625
1860.5,286.7659606933594
1861.5,286.7877197265625
1862.5,286.8082275390625
1863.5,286.8302001953125
1864.5,286.8542175292969
1865.5,286.8752746582031
1866.5,286.8973388671875
1867.5,286.9208984375
1868.5,286.94635009765625
1869.5,286.97369384765625
1870.5,287.0052795410156
1871.5,287.03631591796875
1872.5,287.06304931640625
1873.5,287.0874328613281
1874.5,287.1103210449219
1875.5,287.1330871582031
1876.5,287.1544494628906
1877.5,287.1782531738281
1878.5,287.2027282714844
1879.5,287.2300720214844
1880.5,287.25799560546875
1881.5,287.2842712402344
1882.5,287.3094787597656
1883.5,287.3355712890625
1884.5,287.3625183105469
1885.5,287.3871765136719
1886.5,287.41754150390625
1887.5,287.4463195800781
1888.5,287.475830078125
1889.5,287.5068054199219
1890.5,287.5376281738281
1891.5,287.5655517578125
1892.5,287.5950012207031
1893.5,287.625
1894.5,287.6550598144531
1895.5,287.6888732910156
1896.5,287.71978759765625
1897.5,287.7520751953125
1898.5,287.78375244140625
1899.5,287.8157958984375
1900.5,287.8475646972656
1901.5,287.8815002441406
1902.5,287.9140625
1903.5,287.94635009765625
1904.5,287.97808837890625
1905.5,288.0113830566406
1906.5,288.0445251464844
1907.5,288.0792541503906
1908.5,288.1116027832031
1909.5,288.1450500488281
1910.5,288.17926025390625
1911.5,288.21099853515625
1912.5,288.243896484375
1913.5,288.2768249511719
1914.5,288.30877685546875
1915.5,288.3388366699219
1916.5,288.370361328125
1917.5,288.4013977050781
1918.5,288.432373046875
1919.5,288.4620666503906
1920.5,288.4929504394531
1921.5,288.5233154296875
1922.5,288.5557556152344
1923.5,288.58642578125
1924.5,288.6180114746094
1925.5,288.6492919921875
1926.5,288.68145751953125
1927.5,288.7154541015625
1928.5,288.7479248046875
1929.5,288.7807922363281
1930.5,288.81304931640625
1931.5,288.8447570800781
1932.5,288.8770751953125
1933.5,288.9085693359375
1934.5,288.94140625
1935.5,288.9757995605469
1936.5,289.0096130371094
1937.5,289.0443115234375
1938.5,289.0782775878906
1939.5,289.11334228515625
1940.5,289.1473083496094
1941.5,289.18157958984375
1942.5,289.21484375
1943.5,289.24835205078125
1944.5,289.2830810546875
1945.5,289.3165283203125
1946.5,289.351806640625
1947.5,289.3868713378906
1948.5,289.42218017578125
1949.5,289.45806884765625
1950.5,289.4945068359375
1951.5,289.53021240234375
1952.5,289.5667724609375
1953.5,289.6025390625
1954.5,289.6388854980469
1955.5,289.6746826171875
1956.5,289.7123107910156
1957.5,289.7495422363281
1958.5,289.787109375
1959.5,289.8255920410156
1960.5,289.8654479980469
1961.5,289.90374755859375
1962.5,289.9407043457031
1963.5,289.9784851074219
1964.5,290.01495361328125
1965.5,290.0515441894531
1966.5,290.0892028808594
1967.5,290.1269836425781
1968.5,290.1650085449219
1969.5,290.2035217285156
1970.5,290.241455078125
1971.5,290.2800598144531
1972.5,290.3185119628906
1973.5,290.35577392578125
1974.5,290.3947448730469
1975.5,290.4332275390625
1976.5,290.47137451171875
1977.5,290.5105285644531
1978.5,290.5492858886719
1979.5,290.58917236328125
1980.5,290.62774658203125
1981.5,290.66644287109375
1982.5,290.70574951171875
1983.5,290.7445373535156
1984.5,290.7846374511719
1985.5,290.8241271972656
1986.5,290.8644714355469
1987.5,290.90478515625
1988.5,290.9443054199219
1989.5,290.9842529296875
