Time (year),hfds (W m-2 s-1)
1850.5,0.23460499942302704
1851.5,0.22809025645256042
1852.5,0.22317816317081451
1853.5,0.20053622126579285
1854.5,0.1999795138835907
1855.5,0.20071302354335785
1856.5,0.21238012611865997
1857.5,0.21255789697170258
1858.5,0.2100059986114502
1859.5,0.2193193882703781
1860.5,0.22922931611537933
1861.5,0.23449751734733582
1862.5,0.23183909058570862
1863.5,0.24765777587890625
1864.5,0.2605416178703308
1865.5,0.2689066231250763
1866.5,0.2869887053966522
1867.5,0.2965763509273529
1868.5,0.33137816190719604
1869.5,0.34187668561935425
1870.5,0.3676612973213196
1871.5,0.39120855927467346
1872.5,0.4208715558052063
1873.5,0.4421910047531128
1874.5,0.4790968894958496
1875.5,0.5220128893852234
1876.5,0.5719376802444458
1877.5,0.6023798584938049
1878.5,0.653084397315979
1879.5,0.7000330090522766
1880.5,0.7532511949539185
1881.5,0.8104215264320374
1882.5,0.8617660999298096
1883.5,0.9230126738548279
1884.5,0.987644612789154
1885.5,1.0380526781082153
1886.5,1.1015396118164062
1887.5,1.1677805185317993
1888.5,1.2380987405776978
1889.5,1.3068171739578247
1890.5,1.3811677694320679
1891.5,1.4501357078552246
1892.5,1.5224802494049072
1893.5,1.5939949750900269
1894.5,1.6608176231384277
1895.5,1.7300585508346558
1896.5,1.7979485988616943
1897.5,1.8677167892456055
1898.5,1.9210935831069946
1899.5,1.981862187385559
1900.5,2.03629469871521
1901.5,2.086171865463257
1902.5,2.147261619567871
1903.5,2.1857821941375732
1904.5,2.2361795902252197
1905.5,2.2702455520629883
1906.5,2.3068249225616455
1907.5,2.333418846130371
1908.5,2.3671464920043945
1909.5,2.3931875228881836
1910.5,2.408935785293579
1911.5,2.429349422454834
1912.5,2.4387857913970947
1913.5,2.4497392177581787
1914.5,2.453278064727783
1915.5,2.4510672092437744
1916.5,2.451927661895752
1917.5,2.4498348236083984
1918.5,2.440088987350464
1919.5,2.439500331878662
1920.5,2.4241127967834473
1921.5,2.4114105701446533
1922.5,2.401966094970703
1923.5,2.3825018405914307
1924.5,2.3728010654449463
1925.5,2.3529293537139893
1926.5,2.3381924629211426
1927.5,2.327359914779663
1928.5,2.3062825202941895
1929.5,2.2927701473236084
1930.5,2.2732467651367188
1931.5,2.2612812519073486
1932.5,2.247615098953247
1933.5,2.234210252761841
1934.5,2.218709945678711
1935.5,2.2048656940460205
1936.5,2.1837899684906006
1937.5,2.1668052673339844
1938.5,2.1496171951293945
1939.5,2.1394245624542236
1940.5,2.1215085983276367
1941.5,2.1042661666870117
1942.5,2.096796989440918
1943.5,2.0853090286254883
1944.5,2.0688693523406982
1945.5,2.056696891784668
1946.5,2.041804790496826
1947.5,2.039297342300415
1948.5,2.0222203731536865
1949.5,2.0139880180358887
1950.5,2.0006771087646484
1951.5,1.9960359334945679
1952.5,1.9837353229522705
1953.5,1.9747791290283203
1954.5,1.964533805847168
1955.5,1.9574310779571533
1956.5,1.9480592012405396
1957.5,1.9425934553146362
1958.5,1.9319376945495605
1959.5,1.9298750162124634
1960.5,1.9201929569244385
1961.5,1.910658597946167
1962.5,1.9074656963348389
1963.5,1.9003753662109375
1964.5,1.8936767578125
1965.5,1.884538173675537
1966.5,1.8778648376464844
1967.5,1.8735579252243042
1968.5,1.8634661436080933
1969.5,1.8593456745147705
1970.5,1.852379322052002
1971.5,1.845603346824646
1972.5,1.8397668600082397
1973.5,1.8298903703689575
1974.5,1.8266940116882324
1975.5,1.8193832635879517
1976.5,1.8092857599258423
1977.5,1.807399868965149
1978.5,1.79731023311615
1979.5,1.7978531122207642
1980.5,1.7856498956680298
1981.5,1.7788881063461304
1982.5,1.7765182256698608
1983.5,1.7694432735443115
1984.5,1.763995885848999
1985.5,1.7549248933792114
1986.5,1.749588131904602
1987.5,1.7490726709365845
1988.5,1.7352079153060913
1989.5,1.7321127653121948
1990.5,1.7249958515167236
1991.5,1.7265602350234985
1992.5,1.714888334274292
1993.5,1.7075979709625244
1994.5,1.7020643949508667
1995.5,1.7006993293762207
1996.5,1.6917431354522705
1997.5,1.684440016746521
1998.5,1.6781320571899414
1999.5,1.6773344278335571
2000.5,1.6629414558410645
2001.5,1.6579691171646118
2002.5,1.6534231901168823
2003.5,1.6484863758087158
2004.5,1.6459461450576782
2005.5,1.6410164833068848
