year,hfds
1851,-0.62427396
1852,0.46060374
1853,-0.9706749
1854,0.35515848
1855,0.13568547
1856,-0.11995214
1857,-0.4511516
1858,-0.38757306
1859,0.27681378
1860,-0.07689368
1861,0.083569594
1862,-0.7220984
1863,0.6863427
1864,0.41298375
1865,-0.31723237
1866,0.6444226
1867,0.5137094
1868,0.6499756
1869,0.56367666
1870,-0.19776337
1871,0.82606864
1872,0.41012317
1873,0.35718265
1874,-0.15739504
1875,1.0423694
1876,0.7205329
1877,1.1008722
1878,1.0168359
1879,0.5009394
1880,0.5181799
1881,0.38746673
1882,0.6585438
1883,0.7798031
1884,1.9675705000000001
1885,1.0381566999999998
1886,0.898489
1887,1.3496386999999999
1888,0.563673
1889,0.9845835999999999
1890,1.3017312
1891,0.9778627000000001
1892,1.5569671
1893,1.4823363
1894,1.0089211
1895,1.4882544
1896,1.2615206
1897,0.9777663000000001
1898,1.7827436
1899,1.1292809
1900,1.2556698
1901,1.2433741000000003
1902,0.82850087
1903,1.5621625
1904,1.3507124
1905,1.2935276000000002
1906,1.4250364
1907,1.2092268
1908,1.7437001
1909,1.4449763
1910,1.4976329
1911,1.9384388
1912,1.818025
1913,2.1102555
1914,1.5721618
1915,1.5350084
1916,2.2471419999999998
1917,2.188509
1918,1.5738406999999999
1919,1.2442288000000001
1920,2.1451557
1921,2.55862
1922,1.9893991999999998
1923,1.7843453999999999
1924,2.388827
1925,2.0523415000000003
1926,2.0091827
1927,1.9030892
1928,2.0706706
1929,1.4175178
1930,2.1516452
1931,2.4678817000000004
1932,2.4043674
1933,2.4352324
1934,2.1941156000000004
1935,2.4164
1936,2.0710490000000004
1937,2.2617127999999997
1938,2.5613808999999996
1939,2.5674474
1940,2.1442412999999996
1941,1.9404223999999999
1942,2.5460757999999997
1943,2.448666
1944,2.304992
1945,2.2687297
1946,2.2500057
1947,3.3940650999999997
1948,2.8610466
1949,2.6293732999999997
1950,1.9726646
1951,2.9635236000000003
1952,2.5701897000000002
1953,2.3485465
1954,2.576366
1955,2.7671878
1956,2.9495935
1957,2.134604
1958,2.1837192
1959,2.5394049
1960,2.1356819
1961,2.4955453999999997
1962,3.3242216
1963,2.218693
1964,2.7381122
1965,1.6763128
1966,2.3745133999999997
1967,2.6696827
1968,2.3003572999999995
1969,2.3283490000000002
1970,2.4628327000000003
1971,2.3667119999999997
1972,2.1942613
1973,2.6177087
1974,2.1906095000000003
1975,1.9920927
1976,2.0406046
1977,1.8585448
1978,2.0135436
1979,2.5028542999999996
1980,1.386625
1981,2.5721574
1982,2.0419102
1983,2.0216621999999997
1984,1.8791145
1985,1.5949423
1986,2.4277580000000003
1987,2.1038162999999996
1988,1.9437099999999998
1989,1.4705411
1990,2.0199068
1991,2.3274863
1992,1.8635983
1993,1.8635224999999997
1994,1.5574335
1995,2.1569752999999996
1996,1.8950716
1997,1.9590123
1998,1.352472
1999,0.9540735999999999
2000,1.9614843000000002
2001,2.183388
2002,2.0849342
2003,1.4370372
2004,1.7203990000000002
2005,2.2262584999999997
2006,1.8545871999999999
2007,1.345035
2008,2.19
2009,1.6942374
2010,1.8055371
2011,1.5424088
2012,1.4612066000000001
2013,1.804068
2014,1.6119587
2015,1.0942801000000002
2016,2.1416117999999997
2017,1.8656694999999999
2018,1.3098319
2019,1.4963301000000002
2020,1.522765
2021,1.212035
2022,2.0939348
2023,1.8644741999999999
2024,1.8432419999999998
2025,1.8276272
2026,1.4356123
2027,1.6001896999999998
2028,1.4769841000000001
2029,1.8162953999999998
2030,1.9807047999999998
2031,1.0752728
2032,1.9525578000000001
2033,2.1632533
2034,1.8353572
2035,1.3651053999999998
2036,1.719968
2037,1.869491
2038,1.508382
2039,1.1494646000000002
2040,1.9577498
2041,1.2002538
2042,1.5066925
2043,1.7496174999999998
2044,1.0814068000000001
2045,1.6747835
2046,1.0052923
2047,1.8461626
2048,1.4072031
2049,1.0740635
2050,1.2898469
2051,1.1629011999999999
2052,1.7007761000000001
2053,1.3176702
2054,1.1415781999999999
2055,1.7579502
2056,1.4168843
2057,0.9557525
2058,1.2377688
2059,0.9615676
2060,1.4387662
2061,0.6738878
