year,rsdt
1851.0,340.3259088655542
1852.0,340.32590879889597
1853.0,340.32590886376596
1854.0,340.325908858506
1855.0,340.325908848632
1856.0,340.325908898315
1857.0,340.3259088744347
1858.0,340.3259088238898
1859.0,340.325908783893
1860.0,340.325908781133
1861.0,340.325909013238
1862.0,340.325908856695
1863.0,340.325908837142
1864.0,340.32590888211
1865.0,340.32590886053
1866.0,340.325908976045
1867.0,340.325908928593
1868.0,340.32590881506
1869.0,340.325908862611
1870.0,340.32590879607096
1871.0,340.32590881399904
1872.0,340.325908834912
1873.0,340.325908986889
1874.0,340.32590897872797
1875.0,340.325908971652
1876.0,340.325908940423
1877.0,340.32590879885
1878.0,340.32590904697
1879.0,340.325908870896
1880.0,340.32590891095003
1881.0,340.32590889024397
1882.0,340.325908918834
1883.0,340.325908899276
1884.0,340.32590878616
1885.0,340.32590886638
1886.0,340.32590892454203
1887.0,340.3259088602
1888.0,340.325908820436
1889.0,340.325908898475
1890.0,340.32590890974
1891.0,340.325908863081
1892.0,340.32590887491995
1893.0,340.32590899532994
1894.0,340.3259088116
1895.0,340.32590883822996
1896.0,340.32590886897003
1897.0,340.32590899213
1898.0,340.32590886812
1899.0,340.32590883571
1900.0,340.3259089096
1901.0,340.32590895188
1902.0,340.325908907642
1903.0,340.32590888596
1904.0,340.32590882239003
1905.0,340.32590877546
1906.0,340.32590895026
1907.0,340.32590879798
1908.0,340.32590893972
1909.0,340.32590880434
1910.0,340.32590889904
1911.0,340.3259088031
1912.0,340.3259087584101
1913.0,340.32590872328
1914.0,340.32590888983003
1915.0,340.32590891798
1916.0,340.32590896902
1917.0,340.32590885842
1918.0,340.32590888098997
1919.0,340.32590884206
1920.0,340.32590895941
1921.0,340.3259089368
1922.0,340.3259088894
1923.0,340.325908913
1924.0,340.32590883737004
1925.0,340.32590890535
1926.0,340.32590890666
1927.0,340.32590894027
1928.0,340.32590885415993
1929.0,340.32590881683
1930.0,340.3259089174
1931.0,340.32590893899004
1932.0,340.32590885805
1933.0,340.32590884577
1934.0,340.32590882108997
1935.0,340.32590889569
1936.0,340.32590890741005
1937.0,340.32590885532
1938.0,340.32590890721
1939.0,340.3259088914
1940.0,340.32590888319
1941.0,340.32590890322
1942.0,340.32590884418
1943.0,340.32590883042997
1944.0,340.32590883686
1945.0,340.32590885468
1946.0,340.32590891555003
1947.0,340.32590898054
1948.0,340.3259088322
1949.0,340.32590878243997
1950.0,340.32590890155996
1951.0,340.32590881918
1952.0,340.32590887299
1953.0,340.32590885969
1954.0,340.32590894427
1955.0,340.32590884468
1956.0,340.32590875614
1957.0,340.32590883636004
1958.0,340.32590879695
1959.0,340.32590889614
1960.0,340.32590889831
1961.0,340.32590891806
1962.0,340.32590891896
1963.0,340.32590881169
1964.0,340.32590882029
1965.0,340.3259087923101
1966.0,340.32590876610004
1967.0,340.32590876806
1968.0,340.32590871314
1969.0,340.32590875443003
1970.0,340.32590877668997
1971.0,340.32590863456
1972.0,340.32590887354
1973.0,340.32590880648996
1974.0,340.3259088060001
1975.0,340.32590874856004
1976.0,340.32590877387
1977.0,340.32590887972
1978.0,340.3259088118001
1979.0,340.32590883204
1980.0,340.32590886329
1981.0,340.32590880299
1982.0,340.32590874957003
1983.0,340.32590882598
1984.0,340.32590877384
1985.0,340.32590882609
1986.0,340.32590880319
1987.0,340.3259088011
1988.0,340.3259089345201
1989.0,340.32590872599
1990.0,340.32590885038996
1991.0,340.32590872149
1992.0,340.32590882268
1993.0,340.32590882808995
1994.0,340.3259088435001
1995.0,340.32590885981006
1996.0,340.32590876953
1997.0,340.32590879674
1998.0,340.32590876764
1999.0,340.32590866571996
2000.0,340.32590888142005
2001.0,340.32590878521995
2002.0,340.32590883554
2003.0,340.32590878685
2004.0,340.32590879805
2005.0,340.32590892595005
2006.0,340.3259088079
2007.0,340.32590869172003
2008.0,340.32590877108
2009.0,340.32590869055
2010.0,340.32590881958
2011.0,340.32590883098
2012.0,340.32590875327
2013.0,340.32590873655
2014.0,340.32590875456003
2015.0,340.32590884882006
2016.0,340.3259088532
2017.0,340.3259087075901
2018.0,340.32590892439
2019.0,340.32590879392
2020.0,340.32590880424
2021.0,340.32590877817995
2022.0,340.32590872706004
2023.0,340.32590882413007
2024.0,340.32590880017
2025.0,340.32590878022
2026.0,340.32590875313997
2027.0,340.32590889790004
2028.0,340.32590877624
2029.0,340.32590877144133
2030.0,340.3259088125974
2031.0,340.3259088949039
2032.0,340.3259087996608
2033.0,340.3259087087377
2034.0,340.32590884863333
2035.0,340.32590878428925
2036.0,340.325908775347
2037.0,340.32590886797465
2038.0,340.3259087917864
2039.0,340.3259087960672
2040.0,340.32590877432017
2041.0,340.32590881186536
2042.0,340.3259087577278
2043.0,340.3259087819536
2044.0,340.32590880014044
2045.0,340.3259088152767
2046.0,340.3259088503214
2047.0,340.325908733049
2048.0,340.3259088913875
2049.0,340.32590874465666
2050.0,340.32590885773624
2051.0,340.32590874006894
2052.0,340.32590860089294
2053.0,340.3259086504369
2054.0,340.3259087805302
2055.0,340.32590886104754
2056.0,340.32590876796485
2057.0,340.32590880993575
2058.0,340.325908742712
2059.0,340.3259088098007
2060.0,340.32590880369185
2061.0,340.3259088238479
