year,fgco2
1851.0,0.597492264347
1852.0,0.922251184994
1853.0,1.00473577573
1854.0,1.2164527622
1855.0,1.4191032486000001
1856.0,1.74678861162
1857.0,1.868256434
1858.0,1.87755757868
1859.0,2.08566161193
1860.0,2.21990287871
1861.0,2.30519658421
1862.0,2.37137321499
1863.0,2.5074535237799997
1864.0,2.7038665078099995
1865.0,2.69990248999
1866.0,2.65838936843
1867.0,2.66855526051
1868.0,2.71243693009
1869.0,3.00617985505
1870.0,3.0396351336799996
1871.0,3.0442555164200003
1872.0,2.9650541831
1873.0,3.2149711683
1874.0,3.2411104002900006
1875.0,3.13356277763
1876.0,3.23591648807
1877.0,3.2430817153900002
1878.0,3.38866627064
1879.0,3.5132464459099997
1880.0,3.63410981953
1881.0,3.7404147936500003
1882.0,3.7346843991300003
1883.0,3.5420457294300003
1884.0,3.69637873125
1885.0,3.6886581662999998
1886.0,3.6381983316300004
1887.0,3.78002774743
1888.0,3.9511018662
1889.0,3.8851254144699996
1890.0,4.02173720799
1891.0,3.8290773451599995
1892.0,3.77649983114
1893.0,4.053585332769999
1894.0,4.14386027597
1895.0,4.162089895369999
1896.0,4.332887513459999
1897.0,4.27427664069
1898.0,4.057032986219999
1899.0,4.25878185178
1900.0,4.22374463926
1901.0,4.3173919771
1902.0,4.303816675909999
1903.0,4.327101413159999
1904.0,4.21913006728
1905.0,4.29880298445
1906.0,4.42077148528
1907.0,4.41252375914
1908.0,4.43126156916
1909.0,4.41730644231
1910.0,4.5044418381
1911.0,4.54301973392
1912.0,4.473630373580001
1913.0,4.39698359089
1914.0,4.48641398448
1915.0,4.48397204942
1916.0,4.54623041819
1917.0,4.43262009639
1918.0,4.67313275542
1919.0,4.48246786209
1920.0,4.58659214725
1921.0,4.6185452174199995
1922.0,4.613792506
1923.0,4.41709706428
1924.0,4.64168637885
1925.0,4.53599955016
1926.0,4.64637479674
1927.0,4.66572068092
1928.0,4.697547287180001
1929.0,4.63795768548
1930.0,4.6426175895699995
1931.0,4.655200982719999
1932.0,4.769438418469999
1933.0,4.64840226477
1934.0,4.6918566016400005
1935.0,4.72977986079
1936.0,4.7019467188599995
1937.0,4.59812178481
1938.0,4.84500707272
1939.0,4.77209338251
1940.0,4.8867631254
1941.0,4.67286923861
1942.0,4.680375472230001
1943.0,4.7220777723800005
1944.0,4.8687731015099995
1945.0,4.73808233792
1946.0,4.61093678184
1947.0,4.893498113080001
1948.0,4.73853754724
1949.0,4.90064137363
1950.0,4.73297489412
1951.0,4.82606998889
1952.0,4.79587828786
1953.0,4.86443302367
1954.0,4.714417367109999
1955.0,4.75250081759
1956.0,4.88669977594
1957.0,4.92085349959
1958.0,4.82933187847
1959.0,4.768011989090001
1960.0,4.90887822418
1961.0,4.75322279793
1962.0,3.5029664528900004
1963.0,3.1694393642
1964.0,3.28021196195
1965.0,3.11853871379
1966.0,2.9338830576499997
1967.0,2.5951456214200004
1968.0,2.78426497542
1969.0,2.74355476048
1970.0,2.54355841544
1971.0,2.44381755678
1972.0,2.45177352037
1973.0,2.28336291058
1974.0,2.28544810358
1975.0,2.35457350477
1976.0,2.42311606503
1977.0,2.42210454874
1978.0,2.22076868978
1979.0,2.34301734342
1980.0,2.35460768018
1981.0,2.0900998678400002
1982.0,1.89845232041
1983.0,2.07317449807
1984.0,2.0673943873
1985.0,1.99412623975
1986.0,2.0748268562
1987.0,2.03053267773
1988.0,2.01855710211
1989.0,2.14482921855
1990.0,1.9784335116999998
1991.0,1.8306868446900002
1992.0,1.63557677295
1993.0,1.9386254150599997
1994.0,1.98382065404
1995.0,1.6480314454299998
1996.0,1.6529620381099999
1997.0,1.88061341208
1998.0,1.94619177778
1999.0,2.0039065035599997
2000.0,1.8644123537400001
2001.0,1.7208140117900002
2002.0,1.7660846648700002
2003.0,1.93961908257
2004.0,1.66835551592
2005.0,1.64744208852
2006.0,1.7208739345900002
2007.0,1.6215827084
2008.0,1.5021114412799998
2009.0,1.4861238999200002
2010.0,1.43347902415
2011.0,1.53318803148
2012.0,1.4530496882
2013.0,1.6981743695500002
2014.0,1.62294543389
2015.0,1.8930308485900003
2016.0,1.38184370158
2017.0,1.43070889418
2018.0,1.7449574898700002
2019.0,1.46715098911
2020.0,1.4488536923500002
2021.0,1.5478272460100002
2022.0,1.35511293808
2023.0,1.32788044706
2024.0,1.22189800425
2025.0,1.07648930536
2026.0,1.39332298411
2027.0,1.4673710719600002
2028.0,1.5113555045200002
2029.0,1.387642981823462
2030.0,1.3096938932412894
2031.0,1.4545044528078528
2032.0,1.415942184242076
2033.0,1.165201614995245
2034.0,1.1794082162725672
2035.0,1.379031203157493
2036.0,1.1508567122205045
2037.0,1.0941222054289892
2038.0,1.4024880297565616
2039.0,1.4571728066387395
2040.0,1.2733100142537597
2041.0,1.4355841575808703
2042.0,1.3377334135006391
2043.0,1.308027566734948
2044.0,1.2162865361906552
2045.0,1.1312537610313207
2046.0,1.3186671733826203
2047.0,1.0993461149029569
2048.0,1.2420547650555702
2049.0,1.0616304099101888
2050.0,1.2978177678816962
2051.0,1.3324644190186599
2052.0,1.101566864516672
2053.0,1.0886622232169212
2054.0,1.2415100033250066
2055.0,1.0747253742970624
2056.0,1.0875593057670174
2057.0,1.0990358832929736
2058.0,1.1742124909666902
2059.0,1.2471492802173745
2060.0,1.116024445309989
2061.0,1.3461857075200327
