1850	-0.0011385
1851	0.22492
1852	0.25587
1853	0.38057
1854	0.14211
1855	0.32589
1856	0.035706
1857	0.036291
1858	0.47379
1859	0.27492
1860	0.45936
1861	0.35244
1862	0.26391
1863	-0.145
1864	-0.074904
1865	0.039489
1866	0.34449
1867	0.67149
1868	0.025776
1869	0.87622
1870	0.41901
1871	0.48718
1872	0.80007
1873	0.93856
1874	0.29189
1875	0.049617
1876	0.64158
1877	0.63186
1878	1.0694
1879	0.91173
1880	0.51302
1881	0.50621
1882	0.27376
1883	0.54082
1884	1.5567
1885	1.5048
1886	1.1898
1887	1.2003
1888	1.3056
1889	1.7034
1890	1.0779
1891	1.7344
1892	1.1248
1893	1.4433
1894	1.6618
1895	1.9095
1896	2.1902
1897	2.1565
1898	1.5603
1899	1.3549
1900	1.7675
1901	2.1453
1902	2.8639
1903	2.4582
1904	2.3856
1905	2.0311
1906	2.9561
1907	2.1858
1908	2.6461
1909	2.4244
1910	2.3232
1911	2.7755
1912	2.9377
1913	2.9314
1914	2.6342
1915	2.7673
1916	2.6599
1917	2.3178
1918	2.4237
1919	2.4823
1920	2.2179
1921	2.7614
1922	3.1162
1923	2.3869
1924	2.3078
1925	2.7235
1926	3.0974
1927	2.5257
1928	2.4044
1929	2.4927
1930	2.5266
1931	2.4922
1932	2.8197
1933	1.5354
1934	1.9642
1935	2.284
1936	2.8754
1937	2.2354
1938	1.938
1939	2.4107
1940	2.1663
1941	2.6388
1942	2.0094
1943	1.6335
1944	2.3281
1945	2.3697
1946	1.8814
1947	1.6756
1948	2.3916
1949	2.2869
1950	1.9394
1951	1.864
1952	1.8751
1953	1.9038
1954	1.6088
1955	1.7234
1956	1.6681
1957	1.5192
1958	1.5828
1959	1.5295
1960	1.6297
1961	2.0161
1962	1.3726
1963	1.711
1964	1.6333
1965	1.9103
1966	1.4822
1967	1.4316
1968	0.88638
1969	1.5934
1970	1.3858
1971	1.9764
1972	1.4002
1973	1.1206
1974	1.5653
1975	1.5043
1976	1.188
1977	1.5047
1978	1.559
1979	1.3335
1980	1.3884
1981	1.233
1982	1.5986
1983	1.924
1984	1.9875
1985	1.037
1986	1.343
1987	1.8886
1988	1.1458
1989	1.3187
1990	1.2705
1991	1.7449
1992	1.3273
1993	1.2841
1994	1.5698
1995	1.3746
1996	0.61435
1997	1.763
1998	1.4431
1999	1.2266
2000	1.3545
2001	1.1696
2002	1.208
2003	1.3585
2004	1.8033
2005	1.1639
2006	1.0901
2007	0.77759
2008	0.71044
2009	0.60056
2010	1.3036
2011	1.2618
2012	1.0886
2013	0.87618
2014	0.96886
2015	0.96933
2016	1.1729
2017	1.4505
2018	1.1673
2019	0.52942
2020	0.92629
2021	0.81102
2022	1.1265
2023	0.8456
2024	1.2745
2025	1.1637
2026	1.6601
2027	1.2175
2028	0.87255
2029	0.75717
2030	0.77408
2031	1.3026
2032	1.1277
2033	1.227
2034	0.90282
2035	1.3726
2036	0.19483
2037	1.3801
2038	1.0443
2039	1.622
2040	0.84221
2041	0.71027
2042	0.26602
2043	0.59945
2044	1.4538
2045	0.72932
2046	1.1682
2047	0.94724
2048	0.63315
2049	0.99503
2050	0.93271
2051	0.47003
2052	1.2697
2053	0.68688
2054	1.1014
2055	1.6517
2056	0.53461
2057	0.79929
2058	0.23423
2059	0.84638
2060	0.74102
2061	0.92087
2062	0.51596
2063	0.9784
2064	1.4335
2065	0.1245
2066	0.55266
2067	1.0218
2068	0.63787
2069	1.2892
2070	1.1254
2071	0.44877
2072	1.0702
2073	0.99558
2074	0.9481
2075	0.55424
2076	0.99412
2077	0.5845
2078	0.52187
2079	0.63408
2080	0.72569
2081	0.62757
2082	0.72476
2083	0.65544
2084	0.56853
2085	0.65111
2086	1.1964
2087	0.37221
2088	0.70866
2089	0.80686
2090	1.03
2091	1.0875
2092	0.25542
2093	0.74679
2094	0.15743
2095	0.76292
2096	1.0193
2097	0.3275
2098	0.41659
2099	0.61245
2100	0.30573
2101	0.58193
2102	0.75422
2103	0.76279
2104	0.4891
2105	0.89986
2106	0.13427
2107	1.0429
2108	0.86986
2109	0.79687
2110	0.38037
2111	0.38147
2112	0.97069
2113	0.91347
2114	0.59849
2115	0.90687
2116	1.2701
2117	0.31035
