Time (Year),gpp
1851,121.94
1852,121.32
1853,122.46
1854,122.46
1855,123.34
1856,122.07
1857,123.45
1858,124.67
1859,125.71
1860,126.41
1861,128.43
1862,127.46
1863,128.1
1864,127.87
1865,129.1
1866,128.2
1867,131.18
1868,131.68
1869,129.72
1870,132.99
1871,133.2
1872,133.37
1873,134.38
1874,135.12
1875,134.71
1876,137.4
1877,139.23
1878,141.89
1879,140.71
1880,139.61
1881,141.54
1882,141.44
1883,141.94
1884,141.94
1885,142.48
1886,143.13
1887,145.94
1888,147.52
1889,147.36
1890,147.11
1891,148.77
1892,147.58
1893,149.1
1894,150.94
1895,151.68
1896,154.61
1897,154.65
1898,154.29
1899,154.64
1900,156.4
1901,154.85
1902,157.79
1903,161.61
1904,162.29
1905,161.78
1906,163.28
1907,162.31
1908,162.97
1909,164.63
1910,167.8
1911,167.09
1912,168.3
1913,165.66
1914,165.72
1915,168.12
1916,163.18
1917,163.58
1918,161.46
1919,163.49
1920,162.98
1921,163.09
1922,160.33
1923,163.73
1924,162.86
1925,159.49
1926,160.29
1927,163.6
1928,162.4
1929,159.26
1930,159.89
1931,158.15
1932,160.26
1933,159.43
1934,159.69
1935,158.02
1936,157.75
1937,161.01
1938,162.65
1939,159.3
1940,161.12
1941,159.27
1942,158.47
1943,160.36
1944,159.14
1945,158.53
1946,157.57
1947,158.77
1948,156.85
1949,156.03
1950,160.47
1951,158.27
1952,156.46
1953,158.46
1954,154.82
1955,155.3
1956,156.22
1957,156.7
1958,156.44
1959,154.9
1960,157.16
1961,158.89
1962,157.8
1963,156.69
1964,155.52
1965,155.5
1966,154.24
1967,153.96
1968,157.19
1969,157.03
1970,157.38
1971,156.34
1972,157.61
1973,155.69
1974,156.49
1975,155.68
1976,156.78
1977,156.01
1978,152.0
1979,157.55
1980,154.7
1981,156.17
1982,157.93
1983,156.13
1984,155.43
1985,155.63
1986,150.58
1987,151.86
1988,152.8
1989,155.65
1990,155.91
1991,156.26
1992,156.24
1993,154.53
1994,151.93
1995,149.14
1996,155.51
1997,155.84
1998,155.1
1999,154.27
2000,153.31
2001,152.65
2002,148.79
2003,153.08
2004,153.77
2005,153.72
2006,153.61
2007,151.86
2008,152.61
2009,154.45
2010,153.44
