Time (Year),rh
1851,60.534
1852,60.618
1853,61.268
1854,60.724
1855,60.747
1856,60.3
1857,61.323
1858,62.03100000000001
1859,61.354
1860,62.429
1861,62.549
1862,62.24800000000001
1863,62.731
1864,63.229
1865,63.312
1866,63.787
1867,63.572
1868,63.762
1869,64.279
1870,65.171
1871,64.21
1872,64.16199999999999
1873,65.617
1874,64.575
1875,65.352
1876,66.533
1877,66.545
1878,66.572
1879,67.039
1880,67.278
1881,68.215
1882,68.411
1883,68.58800000000001
1884,69.265
1885,69.44800000000001
1886,70.229
1887,69.665
1888,69.48
1889,70.574
1890,71.256
1891,71.278
1892,71.245
1893,72.543
1894,73.171
1895,72.616
1896,73.899
1897,73.672
1898,73.699
1899,74.998
1900,74.816
1901,75.884
1902,76.594
1903,76.56
1904,76.403
1905,78.166
1906,77.59899999999998
1907,78.314
1908,79.104
1909,79.41199999999998
1910,80.165
1911,80.31
1912,80.709
1913,81.643
1914,81.419
1915,80.876
1916,81.042
1917,81.309
1918,81.328
1919,82.03299999999999
1920,81.283
1921,80.666
1922,81.289
1923,82.663
1924,80.309
1925,80.961
1926,82.042
1927,81.372
1928,80.918
1929,81.758
1930,81.117
1931,81.017
1932,81.176
1933,81.56
1934,80.404
1935,81.324
1936,81.517
1937,83.116
1938,81.265
1939,80.608
1940,82.95100000000002
1941,80.779
1942,81.331
1943,81.91
1944,81.45100000000002
1945,81.458
1946,82.148
1947,80.892
1948,80.719
1949,81.65100000000002
1950,82.48700000000002
1951,80.648
1952,80.84
1953,81.215
1954,79.988
1955,80.366
1956,80.76100000000002
1957,80.63
1958,79.741
1959,81.064
1960,81.05
1961,81.858
1962,80.08
1963,80.91199999999998
1964,80.568
1965,79.943
1966,80.60600000000002
1967,80.756
1968,81.292
1969,80.426
1970,81.12
1971,80.68
1972,81.041
1973,79.281
1974,80.595
1975,80.515
1976,81.18
1977,79.707
1978,79.852
1979,81.472
1980,80.233
1981,80.47800000000002
1982,80.27600000000002
1983,80.975
1984,78.928
1985,80.053
1986,79.818
1987,79.507
1988,80.14399999999998
1989,80.153
1990,79.388
1991,79.931
1992,79.66
1993,80.262
1994,79.632
1995,79.934
1996,81.10600000000002
1997,79.517
1998,79.653
1999,79.006
2000,79.702
2001,78.931
2002,79.45
2003,79.768
2004,79.733
2005,79.139
2006,78.71300000000002
2007,79.732
2008,78.836
2009,79.807
2010,79.80199999999998
