Time (Year),npp
1851,61.519
1852,61.003
1853,61.955
1854,61.801
1855,62.867
1856,61.885
1857,62.118
1858,63.429
1859,64.09100000000001
1860,64.154
1861,65.905
1862,64.98899999999999
1863,65.267
1864,65.342
1865,66.193
1866,64.926
1867,67.89
1868,67.589
1869,65.85300000000001
1870,68.52600000000001
1871,68.865
1872,68.658
1873,69.444
1874,70.205
1875,69.19800000000001
1876,71.465
1877,72.781
1878,74.33800000000002
1879,73.422
1880,72.359
1881,73.587
1882,73.421
1883,73.51899999999998
1884,73.32600000000002
1885,73.281
1886,74.241
1887,76.847
1888,77.65
1889,76.819
1890,76.84
1891,78.033
1892,76.407
1893,77.97800000000002
1894,79.275
1895,80.01100000000002
1896,81.578
1897,81.673
1898,81.108
1899,81.001
1900,82.281
1901,80.77
1902,82.98700000000002
1903,86.669
1904,86.447
1905,85.539
1906,86.765
1907,85.897
1908,86.148
1909,87.626
1910,89.671
1911,88.25299999999999
1912,89.568
1913,87.376
1914,87.696
1915,89.42
1916,85.36399999999998
1917,85.734
1918,83.875
1919,86.05799999999998
1920,85.48
1921,85.70200000000001
1922,82.94200000000002
1923,86.429
1924,85.38
1925,82.756
1926,83.82
1927,86.376
1928,84.86
1929,82.569
1930,83.27
1931,82.213
1932,83.931
1933,83.31
1934,83.306
1935,81.82
1936,81.266
1937,84.464
1938,85.943
1939,82.381
1940,84.499
1941,83.04
1942,82.613
1943,83.52
1944,82.70200000000001
1945,82.044
1946,81.85600000000002
1947,82.949
1948,80.84100000000002
1949,80.02600000000002
1950,84.416
1951,82.771
1952,80.806
1953,82.66799999999998
1954,79.994
1955,80.626
1956,81.553
1957,81.665
1958,81.32
1959,79.893
1960,81.6
1961,82.975
1962,82.25
1963,81.37899999999998
1964,80.632
1965,80.227
1966,79.079
1967,79.569
1968,81.571
1969,81.72399999999998
1970,81.72
1971,80.817
1972,82.524
1973,80.91
1974,81.105
1975,80.613
1976,81.497
1977,81.238
1978,77.336
1979,82.693
1980,79.444
1981,81.47399999999998
1982,82.369
1983,81.008
1984,80.98
1985,80.262
1986,77.04
1987,78.11
1988,79.041
1989,80.94800000000002
1990,81.399
1991,81.67399999999998
1992,80.955
1993,79.375
1994,77.604
1995,75.244
1996,81.22
1997,81.347
1998,80.32300000000002
1999,79.93
2000,79.38
2001,78.711
2002,75.209
2003,79.57
2004,79.911
2005,80.044
2006,79.176
2007,77.86399999999998
2008,78.891
2009,80.087
2010,79.672
