Time (Year),nbp
1851,0.98442
1852,0.38474
1853,0.68718
1854,1.0767
1855,2.1198
1856,1.5855
1857,0.79494
1858,1.3975
1859,2.7357
1860,1.725
1861,3.3562
1862,2.7409
1863,2.5352
1864,2.1123
1865,2.8795
1866,1.1391
1867,4.3177
1868,3.8269
1869,1.5738
1870,3.3542
1871,4.6553
1872,4.4951
1873,3.8271
1874,5.6299
1875,3.8457
1876,4.9322
1877,6.2362
1878,7.7658
1879,6.3827
1880,5.0817
1881,5.3711
1882,5.0104
1883,4.9309
1884,4.0606
1885,3.8325
1886,4.0123
1887,7.1825
1888,8.1692
1889,6.2452
1890,5.5832
1891,6.7541
1892,5.1617
1893,5.4352
1894,6.1035
1895,7.3942
1896,7.6787
1897,8.0003
1898,7.4095
1899,6.0032
1900,7.4646
1901,4.8856
1902,6.3921
1903,10.11
1904,10.044
1905,7.3728
1906,9.1659
1907,7.5820000000000025
1908,7.044
1909,8.2134
1910,9.5053
1911,7.9426
1912,8.8592
1913,5.7325
1914,6.2774
1915,8.5436
1916,4.3221
1917,4.4248
1918,2.5463
1919,4.025
1920,4.1963
1921,5.0357
1922,1.6524
1923,3.7661
1924,5.0707
1925,1.7947
1926,1.777
1927,5.0042
1928,3.9415
1929,0.81042
1930,2.154
1931,1.196
1932,2.7560000000000002
1933,1.7499
1934,2.9013
1935,0.49638
1936,-0.2508
1937,1.3477
1938,4.6786
1939,1.7729
1940,1.5485
1941,2.2606
1942,1.2825
1943,1.6104
1944,1.2506
1945,0.5858800000000001
1946,-0.29207
1947,2.0561
1948,0.1222
1949,-1.6255
1950,1.9283
1951,2.1231
1952,-0.034535
1953,1.4531
1954,0.0068675
1955,0.2598
1956,0.79214
1957,1.0353
1958,1.5788
1959,-1.1714
1960,0.55101
1961,1.1166
1962,2.1692
1963,0.46744
1964,0.063598
1965,0.28338
1966,-1.5274
1967,-1.1866
1968,0.27838
1969,1.2978
1970,0.60078
1971,0.13685
1972,1.4827
1973,1.6288
1974,0.5085
1975,0.098263
1976,0.31627
1977,1.5312
1978,-2.5164
1979,1.2205
1980,-0.78976
1981,0.99678
1982,2.0933
1983,0.032405
1984,2.0518
1985,0.20929
1986,-2.7788
1987,-1.3971
1988,-1.1038
1989,0.79393
1990,2.0109
1991,1.7432
1992,1.2943
1993,-0.8874200000000001
1994,-2.0283
1995,-4.6909
1996,0.11363
1997,1.8292
1998,0.67078
1999,0.92433
2000,-0.32197
2001,-0.2202
2002,-4.2403
2003,-0.19825
2004,0.17715
2005,0.90501
2006,0.46283
2007,-1.8679
2008,0.054442
2009,0.27945
2010,-0.13045
