Time (Year),tas
1851,288.17665
1852,288.16393999999997
1853,288.03488
1854,288.11107999999996
1855,288.16312
1856,288.17784
1857,288.23941
1858,288.18057000000005
1859,288.19738
1860,288.44239
1861,288.45344
1862,288.21749
1863,288.18684
1864,288.35253
1865,288.65058
1866,288.42245
1867,288.29832999999996
1868,288.29458999999997
1869,288.2721
1870,288.41831
1871,288.63911
1872,288.84285
1873,288.53776
1874,288.36846
1875,288.42774
1876,288.64671
1877,288.82076
1878,288.5993
1879,288.46357
1880,288.59413
1881,288.61003999999997
1882,288.8564
1883,288.79716
1884,288.64281
1885,288.5752
1886,288.82341
1887,288.97846
1888,288.8502
1889,288.87795
1890,289.18821
1891,289.21737
1892,288.88645
1893,288.76975
1894,288.89832
1895,289.22604
1896,289.40547000000004
1897,289.19012000000004
1898,288.96927999999997
1899,289.03937
1900,289.19768999999997
1901,289.38214
1902,289.39709
1903,289.03635
1904,289.0309
1905,289.17051000000004
1906,289.41665
1907,289.46424
1908,289.1216
1909,289.20052000000004
1910,289.46216
1911,289.79081
1912,289.50365
1913,289.38302000000004
1914,289.54576000000003
1915,289.76394
1916,289.50375
1917,289.53294
1918,289.75271000000004
1919,289.81318
1920,289.48508
1921,289.41495
1922,289.58738
1923,289.80779
1924,289.9448
1925,290.09425
1926,289.70403999999996
1927,289.73748
1928,289.9775
1929,290.09819
1930,290.3421
1931,290.10265
1932,289.99782000000005
1933,290.13659
1934,290.28699
1935,290.10164
1936,290.18523999999996
1937,290.43715
1938,290.32912999999996
1939,290.0827
1940,290.14862999999997
1941,290.35949
1942,290.5864
1943,290.36461
1944,290.24778
1945,290.37262999999996
1946,290.68494
1947,290.5794
1948,290.36597
1949,290.43797
1950,290.49519
1951,290.65557
1952,290.89552000000003
1953,290.61475
1954,290.51986
1955,290.67823
1956,290.99501000000004
1957,290.64721000000003
1958,290.66589
1959,290.87175
1960,291.16463999999996
1961,290.97943
1962,290.73883
1963,290.82378
1964,291.0781
1965,291.26216
1966,290.95769
1967,291.00262999999995
1968,291.26025
1969,291.28267
1970,291.0123
1971,291.12302999999997
1972,291.34859
1973,291.49442999999997
1974,291.25338
1975,291.06145
1976,291.38665
1977,291.58381
1978,291.23818
1979,291.38137
