Time (Year),rlut
1851,230.64333
1852,230.95917000000003
1853,230.20572
1854,230.50222000000002
1855,230.61695
1856,230.36585
1857,230.65667000000002
1858,230.55555
1859,230.50964
1860,230.78815
1861,231.0564
1862,230.45247999999998
1863,230.13167
1864,230.27188999999998
1865,231.05386000000001
1866,230.85352999999998
1867,230.38303
1868,230.46855
1869,230.25843999999998
1870,230.28242999999998
1871,230.38862999999998
1872,231.28426000000002
1873,230.54863999999998
1874,230.04726000000002
1875,230.36357
1876,230.37922000000003
1877,230.76956
1878,230.55893999999998
1879,230.04477000000003
1880,230.30185
1881,230.21364
1882,230.47302000000002
1883,230.68583999999998
1884,230.39234
1885,229.95745
1886,230.33315
1887,230.73591000000002
1888,230.43116
1889,230.16373
1890,230.78736
1891,231.0607
1892,230.32609
1893,230.06488
1894,230.1355
1895,230.57802999999998
1896,230.95127000000002
1897,230.70552999999998
1898,230.21922999999998
1899,230.13505
1900,230.33923
1901,230.68801000000002
1902,231.09032000000002
1903,230.10992000000002
1904,229.85012999999998
1905,230.18957999999998
1906,230.48895
1907,231.03672999999998
1908,230.05772000000002
1909,229.92254
1910,230.33375
1911,231.26847999999998
1912,230.68411
1913,230.12187000000003
1914,230.32206000000002
1915,231.19925
1916,230.2506
1917,230.26376000000002
1918,230.63785
1919,231.16824
1920,230.13467000000003
1921,229.94915
1922,230.25418
1923,230.71652000000003
1924,230.89767999999998
1925,231.5006
1926,230.35655
1927,230.19269
1928,230.75751
1929,230.78922000000003
1930,231.39967000000001
1931,230.88872
1932,230.74562999999998
1933,230.7154
1934,231.27653999999998
1935,230.64012999999997
1936,230.31493999999998
1937,231.31437000000003
1938,231.31155
1939,230.56051000000002
1940,230.27181000000002
1941,230.77015
1942,231.38379
1943,230.86495
1944,230.6202
1945,230.51566
1946,231.21525
1947,231.21343
1948,230.71773
1949,230.64916000000002
1950,230.6243
1951,230.6628
1952,231.56049
1953,231.0469
1954,230.55342000000002
1955,230.68698999999998
1956,231.71319
1957,230.86122999999998
1958,230.48529
1959,230.84421
1960,231.64656000000002
1961,231.39402
1962,230.46364
1963,230.69612999999998
1964,231.14576
1965,231.76932000000002
1966,230.9702
1967,230.9343
1968,231.43016
1969,231.6617
1970,230.94965
1971,230.70817999999997
1972,231.03952
1973,231.77535
1974,231.21601
1975,230.49197
1976,231.04603999999998
1977,231.86538
1978,230.98867
1979,230.97177000000002
