Time (Year),pr
1851,1167.99398
1852,1167.92634
1853,1161.20959
1854,1164.4484300000001
1855,1167.58962
1856,1166.11486
1857,1165.78234
1858,1161.4782
1859,1163.73308
1860,1175.22847
1861,1175.49946
1862,1164.83165
1863,1166.37525
1864,1172.7133900000001
1865,1176.9483599999999
1866,1169.9291699999999
1867,1163.9946400000001
1868,1168.91697
1869,1163.1318800000001
1870,1166.96606
1871,1168.55362
1872,1186.76296
1873,1168.2467900000001
1874,1164.94604
1875,1169.00929
1876,1174.57806
1877,1172.8426
1878,1168.4344199999998
1879,1161.87501
1880,1171.96886
1881,1168.32639
1882,1174.64209
1883,1172.38689
1884,1170.34156
1885,1168.18212
1886,1167.53396
1887,1176.8899199999998
1888,1170.8474800000001
1889,1170.07193
1890,1183.70561
1891,1177.79327
1892,1176.0701900000001
1893,1174.81579
1894,1173.26115
1895,1180.24523
1896,1188.80545
1897,1177.5237300000001
1898,1171.20538
1899,1174.22526
1900,1180.57121
1901,1188.8672199999999
1902,1194.36261
1903,1175.04744
1904,1181.26921
1905,1179.6862
1906,1183.32621
1907,1192.7839900000001
1908,1174.8324699999998
1909,1174.7911
1910,1179.48144
1911,1195.79998
1912,1182.78195
1913,1178.38604
1914,1182.39605
1915,1188.9759199999999
1916,1179.38723
1917,1181.1503
1918,1182.49105
1919,1193.03754
1920,1184.6267699999999
1921,1179.98027
1922,1185.60804
1923,1191.37788
1924,1199.48019
1925,1202.52145
1926,1187.08585
1927,1179.14336
1928,1194.77008
1929,1196.16468
1930,1200.45055
1931,1186.73725
1932,1193.35299
1933,1190.05904
1934,1198.66515
1935,1190.8376
1936,1188.99818
1937,1204.42001
1938,1197.54795
1939,1189.68298
1940,1190.89465
1941,1196.08171
1942,1205.9339699999998
1943,1192.2912900000001
1944,1191.94001
1945,1188.2866
1946,1201.7802
1947,1196.77372
1948,1193.49482
1949,1187.93678
1950,1193.5587
1951,1191.7540099999999
1952,1217.4347400000001
1953,1199.26549
1954,1197.73493
1955,1198.30139
1956,1214.99175
1957,1199.5013800000002
1958,1197.00764
1959,1202.60518
1960,1218.62865
1961,1208.77587
1962,1198.59311
1963,1198.24024
1964,1210.42918
1965,1216.6665
1966,1203.81827
1967,1203.64732
1968,1217.2061199999998
1969,1216.3891199999998
1970,1202.0147
1971,1203.8949
1972,1211.7074300000002
1973,1224.3186
1974,1212.16338
1975,1202.57601
1976,1213.44794
1977,1222.33509
1978,1211.8188300000002
1979,1209.88977
