Time (Year),nbp
1851,0.61159
1852,0.29886999999999997
1853,1.49735
1854,1.1191
1855,0.74725
1856,1.7419799999999999
1857,0.93396
1858,2.32104
1859,2.91551
1860,2.2227200000000003
1861,1.0898700000000001
1862,2.5232900000000003
1863,3.61409
1864,3.44979
1865,1.6845900000000003
1866,2.59536
1867,4.78567
1868,3.63301
1869,5.1237
1870,5.322430000000001
1871,3.63365
1872,1.57216
1873,3.48946
1874,5.05405
1875,5.69095
1876,4.91121
1877,3.8788699999999996
1878,4.60798
1879,5.96263
1880,6.53443
1881,6.0512
1882,5.02883
1883,3.7259599999999997
1884,5.398569999999999
1885,5.71615
1886,5.27257
1887,4.812130000000001
1888,5.30208
1889,5.80545
1890,4.81754
1891,4.97392
1892,5.94503
1893,7.72041
1894,8.04063
1895,6.43558
1896,3.07076
1897,4.69477
1898,7.82413
1899,7.23228
1900,8.0999
1901,5.65712
1902,1.7207299999999999
1903,5.3097
1904,6.65304
1905,4.462359999999999
1906,4.4966800000000005
1907,1.20176
1908,1.6822099999999998
1909,4.81581
1910,3.25223
1911,2.58262
1912,1.18345
1913,-0.4075
1914,1.35886
1915,1.52653
1916,1.8425200000000002
1917,0.8788600000000001
1918,0.97035
1919,1.26264
1920,0.579
1921,1.3625200000000002
1922,0.42746000000000006
1923,-0.20681999999999998
1924,0.36082
1925,1.69199
1926,2.23992
1927,1.20461
1928,-0.61944
1929,-0.50122
1930,0.94586
1931,1.18267
1932,-0.11897
1933,-2.27317
1934,0.50959
1935,0.79833
1936,1.10703
1937,-1.10007
1938,-2.33773
1939,0.9108200000000001
1940,2.4499
1941,1.5149299999999999
1942,0.90064
1943,0.0669
1944,-0.41136000000000006
1945,-0.45355
1946,0.16203
1947,0.57968
1948,1.16792
1949,0.0531
1950,-0.2992
1951,-0.76795
1952,1.15541
1953,0.56853
1954,0.7481300000000001
1955,0.38326
1956,-2.84091
1957,-1.35955
1958,-0.39938
1959,1.0490899999999999
1960,0.6362800000000001
1961,-0.99441
1962,-1.88943
1963,0.68375
1964,1.47078
1965,-0.01461
1966,0.5291
1967,0.40742
1968,1.4973
1969,-1.69023
1970,-0.96619
1971,0.12474
1972,-0.46531000000000006
1973,-0.6218
1974,-0.15275999999999998
1975,-0.20556999999999997
1976,0.05534
1977,-3.4775300000000002
1978,0.26306999999999997
1979,1.1055700000000002
1980,1.35707
1981,-0.37393000000000004
1982,-0.45003999999999994
1983,-0.66132
1984,0.17703
1985,-1.02599
1986,-0.88131
1987,-0.17248
1988,-0.25019
1989,0.44609
1990,-0.14182
1991,0.028689999999999997
1992,-2.29332
1993,-0.23093000000000002
1994,0.5351600000000001
1995,0.59732
1996,0.31172
1997,-2.99377
1998,-0.23028
1999,1.1237
2000,1.3266799999999999
2001,1.31254
2002,-0.02286
2003,0.09512000000000001
2004,-0.3813
2005,-0.34158
2006,-3.0927
2007,0.5360699999999999
2008,0.62661
2009,2.0554799999999998
2010,0.49628999999999995
2011,-0.07354
2012,-0.11489
2013,-0.70002
2014,-2.1685
2015,0.047560000000000005
2016,1.3073
2017,1.68173
2018,0.37505
2019,-1.57339
2020,-0.32421
2021,0.36238000000000004
2022,0.4367
2023,0.53138
2024,0.0509
2025,-1.13212
2026,-2.52509
2027,-0.30662
2028,1.44235
2029,0.8360200000000001
2030,-2.5089200000000003
2031,0.14043
2032,1.39526
2033,-0.10959
2034,-0.30530999999999997
2035,-0.43468999999999997
2036,-0.07459
2037,-2.13423
2038,0.58382
2039,1.4341
2040,-0.27314
2041,-2.03725
2042,-1.04274
2043,1.01326
2044,-0.29234
2045,0.44493999999999995
2046,-1.29346
2047,-2.5962
2048,0.8267399999999999
2049,0.56696
2050,0.36911
2051,-0.24406999999999998
2052,-2.58751
2053,-0.8266899999999999
2054,1.1829
2055,0.69425
2056,-1.51663
2057,0.01341
2058,-0.019119999999999998
2059,-0.8421200000000001
2060,-0.0055
2061,0.51449
2062,0.96951
2063,0.35404
2064,-0.47146000000000005
2065,-1.61093
2066,-0.00173
2067,0.39285
2068,0.82806
2069,0.24833000000000002
2070,-1.17062
2071,-2.32172
2072,-0.22148
2073,1.36172
2074,1.73203
2075,0.6482399999999999
2076,-0.77044
2077,-1.4463
2078,0.46038
2079,0.50348
2080,-0.52542
2081,-1.0136
2082,-1.36883
2083,0.4149
2084,0.8624799999999999
2085,-0.57397
2086,-2.5648
2087,0.10032999999999999
2088,1.4818200000000001
2089,1.2699799999999999
2090,0.53052
2091,-1.94487
2092,-1.14784
2093,1.30236
2094,0.42341000000000006
2095,-1.21252
2096,0.13438
2097,0.42163999999999996
2098,0.35511
2099,0.87434
2100,0.16563
2101,-1.6186200000000002
2102,-1.08931
2103,-0.42433000000000004
2104,0.14296
2105,-1.3345
2106,-0.08572
2107,-1.40763
2108,-3.29691
2109,0.81855
2110,1.04916
2111,0.8527299999999999
2112,-1.04425
2113,-1.3141399999999999
2114,-0.41544
2115,-0.71392
2116,-0.08262
2117,-0.027880000000000002
2118,0.35303
2119,-0.79477
2120,-3.11315
2121,0.37886
2122,1.48624
2123,1.20411
2124,0.35254
2125,-2.1792700000000003
2126,-1.0693700000000002
2127,1.23597
2128,0.06407
2129,-0.18954000000000001
2130,-0.62431
2131,-1.81565
2132,0.3532
2133,0.77856
2134,1.61992
2135,0.7691100000000001
2136,-2.2972099999999998
2137,0.051539999999999996
2138,0.8677
2139,0.89266
2140,-0.21341999999999997
2141,-2.71584
2142,-1.08046
2143,0.9829399999999999
2144,0.72104
2145,0.35134
2146,0.44664
2147,-0.25268
2148,0.16124000000000002
2149,0.70373
2150,0.47561000000000003
2151,-2.87637
2152,-1.3408200000000001
2153,1.58209
2154,0.6281100000000001
2155,-1.0284799999999998
2156,-1.63573
2157,-0.40088
2158,0.01172
2159,0.07169
2160,-0.22293000000000002
