Time (Year),fco2nat
1851,1.46551
1852,1.48947
1853,2.9209099999999997
1854,2.74153
1855,2.46292
1856,3.63427
1857,2.98786
1858,4.48341
1859,5.199990000000001
1860,4.5256099999999995
1861,3.50892
1862,5.04272
1863,6.2187
1864,6.11543
1865,4.51307
1866,5.537030000000001
1867,7.73575
1868,6.62027
1869,8.16959
1870,8.334430000000001
1871,6.73186
1872,4.91456
1873,6.82773
1874,8.36155
1875,9.05665
1876,8.19467
1877,7.27273
1878,7.97818
1879,9.53673
1880,9.9557
1881,9.40799
1882,8.55555
1883,7.44758
1884,9.00895
1885,9.40944
1886,8.92366
1887,8.5798
1888,9.24473
1889,9.771410000000001
1890,8.76585
1891,9.156239999999999
1892,10.108460000000001
1893,11.80839
1894,11.92052
1895,10.35063
1896,7.0662199999999995
1897,8.9057
1898,11.9619
1899,11.26902
1900,12.18175
1901,9.68465
1902,8.20688
1903,11.63757
1904,11.2712
1905,11.4628
1906,10.07013
1907,7.85762
1908,11.76492
1909,12.66352
1910,11.54882
1911,8.26142
1912,9.54758
1913,11.20604
1914,10.02787
1915,5.34928
1916,5.93193
1917,5.77802
1918,6.7856
1919,7.194189999999999
1920,7.095339999999999
1921,6.27724
1922,3.8016300000000003
1923,2.40314
1924,5.52024
1925,5.14596
1926,2.86844
1927,0.58081
1928,2.15855
1929,4.48768
1930,4.17401
1931,0.28226
1932,-0.47936999999999996
1933,3.59355
1934,3.42423
1935,4.1121
1936,2.14699
1937,1.22506
1938,1.30985
1939,1.07499
1940,-0.71445
1941,2.3121099999999997
1942,3.4955800000000004
1943,2.92688
1944,0.54923
1945,1.5329
1946,3.3871
1947,2.6148700000000002
1948,0.79725
1949,-1.47494
1950,1.08517
1951,3.4074400000000002
1952,2.8431
1953,2.5131200000000002
1954,0.75415
1955,-0.23235999999999998
1956,0.67492
1957,2.0423
1958,0.77593
1959,0.68577
1960,1.82414
1961,2.20414
1962,0.58094
1963,-0.81882
1964,2.0430599999999997
1965,2.01437
1966,1.42261
1967,-0.06118
1968,-1.1758600000000001
1969,1.6819099999999998
1970,2.95778
1971,1.82716
1972,-1.36585
1973,0.71054
1974,1.71448
1975,2.5064599999999997
1976,0.61524
1977,-0.14076
1978,1.62971
1979,2.8652900000000003
1980,2.4374
1981,1.0155299999999998
1982,-0.2681
1983,1.03924
1984,0.5214300000000001
1985,1.1348799999999999
1986,1.7616900000000002
1987,-2.14411
1988,1.46386
1989,1.48746
1990,1.8509400000000003
1991,2.60285
1992,-0.94794
1993,0.31824
1994,2.65242
1995,2.9241900000000003
1996,1.92173
1997,-1.7781
1998,1.35358
1999,2.60732
2000,1.33827
2001,0.14762
2002,-1.3915799999999998
2003,-1.02155
2004,0.8062
2005,1.43382
2006,1.4603700000000002
2007,-0.65479
2008,0.42202
2009,1.45031
2010,2.27497
2011,2.73749
2012,-1.03626
2013,-2.0608299999999997
2014,1.7091599999999998
2015,1.9793599999999998
2016,1.33087
2017,-1.83515
2018,0.0258
2019,1.8879299999999999
2020,0.84045
2021,1.15277
2022,-0.74326
2023,-1.0478299999999998
2024,0.51869
2025,2.07508
2026,0.7802600000000001
2027,0.8022
2028,2.1367
2029,-1.58338
2030,-0.00346
2031,1.86093
2032,2.24473
2033,2.12957
2034,0.76107
2035,-1.96301
2036,0.82055
2037,0.87266
2038,1.56552
2039,0.07705
2040,-2.03652
2041,1.08628
2042,2.7292
2043,0.0876
2044,-2.305
2045,0.16801
2046,1.43382
2047,1.05523
2048,1.3427799999999999
2049,-0.66719
2050,0.8892700000000001
2051,3.3805300000000003
2052,1.4063700000000001
2053,1.05267
2054,0.46516
2055,0.1174
2056,1.4444700000000001
2057,1.09243
2058,0.21658000000000002
2059,-0.39818000000000003
2060,-0.5285
2061,1.0036200000000002
2062,1.7763
2063,2.06767
2064,1.18108
2065,0.71444
2066,-0.9318200000000001
2067,-0.2571
2068,-2.04121
2069,1.1449200000000002
2070,3.34666
2071,2.4275
2072,-1.38681
2073,-1.26545
2074,0.36516
2075,0.60095
2076,-0.11961
2077,1.42711
2078,0.2043
2079,-1.41029
2080,1.20661
2081,2.88605
2082,2.19895
2083,-1.9548400000000001
2084,0.57322
2085,1.06794
2086,0.24681999999999998
2087,-1.49595
2088,-0.5544100000000001
2089,1.27565
2090,2.8077900000000002
2091,1.93504
2092,1.45074
2093,-3.23123
2094,0.05479
2095,1.97032
2096,2.7461900000000004
2097,1.00284
2098,-1.5872
2099,-0.11352999999999999
2100,0.82057
2101,0.7892
2102,1.39971
2103,-1.27844
2104,0.73822
2105,1.11178
2106,-0.09158
2107,-0.07796
2108,-0.15417999999999998
2109,1.73922
2110,1.32003
2111,0.26997
2112,0.13362000000000002
2113,-0.9392799999999999
2114,0.71819
2115,0.79173
2116,0.23704
2117,-2.52779
2118,1.21899
2119,1.94134
2120,1.5921399999999999
2121,0.97252
2122,-2.05476
2123,-0.62621
2124,0.14
2125,1.83923
2126,1.0954700000000002
2127,0.5266
2128,1.02485
2129,1.1495799999999998
2130,-1.7791599999999999
2131,0.4982
2132,1.60337
2133,1.30922
2134,-0.84795
2135,-1.5955
2136,0.85135
2137,2.41508
2138,1.62111
2139,0.17929
2140,-1.02546
2141,-1.85192
2142,1.07749
2143,2.41152
2144,1.5089299999999999
2145,-0.39198
2146,-0.12685
2147,0.56589
2148,1.29672
2149,0.33183
2150,0.61337
2151,0.63959
2152,-0.91951
2153,0.7963
2154,0.9463799999999999
2155,-0.29484
2156,-0.08279
2157,0.041760000000000005
2158,0.101
2159,-0.08363
2160,-0.35505
