Time (Year),pr
1851,1167.99398
1852,1167.92634
1853,1161.20959
1854,1164.4484300000001
1855,1167.58962
1856,1166.11486
1857,1165.78234
1858,1161.4782
1859,1163.73308
1860,1175.22847
1861,1175.49946
1862,1164.83165
1863,1166.37525
1864,1172.7133900000001
1865,1176.9483599999999
1866,1169.9291699999999
1867,1163.9946400000001
1868,1168.91697
1869,1163.1318800000001
1870,1166.96606
1871,1168.55362
1872,1186.76296
1873,1168.2467900000001
1874,1164.94604
1875,1169.00929
1876,1174.57806
1877,1172.8426
1878,1168.4344199999998
1879,1161.87501
1880,1171.96886
1881,1168.32639
1882,1174.64209
1883,1172.38689
1884,1170.34156
1885,1168.18212
1886,1167.53396
1887,1176.8899199999998
1888,1170.8474800000001
1889,1170.07193
1890,1183.70561
1891,1177.79327
1892,1176.0701900000001
1893,1174.81579
1894,1173.26115
1895,1180.24523
1896,1188.80545
1897,1177.5237300000001
1898,1171.20538
1899,1174.22526
1900,1180.57121
1901,1188.8672199999999
1902,1189.39394
1903,1173.83666
1904,1180.15094
1905,1178.3605699999998
1906,1180.52665
1907,1186.83401
1908,1181.45084
1909,1172.82823
1910,1174.20056
1911,1176.2045
1912,1186.52644
1913,1190.42237
1914,1178.8585
1915,1173.805
1916,1180.09804
1917,1179.14437
1918,1190.47257
1919,1178.89203
1920,1181.74908
1921,1181.03554
1922,1178.0448800000001
1923,1183.56188
1924,1183.76259
1925,1176.40431
1926,1176.0284
1927,1177.42954
1928,1187.53747
1929,1175.86163
1930,1172.46695
1931,1175.0528199999999
1932,1183.4198900000001
1933,1185.50785
1934,1175.69629
1935,1172.98635
1936,1174.96565
1937,1188.68629
1938,1185.2247300000001
1939,1177.12929
1940,1177.26071
1941,1174.5213800000001
1942,1177.99925
1943,1176.44748
1944,1183.71628
1945,1175.22584
1946,1184.2521
1947,1174.63726
1948,1179.78738
1949,1179.92192
1950,1188.21251
1951,1184.63166
1952,1180.12643
1953,1181.71902
1954,1181.01021
1955,1176.84785
1956,1190.18909
1957,1179.61295
1958,1178.83048
1959,1173.75607
1960,1179.52681
1961,1181.1672
1962,1182.77172
1963,1176.59833
1964,1176.8917099999999
1965,1177.67265
1966,1177.24628
1967,1180.3944199999999
1968,1182.46672
1969,1190.4320599999999
1970,1178.22092
1971,1176.56183
1972,1182.86602
1973,1182.37855
1974,1178.1878199999999
1975,1182.15155
1976,1186.52278
1977,1189.3183099999999
1978,1177.57047
1979,1170.09661
1980,1182.10946
1981,1177.1213400000001
1982,1178.43787
1983,1178.7585900000001
1984,1175.7494
1985,1174.26563
1986,1178.7488
1987,1176.71993
1988,1174.63795
1989,1179.01749
1990,1176.6553
1991,1182.5074
1992,1191.53701
1993,1175.80919
1994,1174.47221
1995,1179.43735
1996,1180.40581
1997,1191.14852
1998,1178.63529
1999,1176.6463099999999
2000,1182.67652
2001,1182.77451
2002,1178.90282
2003,1176.29272
2004,1175.80341
2005,1180.68354
2006,1186.9248300000002
2007,1177.18086
2008,1178.4574
2009,1175.6001800000001
2010,1176.29612
2011,1177.6701
2012,1179.74761
2013,1180.56196
2014,1185.12149
2015,1176.97926
2016,1178.51029
2017,1176.13832
2018,1179.0628800000002
2019,1184.85846
2020,1178.8963099999999
2021,1176.01429
2022,1175.81385
2023,1178.6268400000001
2024,1176.80477
2025,1184.0924300000001
2026,1191.09352
2027,1171.2956
2028,1174.98496
2029,1184.73341
2030,1191.66501
2031,1174.47946
2032,1181.9260199999999
2033,1178.84901
2034,1181.09178
2035,1181.6572199999998
2036,1182.92376
2037,1185.8487
2038,1171.60342
2039,1179.06314
2040,1186.622
2041,1192.07916
2042,1180.92863
2043,1171.81953
2044,1174.17274
2045,1179.77172
2046,1187.13298
2047,1189.43668
2048,1178.3153300000001
2049,1170.8345
2050,1173.90443
2051,1180.73269
2052,1190.60671
2053,1177.15003
2054,1173.72233
2055,1179.34303
2056,1181.00804
2057,1177.33131
2058,1180.30402
2059,1181.2224
2060,1177.96235
2061,1172.70651
2062,1174.06181
2063,1176.165
2064,1187.34238
2065,1186.6593
2066,1170.8844199999999
2067,1176.60318
2068,1180.14333
2069,1178.24344
2070,1190.2757800000002
2071,1187.15925
2072,1175.27344
2073,1166.92901
2074,1173.62882
2075,1180.041
2076,1189.96784
2077,1177.63104
2078,1175.7714
2079,1174.2691300000001
2080,1185.30701
2081,1186.9488900000001
2082,1172.72236
2083,1174.46651
2084,1179.53739
2085,1187.3561
2086,1192.0004900000001
2087,1174.2657800000002
2088,1173.5681
2089,1178.58524
2090,1179.74902
2091,1186.68046
2092,1183.1711
2093,1175.94569
2094,1180.5866800000001
2095,1183.1748599999999
2096,1173.55811
2097,1171.8921
2098,1176.2925699999998
2099,1179.92902
2100,1173.34274
2101,1183.1453099999999
2102,1177.35916
2103,1174.4515
2104,1173.14997
2105,1174.10177
2106,1177.14142
2107,1183.50286
2108,1188.6403599999999
2109,1171.12291
2110,1169.97355
2111,1174.67227
2112,1188.35301
2113,1178.78696
2114,1173.9873300000002
2115,1176.17665
2116,1178.10275
2117,1173.3828800000001
2118,1170.49398
2119,1177.7694099999999
2120,1187.26857
2121,1172.7735
2122,1170.65959
2123,1172.881
2124,1176.6844
2125,1188.2260199999998
2126,1175.22122
2127,1171.58565
2128,1175.86367
2129,1174.90085
2130,1181.20087
2131,1187.26982
2132,1176.0578
2133,1168.2258199999999
2134,1173.94916
2135,1177.38938
2136,1196.1984
2137,1172.5909900000001
2138,1171.70163
2139,1173.32335
2140,1181.84246
2141,1187.04721
2142,1169.84106
2143,1173.70652
2144,1175.81081
2145,1180.16149
2146,1178.94507
2147,1174.68344
2148,1182.55635
2149,1177.51383
2150,1178.55593
2151,1187.67659
2152,1183.90427
2153,1169.89514
2154,1173.2675800000002
2155,1183.96404
2156,1184.59958
2157,1168.37022
2158,1174.66054
2159,1178.5498300000002
2160,1184.24495
