Time (Year),npp
1851,56.7504
1852,56.95771
1853,57.19059
1854,56.862930000000006
1855,57.27489
1856,58.37328
1857,57.7267
1858,58.58171
1859,59.18278000000001
1860,59.883469999999996
1861,59.179730000000006
1862,59.374019999999994
1863,60.04444
1864,60.8685
1865,60.390719999999995
1866,60.68936
1867,62.00101
1868,60.97696
1869,62.487080000000006
1870,63.3969
1871,62.374590000000005
1872,62.38397
1873,62.4522
1874,63.35869
1875,64.724
1876,64.90453000000001
1877,64.94725
1878,64.43053
1879,64.69838
1880,66.59437
1881,66.39533
1882,66.65043
1883,65.63009
1884,66.81148
1885,66.91115
1886,67.28815999999999
1887,68.2453
1888,67.9992
1889,68.1717
1890,69.36187
1891,69.41934
1892,69.29155
1893,70.8399
1894,71.41230999999999
1895,71.88984
1896,69.85061
1897,70.27702
1898,72.16823000000001
1899,72.20844
1900,73.92088000000001
1901,73.70537
1902,72.411
1903,73.6678
1904,73.65862
1905,74.87644
1906,74.27793
1907,73.52078
1908,74.88908
1909,76.54987
1910,76.29718000000001
1911,75.39139
1912,75.34434
1913,75.94606
1914,76.48478
1915,74.80669
1916,75.3088
1917,74.96631
1918,74.60087
1919,74.87938
1920,75.38356999999999
1921,74.96889
1922,74.67314
1923,73.09191
1924,74.70971999999999
1925,74.72104
1926,74.08501
1927,72.10193000000001
1928,71.92619
1929,73.2706
1930,73.92665
1931,72.63334
1932,71.24188000000001
1933,73.12645
1934,73.18935
1935,73.72555
1936,72.61601
1937,72.83473000000001
1938,72.28381999999999
1939,71.87171
1940,71.45940999999999
1941,71.97646
1942,73.28348000000001
1943,73.33
1944,72.38269
1945,72.27022
1946,73.04994
1947,72.59934
1948,73.19286
1949,70.36434
1950,71.07427
1951,72.4496
1952,72.24834
1953,72.12751
1954,71.43874
1955,71.1849
1956,70.89924
1957,71.99763
1958,71.81285
1959,70.23562
1960,71.80157
1961,71.95801
1962,71.29496
1963,70.42806
1964,71.32488000000001
1965,71.13463
1966,71.3955
1967,71.26118000000001
1968,70.76717
1969,70.93897
1970,71.349
1971,71.89585
1972,70.43815
1973,71.00931
1974,70.11197
1975,71.70359
1976,71.43915
1977,70.91548
1978,70.97839
1979,70.87854
1980,71.73885
1981,71.60428
1982,70.42043000000001
1983,71.25946
1984,70.77915
1985,70.48337
1986,71.17918
1987,69.34487
1988,71.42161
1989,70.47389
1990,70.72926
1991,71.19485
1992,70.70209
1993,70.23359
1994,70.99089000000001
1995,71.50397
1996,72.20404
1997,69.21635
1998,71.01332
1999,70.75448
2000,71.0933
2001,69.84926
2002,69.61568
2003,68.62042
2004,69.72717
2005,70.46468
2006,70.89559
2007,70.27938
2008,69.66694
2009,69.66147
2010,70.65863
2011,71.1248
2012,69.38072
2013,68.4135
2014,69.90983
2015,70.83595
2016,70.12403
2017,68.96953
2018,69.63061
2019,70.00833
2020,69.80671
2021,70.37148
2022,70.06237
2023,68.74034
2024,69.08591
2025,70.34685
2026,69.90619000000001
2027,69.07366999999999
2028,70.52443000000001
2029,68.73931999999999
2030,68.59094
2031,69.93652
2032,70.68511
2033,70.7572
2034,70.35436
2035,68.64623
2036,69.53581
2037,69.13009
2038,69.51980999999999
2039,70.35258
2040,68.85571
2041,69.41734
2042,70.25751
2043,69.40996
2044,68.60739000000001
2045,69.09225
2046,69.76890999999999
2047,69.30511
2048,69.82324
2049,69.218
2050,68.84966
2051,70.8806
2052,70.03135999999999
2053,70.13731
2054,69.57667
2055,69.21502
2056,69.6249
2057,69.57252
2058,68.97272
2059,68.66563000000001
2060,68.95191
2061,68.5112
2062,69.45065
2063,70.05313000000001
2064,69.62266
2065,69.68464
2066,68.65293
2067,69.27286
2068,67.9901
2069,69.21808
2070,70.82258
2071,69.83635
2072,68.05001
2073,67.63795999999999
2074,68.59184
2075,68.55884
2076,68.03130999999999
2077,68.94830999999999
2078,69.18692
2079,67.48848000000001
2080,68.97052
2081,69.73969
2082,69.84558
2083,68.06390999999999
2084,68.53842
2085,68.76303
2086,68.13614
2087,67.79916
2088,68.28536
2089,68.53994
2090,69.61519
2091,69.3044
2092,69.98401
2093,67.60374
2094,68.36218000000001
2095,68.71082
2096,70.14843
2097,69.68641
2098,68.2059
2099,68.10446999999999
2100,68.45168000000001
2101,68.61482
2102,69.88091999999999
2103,67.54160999999999
2104,68.58478000000001
2105,68.44064
2106,68.26056
2107,68.61405
2108,68.2989
2109,68.7285
2110,69.25709
2111,68.41956
2112,68.56579
2113,67.98528
2114,67.79075999999999
2115,68.11726
2116,69.00216999999999
2117,66.7038
2118,68.73019000000001
2119,68.95416
2120,68.79997
2121,69.19371
2122,68.14023
2123,67.96768
2124,67.40364
2125,69.39395999999999
2126,69.2036
2127,68.24611999999999
2128,69.1366
2129,68.68446
2130,67.88842
2131,68.14055
2132,69.61641
2133,68.7253
2134,67.97773000000001
2135,68.35645
2136,68.54162
2137,69.3598
2138,69.23385
2139,68.74231
2140,68.31788
2141,67.46415
2142,68.22064
2143,68.6834
2144,68.48201
2145,67.5685
2146,68.70081
2147,67.97205
2148,68.45607
2149,67.32226999999999
2150,68.60732
2151,68.56447
2152,67.66229
2153,68.18863
2154,68.40864
2155,67.56577
2156,67.88925
2157,67.91445999999999
2158,68.09166
2159,68.14477
2160,68.64035
