Time (Year),rh
1851,55.345859999999995
1852,55.85055
1853,54.88718000000001
1854,54.922340000000005
1855,55.70786
1856,55.8143
1857,55.99511
1858,55.46536
1859,55.48523
1860,56.853390000000005
1861,57.26996
1862,56.0275
1863,55.58915
1864,56.553819999999995
1865,57.86945
1866,57.23356999999999
1867,56.37826
1868,56.51359
1869,56.53954
1870,57.233630000000005
1871,57.889340000000004
1872,59.9426
1873,58.066919999999996
1874,57.41393000000001
1875,58.13745
1876,59.1149
1877,60.1784
1878,58.95786999999999
1879,57.85621
1880,59.192
1881,59.45887
1882,60.7378
1883,60.975359999999995
1884,60.46745
1885,60.268269999999994
1886,61.09211
1887,62.54088
1888,61.77392
1889,61.488459999999996
1890,63.63635
1891,63.519259999999996
1892,62.3882
1893,62.161030000000004
1894,62.38573
1895,64.48085
1896,65.81118000000001
1897,64.62395
1898,63.38944
1899,64.0334
1900,64.85422
1901,67.07795
1902,67.4301
1903,65.40585
1904,65.71075
1905,66.59818
1906,67.62037
1907,69.1219
1908,66.58488
1909,67.19481999999999
1910,67.91903
1911,70.58238
1912,69.29391
1913,68.37584
1914,68.37535
1915,71.09363
1916,70.79754
1917,70.4167
1918,68.93408000000001
1919,68.8111
1920,69.242
1921,69.46835
1922,71.44566999999999
1923,71.27917
1924,69.72118
1925,70.0974
1926,71.63264000000001
1927,72.03327
1928,70.16224
1929,69.33391
1930,70.21092
1931,72.6657
1932,72.10426
1933,69.95124
1934,69.97521
1935,69.90844
1936,70.80344000000001
1937,71.88383
1938,71.31166
1939,71.19364
1940,72.54011
1941,69.9758
1942,70.07278000000001
1943,70.68955
1944,72.17282
1945,70.88538
1946,69.88259000000001
1947,70.22031
1948,72.62234000000001
1949,72.26053
1950,70.23592
1951,69.29828
1952,69.55242
1953,69.70869
1954,70.77871
1955,71.6559
1956,70.51720999999999
1957,70.092
1958,71.34791
1959,69.81074
1960,70.10356
1961,69.79726
1962,70.76704000000001
1963,71.47284
1964,69.38851
1965,69.34565
1966,70.16404
1967,71.669
1968,72.17441
1969,69.44606
1970,68.50877
1971,70.22403
1972,72.01486
1973,70.43969
1974,68.61429
1975,69.43789
1976,71.07764
1977,71.05628
1978,69.37785
1979,68.02481999999999
1980,69.1506
1981,70.49519000000001
1982,70.63956
1983,70.21328000000001
1984,70.15091
1985,69.08928
1986,69.51974
1987,71.64067
1988,69.9312
1989,68.86059
1990,68.69808
1991,68.60923000000001
1992,71.58756
1993,69.92154000000001
1994,68.36683000000001
1995,68.42599
1996,70.24771
1997,70.96544
1998,69.47898
1999,68.02915
2000,69.57575
2001,69.54831999999999
2002,71.00126999999999
2003,69.7556
2004,68.94416
2005,69.03851
2006,69.42914
2007,70.94102
2008,69.31178
2009,68.18973000000001
2010,68.21611999999999
2011,68.16041
2012,70.41556
2013,70.53264
2014,68.13684
2015,68.67302
2016,68.64076
2017,70.69136
2018,69.46996999999999
2019,67.88618000000001
2020,68.70567
2021,69.11402
2022,70.78217
2023,69.86986999999999
2024,68.6832
2025,68.20205
2026,68.98642
2027,68.09136
2028,68.3735
2029,70.29563
2030,68.45044
2031,67.92081
2032,68.27317
2033,68.38944000000001
2034,69.46593
2035,70.58161
2036,68.64587
2037,68.08256
2038,67.88771
2039,70.30526
2040,70.81743
2041,68.1545
2042,67.45329
2043,69.13179000000001
2044,70.82938
2045,68.70996
2046,68.04106999999999
2047,67.95806
2048,68.25491
2049,69.73734
2050,67.78216
2051,67.33536
2052,68.29943
2053,68.7958
2054,68.81584000000001
2055,68.98307
2056,67.98993
2057,68.31134
2058,68.52337
2059,69.0328
2060,69.49838000000001
2061,67.36046999999999
2062,67.33084000000001
2063,67.57661
2064,68.07536
2065,68.65398
2066,69.39921
2067,69.59746
2068,69.9181
2069,67.87507
2070,67.13904000000001
2071,66.99795999999999
2072,69.08479
2073,68.60464
2074,67.90034
2075,67.6323
2076,67.8293
2077,67.44158
2078,69.03198
2079,68.98607
2080,67.54003
2081,66.45608
2082,67.22623
2083,69.70215
2084,67.73115
2085,67.42721999999999
2086,67.81685
2087,69.20763000000001
2088,68.67876
2089,66.98879000000001
2090,66.5438
2091,66.94896999999999
2092,68.13833000000001
2093,70.38741
2094,67.94379
2095,66.4434
2096,67.06838
2097,68.26454
2098,69.39973
2099,67.87039
2100,67.19686
2101,67.49598
2102,68.09076
2103,68.4641
2104,67.38089000000001
2105,67.05202
2106,67.98292
2107,68.35947
2108,68.03764
2109,66.72062
2110,67.70998
2111,67.85795999999999
2112,68.31584000000001
2113,68.70822
2114,66.91239
2115,67.08711
2116,68.54679
2117,69.09317
2118,67.22107
2119,66.71081
2120,66.84116999999999
2121,67.90141
2122,70.00088000000001
2123,68.36915
2124,67.02305
2125,67.14922
2126,67.57429
2127,67.21056
2128,67.58699
2129,67.20594
2130,69.4254
2131,67.3987
2132,67.64833
2133,67.19623
2134,68.54717
2135,69.731
2136,67.43073000000001
2137,66.46198000000001
2138,67.28445
2139,68.31376999999999
2140,69.22916
2141,69.13474000000001
2142,66.75695
2143,65.79817
2144,66.57096
2145,67.48915
2146,68.46011999999999
2147,66.97841
2148,66.69816999999999
2149,66.52055
2150,67.71833000000001
2151,67.58972
2152,68.10717
2153,67.05335
2154,66.98905
2155,67.48645
2156,67.65515
2157,67.67271
2158,67.74449
2159,68.08236
2160,68.85784
