Time (Year),tos
1851,291.33252000000005
1852,291.30072
1853,291.19412
1854,291.25801
1855,291.23321
1856,291.30613
1857,291.32906
1858,291.2529
1859,291.3288
1860,291.46139
1861,291.45312
1862,291.26452
1863,291.26926000000003
1864,291.40786
1865,291.59896000000003
1866,291.45234
1867,291.39811000000003
1868,291.36399
1869,291.33472
1870,291.44389
1871,291.65266
1872,291.70025
1873,291.46536000000003
1874,291.42087000000004
1875,291.45279
1876,291.59069
1877,291.68455
1878,291.51506
1879,291.43175
1880,291.51658
1881,291.56399
1882,291.70243
1883,291.6318
1884,291.49869
1885,291.49951
1886,291.69723
1887,291.80868
1888,291.6982
1889,291.76838
1890,291.96046
1891,291.98117
1892,291.74532
1893,291.66579
1894,291.81223
1895,291.98478
1896,292.10601
1897,291.91937
1898,291.80105
1899,291.86056
1900,291.98633
1901,292.13412
1902,292.08182999999997
1903,291.80678
1904,291.80332999999996
1905,291.90355
1906,292.03148
1907,292.08859
1908,291.86405
1909,291.73387
1910,291.83457000000004
1911,292.02608
1912,292.1272
1913,292.11612
1914,291.97466000000003
1915,291.89371
1916,291.92843
1917,292.00432
1918,292.06404
1919,291.96979
1920,292.01024
1921,291.96628
1922,292.00677
1923,292.01471000000004
1924,291.95435
1925,291.78974
1926,291.8227
1927,291.94347
1928,292.0319
1929,291.79555
1930,291.83768
1931,291.9086
1932,292.01837
1933,292.02755
1934,291.82623
1935,291.8138
1936,291.87547
1937,292.06748999999996
1938,291.98676
1939,291.77533999999997
1940,291.71892
1941,291.79804
1942,291.84861
1943,291.86102
1944,291.92219
1945,291.92388
1946,291.88739
1947,291.71391
1948,291.74655
1949,291.87169
1950,292.03272999999996
1951,291.8448
1952,291.80498
1953,291.79753
1954,291.75955
1955,291.89633
1956,292.05232
1957,291.86425
1958,291.72174
1959,291.70321
1960,291.81417000000005
1961,291.96664
1962,291.85983
1963,291.71355
1964,291.74208
1965,291.73726
1966,291.8651
1967,291.842
1968,291.93753
1969,292.03238
1970,291.91617
1971,291.84574
1972,291.90564
1973,291.93424
1974,291.85852
1975,291.90515
1976,291.96622
1977,291.94376
1978,291.6473
1979,291.67859
1980,291.79047
1981,291.88799
1982,291.82446
1983,291.77782
1984,291.83776
1985,291.90857
1986,291.82227
1987,291.70437999999996
1988,291.767
1989,291.85062
1990,291.90462
1991,291.96526
1992,291.99721
1993,291.77315
1994,291.73912
1995,291.84398999999996
1996,291.97657000000004
1997,292.02711
1998,291.81552999999997
1999,291.725
2000,291.75698
2001,291.8241
2002,291.82027999999997
2003,291.80546
2004,291.85769
2005,291.92062999999996
2006,291.90143
2007,291.72486000000004
2008,291.67915
2009,291.6981
2010,291.74572
2011,291.84336
2012,291.77786000000003
2013,291.90353999999996
2014,291.89033
2015,291.71362
2016,291.64088
2017,291.74722
2018,291.86217999999997
2019,291.93023999999997
2020,291.74612
2021,291.66652999999997
2022,291.73037
2023,291.7915
2024,291.8806
2025,291.96687000000003
2026,291.88819
2027,291.58221000000003
2028,291.65947
2029,291.92019
2030,291.99727
2031,291.75081
2032,291.82034
2033,291.78288
2034,291.82635
2035,291.79447000000005
2036,291.88677
2037,291.94117
2038,291.62534
2039,291.72467
2040,291.90084
2041,291.94601
2042,291.80792
2043,291.69093
2044,291.78262
2045,291.86105
2046,292.03272999999996
2047,291.94191
2048,291.72834
2049,291.71734
2050,291.84845
2051,291.97971
2052,291.95993
2053,291.75492
2054,291.64191
2055,291.80784
2056,291.87145
2057,291.86213
2058,291.82951
2059,291.82202
2060,291.71912000000003
2061,291.66345
2062,291.70721000000003
2063,291.79542999999995
2064,291.94644
2065,291.81732999999997
2066,291.56288
2067,291.67785
2068,291.68331
2069,291.77635
2070,291.92758
2071,291.86451
2072,291.60374
2073,291.58285
2074,291.6923
2075,291.76471000000004
2076,291.88841
2077,291.73274
2078,291.67139
2079,291.77389
2080,291.88784
2081,291.91591
2082,291.74399
2083,291.64065
2084,291.78587000000005
2085,291.94184
2086,291.8998
2087,291.64031
2088,291.62433
2089,291.69405
2090,291.8602
2091,291.96772999999996
2092,291.77292
2093,291.71446000000003
2094,291.81167999999997
2095,291.84839
2096,291.6642
2097,291.6327
2098,291.68836
2099,291.72668999999996
2100,291.76777999999996
2101,291.85002000000003
2102,291.8287
2103,291.70023
2104,291.70422
2105,291.69396
2106,291.75977
2107,291.90256
2108,291.87757999999997
2109,291.5754
2110,291.59159
2111,291.76982000000004
2112,291.87093
2113,291.79312999999996
2114,291.76174
2115,291.74339
2116,291.75111
2117,291.65317000000005
2118,291.65098
2119,291.85365
2120,291.84015
2121,291.5839
2122,291.5671
2123,291.6606
2124,291.76346
2125,291.90213
2126,291.7612
2127,291.66008999999997
2128,291.70329
2129,291.79791
2130,291.9169
2131,291.88038
2132,291.56863
2133,291.57613
2134,291.67115
2135,291.86593999999997
2136,292.02885
2137,291.74056
2138,291.63523
2139,291.67472000000004
2140,291.87304
2141,291.94827000000004
2142,291.66327
2143,291.65126000000004
2144,291.75196
2145,291.73073999999997
2146,291.76311
2147,291.8025
2148,291.80769
2149,291.75234
2150,291.80782999999997
2151,291.96707999999995
2152,291.6785
2153,291.57945
2154,291.68694
2155,291.8943
2156,291.78116
2157,291.60438999999997
2158,291.70989
2159,291.76628
2160,291.88057000000003
