Time (Year),rlut
1851,230.64333
1852,230.95917000000003
1853,230.20572
1854,230.50222000000002
1855,230.61695
1856,230.36585
1857,230.65667000000002
1858,230.55555
1859,230.50964
1860,230.78815
1861,231.0564
1862,230.45247999999998
1863,230.13167
1864,230.27188999999998
1865,231.05386000000001
1866,230.85352999999998
1867,230.38303
1868,230.46855
1869,230.25843999999998
1870,230.28242999999998
1871,230.38862999999998
1872,231.28426000000002
1873,230.54863999999998
1874,230.04726000000002
1875,230.36357
1876,230.37922000000003
1877,230.76956
1878,230.55893999999998
1879,230.04477000000003
1880,230.30185
1881,230.21364
1882,230.47302000000002
1883,230.68583999999998
1884,230.39234
1885,229.95745
1886,230.33315
1887,230.73591000000002
1888,230.43116
1889,230.16373
1890,230.78736
1891,231.0607
1892,230.32609
1893,230.06488
1894,230.1355
1895,230.57802999999998
1896,230.95127000000002
1897,230.70552999999998
1898,230.21922999999998
1899,230.13505
1900,230.33923
1901,230.68801000000002
1902,231.16311000000002
1903,229.99976
1904,229.97842000000003
1905,230.41439
1906,230.76001000000002
1907,231.17264
1908,230.71295
1909,230.10196000000002
1910,230.28362
1911,230.72999
1912,230.90557
1913,231.4406
1914,230.96941
1915,230.60689
1916,230.50818999999998
1917,230.6977
1918,230.9804
1919,230.69421
1920,230.89136000000002
1921,231.03547000000003
1922,230.80122999999998
1923,230.85377000000003
1924,230.89201
1925,230.55375
1926,230.39127000000002
1927,230.75494
1928,231.11517
1929,230.60889
1930,230.39199
1931,230.39122999999998
1932,230.96421
1933,231.37902999999997
1934,230.29742000000002
1935,230.58175
1936,230.35275
1937,231.05465
1938,231.37216
1939,230.36112000000003
1940,230.30886
1941,230.64643999999998
1942,230.63247
1943,230.45754
1944,230.83337999999998
1945,230.7534
1946,231.02016
1947,230.62605
1948,230.39251000000002
1949,230.75262999999998
1950,231.06966
1951,231.09002999999998
1952,230.51058999999998
1953,230.6271
1954,230.58781000000002
1955,230.4964
1956,231.17484
1957,230.99589
1958,230.38767
1959,230.29341000000002
1960,230.28822000000002
1961,231.14959
1962,231.08882000000003
1963,230.44829
1964,230.44986
1965,230.52001
1966,230.61872000000002
1967,230.63279
1968,230.57497999999998
1969,231.39681000000002
1970,230.87387999999999
1971,230.74737000000002
1972,230.90516000000002
1973,231.03735
1974,230.81876
1975,230.48344
1976,230.77704
1977,231.28589
1978,230.5203
1979,230.16087000000002
1980,230.42061
1981,230.97505
1982,230.64792999999997
1983,230.56615
1984,230.70814
1985,230.87607000000003
1986,230.93354
1987,230.63826
1988,230.44325
1989,230.60697000000002
1990,230.7802
1991,230.82908999999998
1992,231.25292000000002
1993,230.71533
1994,230.41452
1995,230.74604
1996,230.65037
1997,231.49901
1998,230.68637999999999
1999,230.57314
2000,230.43326000000002
2001,230.84167999999997
2002,230.83052999999998
2003,230.75486
2004,230.51007
2005,230.6576
2006,231.31396
2007,230.68268999999998
2008,230.44875
2009,230.29992000000001
2010,230.63168
2011,230.71796
2012,230.81668
2013,230.81225
2014,231.21337000000003
2015,230.79727000000003
2016,230.39922
2017,230.55062999999998
2018,230.66491000000002
2019,231.23441
2020,230.68504
2021,230.68411
2022,230.64696
2023,230.8107
2024,230.75762000000003
2025,230.97964
2026,231.48665
2027,230.43285
2028,230.3102
2029,230.75267999999997
2030,231.60058999999998
2031,230.74828
2032,230.90524
2033,230.94224
2034,230.8572
2035,230.83768999999998
2036,230.77383999999998
2037,231.35632999999999
2038,230.60182999999998
2039,230.55702999999997
2040,230.95991
2041,231.25252999999998
2042,231.05777
2043,230.68429
2044,230.38598
2045,230.6574
2046,231.223
2047,231.34739
2048,230.77262000000002
2049,230.43589
2050,230.60755
2051,230.82529
2052,231.56711
2053,230.82275
2054,230.42895
2055,230.68427000000003
2056,231.00534
2057,230.97051000000002
2058,230.67352000000002
2059,230.97445
2060,230.70132
2061,230.42931000000002
2062,230.52332
2063,230.57428
2064,231.2193
2065,231.39481
2066,230.53652999999997
2067,230.2843
2068,230.66362
2069,230.70689
2070,231.22842000000003
2071,231.46956
2072,230.54191
2073,230.41472000000002
2074,230.56836
2075,230.58947999999998
2076,231.20992
2077,230.93247000000002
2078,230.49187
2079,230.63582999999997
2080,230.90106
2081,231.32837999999998
2082,231.08825
2083,230.43112999999997
2084,230.54185
2085,231.13712
2086,231.36803999999998
2087,230.69917
2088,230.38592999999997
2089,230.67878
2090,230.72415
2091,231.50796
2092,230.80597999999998
2093,230.55372000000003
2094,230.67229
2095,231.17012999999997
2096,230.72579
2097,230.31547999999998
2098,230.68788999999998
2099,230.64323
2100,230.73877000000002
2101,231.13429
2102,231.0737
2103,230.76051
2104,230.72895
2105,230.63307000000003
2106,230.28945
2107,231.05794
2108,231.51472
2109,230.31779
2110,230.19146
2111,230.70906000000002
2112,231.04564
2113,231.06687999999997
2114,230.94242999999997
2115,231.00672000000003
2116,230.90837000000002
2117,230.63531
2118,230.32488999999998
2119,230.82698
2120,231.00377999999998
2121,230.61744
2122,230.26762999999997
2123,230.51488999999998
2124,230.57646
2125,231.14295
2126,230.79567999999998
2127,230.35733
2128,230.59611
2129,230.61277
2130,231.06777999999997
2131,231.34972000000002
2132,230.42302
2133,230.23605
2134,230.74466
2135,230.82842000000002
2136,231.53506000000002
2137,230.90705
2138,230.7143
2139,230.60031
2140,230.82327
2141,231.50885
2142,230.63242000000002
2143,230.58972999999997
2144,230.69886
2145,230.88388999999998
2146,230.82797999999997
2147,230.6683
2148,230.89642999999998
2149,230.72564
2150,230.77482
2151,231.38267000000002
2152,230.8877
2153,230.4971
2154,230.55572
2155,231.11292999999998
2156,231.21088999999998
2157,230.65165
2158,230.72955
2159,230.808
2160,230.93804
