Time (Year),rsut
1976,107.90463999999999
1977,108.11155
1978,108.10293999999999
1979,108.33044
1980,107.7859
1981,107.78408
1982,107.78946
1983,107.85441000000002
1984,108.14036999999999
1985,108.21598999999999
1986,107.99635
1987,108.46648
1988,107.95003
1989,107.93267
1990,108.14866
1991,107.84245
1992,107.94608000000001
1993,108.41978999999999
1994,108.12205
1995,107.96938999999999
1996,107.76258999999999
1997,107.9929
1998,107.93053
1999,107.71911999999999
2000,107.73056000000001
2001,108.07683
2002,107.81114
2003,108.21516000000001
2004,107.95261
2005,108.00351
2006,108.07094
2007,107.78213000000001
2008,108.23978000000001
2009,108.07921
2010,107.94251000000001
2011,107.64161999999999
2012,107.4589
2013,108.22568000000001
2014,108.18938999999999
2015,108.0235
2016,107.57987
2017,107.92608
2018,108.1268
2019,107.86152
2020,108.11321000000001
2021,107.72089
2022,108.00416000000001
2023,108.19901000000002
2024,108.16011999999999
2025,107.76404
2026,107.88333999999999
2027,108.13623
2028,107.7484
2029,108.03168000000001
2030,108.08918
2031,107.8071
2032,107.93271000000001
2033,107.89073
2034,107.81461000000002
2035,108.33538999999999
2036,108.14392
2037,107.99306000000001
2038,107.73128
2039,107.62911000000001
2040,107.89166999999999
2041,108.25388000000001
2042,107.73581000000001
2043,108.01326999999999
2044,107.84428
2045,108.05653000000001
2046,107.93733
2047,108.18161
2048,108.25265
2049,108.12003999999999
2050,107.75986
2051,107.91501000000001
2052,107.97398000000001
2053,107.97538999999999
2054,107.89716999999999
2055,108.0015
2056,108.36137
2057,107.93678999999999
2058,107.76973999999998
2059,107.9695
2060,107.92036999999999
2061,107.98573999999999
2062,108.0842
2063,107.97928
2064,108.09085
2065,107.64825
2066,108.04297
2067,108.05854
2068,108.22098999999999
2069,108.27342
2070,107.87486000000001
2071,107.93312
2072,107.99151
2073,107.95177
2074,108.09405
2075,107.97973
2076,108.43471000000001
2077,108.06347
2078,108.05521
2079,108.21225
2080,108.06379
2081,108.14048999999999
2082,108.02633999999999
2083,108.42868999999999
2084,108.28372
2085,108.42152
2086,107.93038999999999
2087,108.03636000000002
2088,108.34691000000001
2089,108.41733
2090,108.35439
2091,108.01175
2092,107.91101
2093,108.29123999999999
2094,108.42256
2095,108.36101000000001
2096,108.26461
2097,107.86851000000001
2098,108.13103000000001
2099,108.01477
2100,108.07781000000001
2101,108.00618999999999
2102,107.84421999999999
2103,108.29586
2104,108.21914
2105,108.30216000000001
2106,107.94241000000001
2107,108.02331000000001
2108,108.2119
2109,108.24068999999999
2110,108.02461000000001
2111,108.4479
2112,108.19853
2113,108.42116999999999
2114,108.29926
2115,108.12796999999999
2116,107.89876000000001
2117,108.34557
2118,108.20796000000001
2119,107.96273000000001
2120,107.90059
2121,108.12682
2122,107.80339
2123,108.153
2124,108.54486000000001
2125,108.14217
2126,107.99712
2127,108.09306000000001
2128,108.17263999999999
2129,107.89586000000001
2130,108.19746
2131,108.19158
2132,107.98276000000001
2133,107.57327
2134,107.92068
2135,107.94542
2136,108.16094
2137,107.87122
2138,108.19216999999999
2139,107.70448999999999
2140,107.94105
2141,108.19304
2142,108.3648
2143,108.16658999999999
2144,108.12963
2145,107.9348
2146,108.0827
2147,108.25287
2148,107.8674
2149,108.11483999999999
2150,108.1536
2151,108.26773
2152,107.99986000000001
2153,107.86847
2154,107.94713
2155,107.85096000000001
2156,108.04533
2157,107.95553000000001
2158,107.69131000000002
2159,108.05216999999999
2160,107.85333999999999
