Time (Year),rsut
1974,108.19211000000001
1975,108.30371000000001
1976,108.0875
1977,108.42766
1978,108.43008999999999
1979,108.25966000000001
1980,108.2711
1981,107.8136
1982,108.34816000000001
1983,108.40795
1984,108.07713999999999
1985,108.23168999999999
1986,108.21685
1987,108.0462
1988,108.14445
1989,108.29713999999998
1990,108.08124
1991,108.06525
1992,108.54602
1993,108.32658
1994,108.20456000000001
1995,107.88843
1996,107.69211000000001
1997,108.38157
1998,108.31145
1999,108.00953999999999
2000,108.11922
2001,108.13665
2002,108.05949
2003,108.20428000000001
2004,108.19571
2005,108.29831000000001
2006,108.61931000000001
2007,107.9887
2008,108.15717
2009,108.29947
2010,108.03558999999998
2011,108.32354
2012,108.33093000000001
2013,108.03478
2014,108.29875
2015,108.10378
2016,108.14273
2017,107.93425
2018,108.23065
2019,107.92198
2020,108.36679
2021,108.01496999999999
2022,108.07436000000001
2023,107.99649
2024,108.0363
2025,107.98078000000001
2026,108.33712
2027,108.28985
2028,107.9522
2029,107.86471
2030,108.34678000000001
2031,107.91503999999999
2032,107.92296
2033,108.12748
2034,108.11428000000001
2035,108.29713999999998
2036,107.92393
2037,108.59161
2038,108.33202
2039,107.94528999999999
2040,108.13578000000001
2041,108.69271
2042,108.24823
2043,108.01038999999999
2044,108.33886000000001
2045,108.35622
2046,107.98369
2047,108.34465
2048,107.95891999999999
2049,108.36214
2050,108.11698
2051,108.22858000000001
2052,108.23133
2053,108.20558999999999
2054,108.37783
2055,108.122
2056,107.97733000000001
2057,108.10638
2058,108.33118999999999
2059,108.4106
2060,108.54902
2061,108.31583
2062,108.3289
2063,108.08841000000001
2064,107.80285
2065,108.33008999999998
2066,108.09018999999999
2067,108.3418
2068,108.1851
2069,108.03532
2070,108.15585
2071,108.21371
2072,108.38498
2073,108.10401999999999
2074,107.89696
2075,108.2912
2076,108.04458000000001
2077,108.42648999999999
2078,107.89088000000001
2079,108.18431000000001
2080,108.10098
2081,108.11283
2082,107.91211000000001
2083,108.304
2084,108.05922
2085,108.05765
2086,108.61391
2087,108.26676
2088,108.33337
2089,108.22126999999999
2090,108.24978
2091,108.17593000000001
2092,108.45203000000001
2093,108.37098999999999
2094,108.31624
2095,108.27685
2096,108.13349
2097,108.31615
2098,108.34076999999999
2099,108.28057
2100,107.95159
2101,108.31795
2102,108.27736999999999
2103,108.4711
2104,108.01026
2105,108.68363000000001
2106,108.3752
2107,108.22981000000001
2108,108.33055
2109,108.44788999999999
2110,108.71948
2111,107.87574
2112,108.27037
2113,108.24183000000001
2114,107.90987
2115,108.11371000000001
2116,107.92992
2117,108.63468
2118,108.50899
2119,108.08611
2120,108.93847
2121,108.39891000000001
2122,108.32601000000001
2123,107.92195
2124,108.26921000000002
2125,108.3806
2126,108.40323000000001
2127,108.2817
2128,108.37709
2129,108.18928000000001
2130,108.04005
2131,108.4854
2132,108.47843
2133,108.18085
2134,108.28307
2135,108.03464
2136,108.33718
2137,108.29413999999998
2138,108.07616000000002
2139,108.21438
2140,108.08936000000001
2141,108.42582
2142,108.50773000000001
2143,108.04705
2144,108.11741
2145,108.32741000000001
2146,108.43608
2147,108.33604
2148,107.90217
2149,108.35911999999999
2150,108.08288999999999
2151,108.25056000000001
2152,108.6749
2153,108.04391000000001
2154,108.12686000000001
2155,108.20903999999999
2156,108.53591999999999
2157,108.14266
2158,108.00663
2159,108.08893
2160,108.18484
