Time (Year),cLand
2056,2282.3485100000003
2057,2283.05483
2058,2282.85984
2059,2282.09694
2060,2280.52259
2061,2279.87292
2062,2280.6368399999997
2063,2281.9867600000002
2064,2282.9666399999996
2065,2283.5912399999997
2066,2282.5232899999996
2067,2281.00858
2068,2278.65277
2069,2277.22647
2070,2279.1599100000003
2071,2281.40714
2072,2281.3901
2073,2279.34643
2074,2278.0212100000003
2075,2278.09233
2076,2277.51077
2077,2277.61411
2078,2277.5232300000002
2079,2275.46527
2080,2274.60808
2081,2276.1842699999997
2082,2278.19868
2083,2277.57555
2084,2276.35037
2085,2276.27044
2086,2276.48207
2087,2274.83977
2088,2272.4960100000003
2089,2272.26283
2090,2273.62086
2091,2275.72138
2092,2276.8905
2093,2274.97183
2094,2273.13784
2095,2273.2788
2096,2275.25208
2097,2276.6232600000003
2098,2275.52568
2099,2274.31293
2100,2274.08541
2101,2274.38401
2102,2275.03397
2103,2274.01484
2104,2273.27157
2105,2273.60444
2106,2273.78037
2107,2272.70363
2108,2272.00208
2109,2272.2806
2110,2273.13942
2111,2273.28788
2112,2272.63812
2113,2271.43172
2114,2270.31215
2115,2270.42017
2116,2270.44425
2117,2268.31322
2118,2266.7628600000003
2119,2267.9041399999996
2120,2269.0605
2121,2269.81993
2122,2268.64754
2123,2266.36213
2124,2265.12452
2125,2265.6961100000003
2126,2266.76128
2127,2267.0992699999997
2128,2267.41613
2129,2268.1019699999997
2130,2267.1563100000003
2131,2265.38075
2132,2266.30373
2133,2266.9821
2134,2266.22777
2135,2264.5178899999996
2136,2263.06252
2137,2264.26428
2138,2266.0799399999996
2139,2265.9104199999997
2140,2264.92692
2141,2262.42225
2142,2261.56896
2143,2262.59175
2144,2264.21076
2145,2264.2698800000003
2146,2263.30687
2147,2262.82691
2148,2263.4872800000003
2149,2263.81043
2150,2263.72866
2151,2263.75752
2152,2262.64279
2153,2262.471
2154,2262.7272199999998
2155,2262.42502
2156,2261.5454
2157,2261.0163199999997
2158,2260.36601
2159,2259.62573
2160,2258.70412
