Time (Year),cLand
2057,2193.64689
2058,2193.40621
2059,2193.03715
2060,2192.5621100000003
2061,2192.72819
2062,2193.65931
2063,2194.32691
2064,2194.27209
2065,2193.16198
2066,2192.15303
2067,2192.81446
2068,2193.13989
2069,2193.9121
2070,2193.41303
2071,2191.50915
2072,2189.99022
2073,2190.77837
2074,2192.40198
2075,2193.4713899999997
2076,2193.76993
2077,2192.1309300000003
2078,2192.06744
2079,2192.5651
2080,2192.65481
2081,2191.83621
2082,2190.2172600000004
2083,2189.76709
2084,2190.80273
2085,2190.8393300000002
2086,2189.21023
2087,2187.77362
2088,2188.70248
2089,2190.09852
2090,2191.10587
2091,2190.2795300000002
2092,2188.62561
2093,2188.6913
2094,2189.95912
2095,2189.21551
2096,2188.50909
2097,2188.90884
2098,2189.6431
2099,2190.22577
2100,2190.45672
2101,2189.89169
2102,2188.43428
2103,2187.60968
2104,2187.49508
2105,2186.69665
2106,2186.26597
2107,2185.53855
2108,2183.0263600000003
2109,2181.59989
2110,2182.75124
2111,2183.9801399999997
2112,2183.86393
2113,2182.39005
2114,2181.69215
2115,2181.12035
2116,2180.63244
2117,2180.51277
2118,2180.74359
2119,2180.66295
2120,2178.41681
2121,2177.10594
2122,2178.24309
2123,2179.67467
2124,2180.37153
2125,2179.59629
2126,2177.56112
2127,2177.72926
2128,2178.44213
2129,2178.52763
2130,2178.07458
2131,2176.74886
2132,2175.98857
2133,2176.66108
2134,2177.86155
2135,2179.10979
2136,2178.2005
2137,2177.0591
2138,2177.67552
2139,2178.51328
2140,2179.17065
2141,2177.3259199999998
2142,2175.18522
2143,2175.38657
2144,2176.33419
2145,2176.8178399999997
2146,2177.06189
2147,2177.30285
2148,2177.33594
2149,2177.7173399999997
2150,2178.31812
2151,2177.2314
2152,2174.76233
2153,2174.98781
2154,2176.29223
2155,2176.15955
2156,2174.42607
2157,2173.56317
2158,2173.63205
2159,2173.4099699999997
2160,2173.5120899999997
