Time (Year),cLand
2143,2542.8292899999997
2144,2540.82852
2145,2540.81216
2146,2541.16476
2147,2539.22638
2148,2537.73842
2149,2538.80321
2150,2540.8382899999997
2151,2541.17652
2152,2538.54418
2153,2538.40353
2154,2541.12659
2155,2541.8756399999997
2156,2539.49586
2157,2538.25933
2158,2539.82597
2159,2541.5198
2160,2540.44365
