Time (Year),pr
1851,1167.99398
1852,1167.92634
1853,1161.20959
1854,1164.4484300000001
1855,1167.58962
1856,1166.11486
1857,1165.78234
1858,1161.4782
1859,1163.73308
1860,1175.22847
1861,1175.49946
1862,1164.83165
1863,1166.37525
1864,1172.7133900000001
1865,1176.9483599999999
1866,1169.9291699999999
1867,1163.9946400000001
1868,1168.91697
1869,1163.1318800000001
1870,1166.96606
1871,1168.55362
1872,1186.76296
1873,1168.2467900000001
1874,1164.94604
1875,1169.00929
1876,1174.57806
1877,1172.8426
1878,1168.4344199999998
1879,1161.87501
1880,1171.96886
1881,1168.32639
1882,1174.64209
1883,1172.38689
1884,1170.34156
1885,1168.18212
1886,1167.53396
1887,1176.8899199999998
1888,1170.8474800000001
1889,1170.07193
1890,1183.70561
1891,1177.79327
1892,1176.0701900000001
1893,1174.81579
1894,1173.26115
1895,1180.24523
1896,1188.80545
1897,1177.5237300000001
1898,1171.20538
1899,1174.22526
1900,1180.57121
1901,1188.8672199999999
1902,1194.36261
1903,1175.04744
1904,1181.26921
1905,1179.6862
1906,1183.32621
1907,1192.7839900000001
1908,1174.8324699999998
1909,1174.7911
1910,1179.48144
1911,1195.79998
1912,1182.78195
1913,1178.38604
1914,1180.1771199999998
1915,1191.90185
1916,1193.89648
1917,1186.14929
1918,1177.653
1919,1179.19886
1920,1176.9297900000001
1921,1179.34197
1922,1189.19396
1923,1189.20943
1924,1182.75934
1925,1181.44615
1926,1188.97806
1927,1197.62869
1928,1184.6470199999999
1929,1176.38132
1930,1185.56847
1931,1199.87599
1932,1194.07795
1933,1176.85538
1934,1187.16951
1935,1178.57608
1936,1188.05644
1937,1190.8978
1938,1188.0125699999999
1939,1184.6498
1940,1202.51028
1941,1181.4760199999998
1942,1181.9511699999998
1943,1190.07042
1944,1196.73034
1945,1187.2476199999999
1946,1182.8186
1947,1183.5066800000002
1948,1197.4876199999999
1949,1195.47716
1950,1180.6825199999998
1951,1180.51843
1952,1181.4563
1953,1181.5594
1954,1188.02531
1955,1189.29688
1956,1188.12155
1957,1180.41241
1958,1189.89222
1959,1182.38996
1960,1183.30868
1961,1178.94874
1962,1186.5938199999998
1963,1191.61624
1964,1181.71223
1965,1178.53515
1966,1184.4103400000001
1967,1193.68907
1968,1199.01659
1969,1181.27481
1970,1177.83434
1971,1186.3591
1972,1201.55553
1973,1189.92713
1974,1178.63279
1975,1176.52833
1976,1197.39349
1977,1191.7905
1978,1176.69211
1979,1177.2332199999998
1980,1189.0452300000002
1981,1187.4058
1982,1188.41671
1983,1186.12067
1984,1188.7730800000002
1985,1183.53297
1986,1179.46498
1987,1195.74893
1988,1186.82456
1989,1182.15417
1990,1177.40184
1991,1177.25519
1992,1194.52734
1993,1185.43706
1994,1178.12829
1995,1179.45537
1996,1189.89381
1997,1193.8682199999998
1998,1179.77645
1999,1179.81833
2000,1190.62505
2001,1184.59159
2002,1193.17738
2003,1184.06464
2004,1185.07138
2005,1182.464
2006,1183.3692
2007,1193.92744
2008,1183.1952099999999
2009,1174.63606
2010,1177.49556
2011,1176.77184
2012,1191.38751
2013,1187.53968
2014,1177.1201800000001
2015,1178.85014
2016,1182.5049800000002
2017,1191.01217
2018,1182.74845
2019,1178.8044300000001
2020,1186.7852599999999
2021,1183.87646
2022,1190.06307
2023,1187.09034
2024,1182.55999
2025,1178.21988
2026,1180.92311
2027,1176.43772
2028,1181.79094
2029,1195.81224
2030,1178.6159599999999
2031,1179.8531
2032,1179.3731
2033,1178.92584
2034,1185.24514
2035,1194.8880900000001
2036,1182.57152
2037,1181.77481
2038,1177.8346199999999
2039,1191.90014
2040,1199.04324
2041,1180.69675
2042,1176.1920699999998
2043,1185.45607
2044,1199.14251
2045,1179.75247
2046,1182.50297
2047,1179.20166
2048,1183.7532800000001
2049,1190.98029
2050,1176.8310800000002
2051,1175.4516
2052,1185.46523
2053,1184.4365699999998
2054,1183.3319199999999
2055,1185.80226
2056,1186.14392
2057,1181.9108199999998
2058,1181.78195
2059,1184.15793
2060,1190.38927
2061,1176.88839
2062,1178.133
2063,1175.11717
2064,1183.8220900000001
2065,1184.85216
2066,1184.69269
2067,1189.8593
2068,1193.44734
2069,1179.1901699999999
2070,1176.0567800000001
2071,1175.23326
2072,1192.1475
2073,1184.16328
2074,1181.5312900000001
2075,1179.66768
2076,1181.9502300000001
2077,1175.81431
2078,1183.95281
2079,1180.2342199999998
2080,1182.39071
2081,1177.66788
2082,1177.8228800000002
2083,1189.9520300000001
2084,1179.47482
2085,1176.50152
2086,1178.07846
2087,1185.11517
2088,1184.00294
2089,1173.77974
2090,1174.15267
2091,1178.1976
2092,1185.2878699999999
2093,1197.06717
2094,1179.26644
2095,1174.56629
2096,1179.78136
2097,1191.1241
2098,1195.1119800000001
2099,1180.33283
2100,1181.1576699999998
2101,1181.10982
2102,1185.5992800000001
2103,1183.41143
2104,1181.82972
2105,1176.00509
2106,1182.69594
2107,1182.26433
2108,1183.44634
2109,1173.27822
2110,1181.04191
2111,1181.5607400000001
2112,1184.56189
2113,1187.16885
2114,1174.6186699999998
2115,1174.4202699999998
2116,1190.4638400000001
2117,1192.64373
2118,1177.95324
2119,1177.8727099999999
2120,1180.55547
2121,1183.24569
2122,1196.95079
2123,1184.1742
2124,1183.93722
2125,1180.30885
2126,1183.7129
2127,1178.57098
2128,1184.35397
2129,1178.25475
2130,1194.74677
2131,1178.48594
2132,1186.26697
2133,1179.5957
2134,1191.75881
2135,1196.87166
2136,1187.00714
2137,1176.61629
2138,1183.40656
2139,1187.87896
2140,1192.40288
2141,1189.6331699999998
2142,1176.0256
2143,1173.53445
2144,1180.93472
2145,1178.79192
2146,1189.1110199999998
2147,1178.94484
2148,1176.8695599999999
2149,1174.99262
2150,1184.01064
2151,1180.249
2152,1189.04638
2153,1176.54101
2154,1182.2006900000001
2155,1180.61934
2156,1184.3796300000001
2157,1182.3859699999998
2158,1182.2394199999999
2159,1187.55361
2160,1193.09743
